,CV
218,"Project Crypto Wallet allowed me to hone my skills as a UI/UX designer and provided me with valuable experience in designing for complex and challenging projects in the crypto space.
• Developed a secure and user-friendly platform for managing cryptocurrencies.
• Conducted user research and implemented user-centered design principles to ensure that the product met the needs of its target audience.
The redesign of the Cucina di Catherina online store was a challenging and rewarding project that allowed me to apply my UI/UX design skills to enhance the customer experience and achieve the client's goals.
• Successfully created a fresh, modern look that aligned with the brand's vision and values.
• Improved the website's user experience by making it more intuitive and engaging.
• Increased website traffic and engagement metrics by X% after the redesign.
As a highly creative and detail-oriented junior UI/UX designer, I have a passion
for crafting intuitive and engaging digital experiences. With a strong foundation
in design principles and a natural ability to solve complex problems, I am able to create user-centered designs that meet the needs of diverse audiences. I am eager to continue learning and growing as a designer, and I am excited to bring my skills and passion to a dynamic and innovative team.

Crypto Wallet Tutis
Application, full cycle design
This experience has challenged me to consider complex design problems such as security and data privacy, and to think deeply about the user's needs in managing their cryptocurrencies.
Throughout the project, I focused on creating a secure and intuitive platform that would provide a seamless user experience while ensuring the safety of their assets.
I also conducted extensive user research to understand the needs of crypto wallet users and incorporated their feedback into the design process. This helped to create a user-centered design that met the needs of a diverse audience.

Redesign Cucina di Catherina
Online Store Website, full cycle design
The goal of the project was to create a more modern and user-friendly platform that would enhance the customer experience and increase sales.
I began by conducting extensive user research to understand the pain points and needs of customers when shopping on the current website. I also designed new visual elements and a fresh color palette to modernize the brand's image and enhance the overall aesthetic of the site.
Throughout the design process, I conducted usability testing to ensure that the new design met the needs of users and addressed any issues that arose.

Skills:
• Adobe Suite.
• Creating web interfaces, mobile design, and landing pages in Figma. 
• Experience in the redesign.
• Developing user personas, user scenarios, and sitemaps.
• UX research and analysis of competitors.
• Using Google Material Design Guidelines.
• Work with photos in Photoshop.
• Design of icons, logos, and illustrations in Illustrator.
• Wireframing and Prototyping.
• Visual Interface.
• Site map and user flow.
• Adaptation
I expect to work on a variety of projects that require designing engaging and intuitive user experiences. Additionally, I would like to collaborate with cross-functional teams, including product managers, developers, and stakeholders, to ensure that my designs meet both business goals and user needs.

I would also like the opportunity to conduct user research and create user personas to inform design decisions. Furthermore, I would like to design wireframes and prototypes to test and iterate on design concepts, develop design systems and style guides to maintain visual consistency across products, collaborate with developers to ensure that designs are technically feasible and implemented correctly, advocate for user-centered design principles, and promote the user throughout the design process. Lastly, I want to continuously gather feedback and iterate on designs to improve the user experience.

Overall, I expect to work in a dynamic and challenging environment that requires me to think creatively and solve complex design problems."
219,"I was a team leader in the Paw Rescue project and had two main responsibilities: organizing the team's work and designing the prototypes' visual aspects.
As a junior UI/UX designer, I am passionate about designing aesthetically pleasing and effective web and mobile applications. I am driven by the desire to turn ideas into reality and create interfaces that solve problems and simplify daily goals for my target audience. With a keen eye for detail and a full cycle design approach, I analyze tasks, create prototypes, design visual styles, and implement them into usable and simple end products. 

Redesign for Italian sauce website
The project aimed to revamp a website to attract customers and make it user-friendly. Competitor research was done to learn from successful solutions. Improvements like updated color scheme, uniform photos, and modern typography were made to enhance the appearance and convenience of the site. I also made adaptations for the mobile version and the tablet.

Landing page for Flower Lover 
The project aimed to analyze the target audience for flower shop websites, create a clear interface that includes all the necessary menu items, and most importantly, build the interface from scratch.

Team work for finding lost pet service Paw Rescue
This is a team assignment, we were set a goal to design a website for finding lost and found animals. The main goal was competitor analysis, which helped to structure the website. It was also important to make a clear user flow that would quickly guide the user to the goal. We had experience working with the design system, and created a convenient and modern website interface.
I am looking for a remote office position in a company 
Mutual respect and friendly atmosphere 
Corporate training and development within the company
Career growth"
220,"Skilled in using tools like Adobe Photoshop, Figma or similar software for creating user interfaces and visual designs.
Skilled in creating wireframes and interactive prototypes to visualize design concepts.
Able to design interfaces that adapt well to various screen sizes and devices.
Understanding of design systems and their components.
Proficient in creating user flows and journey maps to illustrate the path users take through an application or website.
Able to use graphic editing tools like Photoshop or Illustrator to create and modify visual assets.
Organized in managing design tasks, meeting deadlines, and collaborating effectively with team members.
As a Junior UI/UX Designer I had the chance to work on various web services and mobile apps. I collaborated with teams to design user interfaces that are easy to use and look good. For web services, I created layouts that worked well on different devices. When it came to mobile apps, I designed screens that considered touch interactions and made sure everything was clear and organized. I learned how to adapt to different project requirements and improve my skills. I used programes like Figma, Adobe Photoshop and Protopie to make layouts and mockups.
There are the description of some of my project that I worked with:
1. Tattoo studio website ""Custom Concepts"" redesign. This project is a redesign for tattoo salon website. The main purpose is to redesign the existing website - to make it easier and more convenient for customers. So I added some changes to the main color palette, use high-quality photos, create a simple booking form and also add a new structured visual hierarchy. 
2. Web-service for searching animals ""PetRescue"". PawRescue is a web application for searching lost pets in an online platform designed to help reunite lost animals with their owners. This application serves as a web-site where people can report and search for missing pets in their area. The goal of a web application for searching lost pets is to facilitate the reunion of lost animals with their owners by providing a platform where missing pet information can be shared, searched, and matched effectively. Main tools: Figma, Adobe Photoshop, FigJam, Adobe Illustrator.
My native language is Ukrainian and I'm fluent in Russian. I speak English at an upper-intermediate level and I'm also at the elementary level of Polish language.
I've been part of design projects where I helped make apps and websites. I want to keep learning and getting better at design. I'm ready to work on different projects and learn new ways to work as a UI/UX designer. I know how to use tools to create designs that look great on screens. I also care about making designs that everyone can enjoy. I always listen to feedback and make changes to designs to make them better."
221,"I was a team lead in the Buki School project, organized the work of the team, and also presented the entire project to the customer.
As a junior UI/UX designer, I specialize in creating digital experiences that not only look great but also offer optimal user experience. I worked on landing pages, redesigns, web services and mobile applications. I have experience in conducting in-depth interviews, questionnaires, formation of personas and empathy maps.

Redesign for Buki School (Team Project)
Stakeholders have addressed such problems as the existing cabinet doesn’t seem intuitively simple and low attendance and involvement in visiting cabinet. We should create a new vision of cabinet, so students can quickly and intuitively find all the necessary information for them. A full-fledged UX research was conducted, which included competitive analysis, heuristics analysis, in-depth interviews, personas, surveys. A clickable cabinet prototype was also created.
I participated in all stages, as well as created a prototype and presented our project to the customer.

DocMe Web Service (Team Project)
The goal was to create web service that will help organize and document a meeting between a doctor and a patient. We have created web service with unique function of automatic report generation and separate cabinets in the forms of dashboards for the doctor and the patient. Such methodologies as competitor and target audience analysis, personas method, JBTD, CJM were used.
My role was in UX research and creating a main site and also I helped to make changes in patient's and doctor's cabinets.
I hope to be working with a team of like-minded individuals who are just as passionate about design and innovation as I am.  I expect my employer to recognize the value of investing in training and development, allowing me to keep up-to-date with the latest trends and techniques in web design."
222,"I was a team leader on the ""Web-service for finding lost pets"" project. My responsibilities included determining the direction of work, distributing responsibilities between team members, and scheduling team meetings. Thanks to the organization of the workflow, the team managed to function smoothly, an intuitive interface was created that meets the expectations of the target audience, the project was completed on time and was highly appreciated by the mentor.

Also in this period of time I work together with student developers on a start-up project. The essence of the project is the creation of a web service to help accountants and other related professionals calculate salaries, bonuses, etc.
As a junior UI/UX designer who has completed a special course and has completed 6 study cases, I have gained valuable experience in the field of user interface and experience design. During your course, I was exposed to the principles of design and how to apply them to create user-friendly and visually appealing interfaces.

More about some my projects:
- Mobile app for mobile application for a chain of coffee shops.
The main task was to create an application design with an intuitively understandable interface, well-developed functionality and youth style. The design process included competitor analysis, target audience analysis, persona creation, JTBD, user flow development, wireframes, design creation and animation.

- Web-service for finding lost pets
This project was developed in a team.To create this service, a number of analyzes were carried out, such as analysis of competitors, analysis of the target audience, compilation of user-personas, JTBD, CJM, User-Flow. As a result, with the help of teamwork, a design was developed for a web service that fully meets the expectations of the target audience.  In addition to participating in analysis and development, I was aslo a team-leader so I organized work-process, distributed tasks between team members.

-Travel agency website redesign
The main task of this project was to create a clear and concise design for  a wide range of target audience. The main problem was to  figure out how to stand out from the competition and understand how to structure a large amount of information. In the course of the work, an analysis of competitors, an analysis of the target audience, the compilation of personas and the development of a user flow were carried out. In addition, the design included the development of wireframes, uidesign, adaptation and animation. The result of the work is a clean and neat design using quality photos.
I want to work in a team of specialists who strive to develop and improve the level of their projects. I want to put my theoretical knowledge into practice and be able to climb the career ladder over time."
223,"I am a Junior UX/UI Design Professional with a Digital Marketing Professional Certificate from the University of Miami and a Bachelor's degree in Hospitality and Tourism Management with a Minor in International Relations from Florida International University. My experience as a professional athlete in the Ukrainian National team and passion for digital marketing and UX/UI design have given me the skills and enthusiasm to make a significant contribution to any organization. I'm passionate about staying up-to-date with industry trends and technology and pushing the boundaries of what's possible.
As a Junior UX/UI Designer, I specialize in crafting intuitive user interfaces that aim to maximize user experience and improve results. My portfolio includes projects such as designing a web service for the private medical clinic VitalMed, redesigning a website for a tattoo salon, and Citroen C4 landing page. 
I have developed knowledge in Figma software, Adobe Illustrator and Adobe Photoshop to enhance my design capabilities. My work has been commended for its creativity and attention to detail, allowing me to consistently deliver projects that adhere to the highest standards of quality. My goal is to provide an unparalleled design experience that motivates people to take action.
As a junior UX/UI designer, I expect to learn and grow in a supportive environment. I am looking for opportunities to work on challenging projects where I will be able to develop my skills. I want to work on projects that involve problem solving, research, and creative thinking. My goal is to become a strong and knowledgeable designer who can create meaningful user experiences.

At the same time, I do not want to be limited to a specific role or task. I want to be a part of the big picture, and I want to contribute to the success of the team. I want to be given the freedom to explore new ideas and try out different approaches to design. I believe that learning is an ongoing process and I want to be able to continue to develop my skills and knowledge."
224,"
As a junior web designer at a company that provides warehousing software, I was responsible for designing web pages, graphics, and other visual elements for our company's website and various marketing materials. My duties included:

Designing a company website from scratch;

Design control of the finished pages;

Collaboration with a team of developers and testers;

Creating wireframes, mockups, and prototypes to communicate design concepts and ideas;

Designing various marketing materials, such as covers for social networks, previews and footage for YouTube videos, and recording YouTube videos showing the functionality of the company's product.

During my work as a web designer I used such tools as Figma, Adobe Illustrator, OBS Studio.

Overall, my experience as a junior web designer has provided me with a variety of skills and success in designing and developing effective marketing materials and web pages.

Now I want to improve my professional skills as a designer in new projects.
"
225,"
As an Auditor with a background in Economics, I have always been driven by a passion for creativity and graphic design. With my experience as a Graphic and Social Media post designer, along with my educational background and professional experience, I firmly believe that transitioning into the field of UX design will allow me to fully utilize my skills, embrace my creative side, and contribute significantly to your team.

Throughout my academic journey, I pursued Economics for both my Bachelor's and Master's degrees, as it provided me with a strong analytical foundation and a comprehensive understanding of business principles. However, I have always felt a magnetic pull toward the world of graphic design. Even during my academic pursuits, I immersed myself in various graphic design projects, dedicating my spare time to honing my skills and expanding my knowledge.

My passion for graphic design led me to work as a Graphic and Social Media post designer for an education center in my hometown, where I had the opportunity to work on a diverse range of projects. From creating engaging social media posts to designing eye-catching posters and printables, I handled the entire branding process for the organization. This experience allowed me to develop a keen eye for aesthetics, an understanding of user-centric design principles, and the ability to translate ideas into visually compelling designs.

What sets me apart is my unique blend of analytical thinking and creative problem-solving skills. As an Auditor, I have honed my analytical skills, attention to detail, and ability to work within strict deadlines. These qualities have instilled in me a strong sense of discipline, precision, and a meticulous approach to my work. Combined with my creative flair and design expertise, I believe I possess the ideal skill set required for the demanding field of UX design.

My decision to pursue a career in UX design stems from my desire to channel my passion for design into meaningful experiences that positively impact users. I am fascinated by the psychology behind user behavior and the intricate relationship between design and human interaction. I am driven to create intuitive, user-friendly interfaces that enhance usability and deliver exceptional experiences.
I just want to be involved as an entry-level UX/UI designer, learn and improve."
226,"During my work experience I've impoved many skills:
- UX research;
- Design Systems creation;
- Work with different guidelines;
- Marketing materials creation;
- Mobile design (rules, patterns);
As an UI/UX design, I had a commercial experience with a different projects and domains: 
- Mobile applications ( guide app, lottery app);
- Redesign of our corporate website (web, mobile, and tablet adaptive). 

My main tasks were:
- designing analysis of old screens; 
- creating design systems, based on Design Thinking process; 
- development of all materials for marketing team;
- visual design for company's social media on all of the platforms;
- creating case studies and multiple Behance cases;

The projects's tech-stack included:
-  Angular Material, Kendo UI, and Human Interface Guidelines but also I was learning Google Material Design. 

Moreover, I was involved in:
- user research;
- investigating competitors;
- brainstorming;
- building style guide;
- creating the information architecture;
- creating prototypes;
- creating an adaptive design;
- communicating with the client team and developers;
- creating wireframes and mockups;
"
227,"I successfully collaborated with cross-functional teams to create intuitive and visually appealing user interfaces for web and mobile applications. I demonstrated a keen eye for detail, strong problem-solving skills, and a passion for delivering exceptional user experiences.
As a passionate and detail-oriented specialist, I am dedicated to crafting seamless and intuitive user experiences. With a strong foundation in design principles and a drive for continuous learning, I am committed to creating impactful and visually captivating interfaces that resonate with users.Here are my projects description:

Table Tab Mobile App Design
Jun 2023 - Aug 2023

The idea of this came to necessity in informative and pleasant app solution to book seats in the restaurant in few clicks.
In the team project I made references research,wireframes updating, comparing and choosing the right design systems to the case that mostly suitable to usage and prototyping ui screens with final results.
My team and I also invented UI option in rewards for booking that keep users in tonus and make a splendid impression from the app.

Host Radar Project Design
Apr. 2023 - Jun 2023

Host Radar web service for work and recreation in a new place. For the possibility of ""hosting"" (accommodation, food, etc.), the visitor must pay (or rather - perform the work indicated by the hosts). 
In this team project I represented skills of market and competitors analysis.I have also gathered the references for the coming work process and provided wireframe preparing, prototypes animating and case finishing.

Mainsal Realty Company Redesign
Feb 2023  - Apr 2023

The goal of the project was to create a modern and user-friendly website that effectively showcases the services, fosters customer loyalty, and drives business growth.
Analysing the website I found out that he was overloaded and not undestandable for users.I made a research and compared the compatitors on the market(in the US) and redesigned the website to more convinient and friendly for the user experience.I made the whole work starting form research to the final design result.
I aspire to further develop my design skills and knowledge while contributing to innovative and user-centric projects. I aim to actively collaborate with senior designers and stakeholders, taking on new challenges to deliver compelling and delightful user experiences that exceed expectations."
228,"
As a recent graduate of Plural code Academy, where upon completion, I designed a mobile app for a salon. I have gained experience in designing user interfaces and experiences for web and mobile applications using industry-standard tools like Figma. I have also learned how to conduct user research, create wireframes and prototypes, and perform usability testing to ensure a seamless user experience. 
I am currently an intern with a software agency and during this internship, I have been able to design and complete a website and mobile views for a cryptocurrency platform as well as a website for a resort center. 
I believe that an opportunity with your company would provide me with more hands-on experience in the field of UI/UX design, as well as the chance to learn from experienced professionals in the industry.
I am a quick learner, a problem-solver, and a team player who thrives in collaborative environments. I am committed to delivering high-quality work and meeting deadlines, and I am willing to put in the time and effort required to complete projects successfully.
 Thank you for considering my application.
"
229,"As a team leader during my case studies project, I successfully managed tasks and modified designs to meet the needs of our target audience. With my strong empathy skills, I was able to modify features and design solutions to create a more user-friendly experience. This experience allowed me to develop my project management skills and reinforced my ability to work collaboratively within a team.
As a skilled marketing professional with a strong passion for design, I am confident that I can add value to any team. With over two years of experience in marketing, I have honed my creative and strategic skills, and am able to deliver visually appealing design solutions that meet the needs and goals of my clients.

My background in marketing has given me a keen understanding of user personas and pain points, which enables me to deliver effective design solutions. I have also developed strong project management and communication skills, having worked with a diverse range of clients across various industries.

During my studies, I had the opportunity to work on several projects
Travel service website that connected people from around the world. In this project, I was responsible for conducting UI/UX research, designing, adapting, and prototyping. Collaborating with a team of two, I gained valuable experience in working with others and effectively managing project timelines. 

Another project that I worked on was a Scan-and-Go mobile app. This project involved extensive market analysis and design, and we ultimately chose to follow regular user patterns to simplify the shopping process. 
I utilized various design tools such as Figma, Adobe Photoshop, and Protopie to complete the project and create a functional prototype.
As a marketer transitioning to a career in design, I am eager to bring my creativity and strategic thinking to new projects. I am excited to apply my newly acquired skills in UI/UX design to create visually appealing solutions that meet the needs of end-users. I am open to work with the teams that value not only business needs but also passionate about creating new user-friendly experiences for customers."
230,"
As a UI design wizard with a passion for crafting captivating digital experiences, I bring a touch of magic to every project I take on. With 3 years of spellbinding experience, I am an expert in Figma, Photoshop, and Illustrator, using these tools to weave beautiful and intuitive interfaces that leave users enchanted.

When you hire me, you're not just getting a designer, you're gaining a creative partner who will work tirelessly to bring your vision to life. I am dedicated to delivering designs that not only meet but exceed your expectations and make your users fall in love with your brand.

With a keen eye for detail and a deep understanding of what makes users tick, I craft interfaces that are both aesthetically stunning and incredibly user-friendly. Whether it's web or mobile, my designs are always easy to navigate and leave users feeling like they've stumbled upon a hidden gem.

Don't settle for ordinary designs. Let me elevate your brand with my expertise in UI design and bring your digital dreams to life. Let's make magic together!
"
231,"Completed three full-cycle projects, one of which is a team project.
As a UI UX Designer, I am dedicated to creating intuitive and visually appealing digital interfaces that enhance the user experience. I have worked on several projects, both team and individual (landing, web service, redesign, mobile app). I have experience working with tools such as Figma, Adobe Photoshop, Adobe Illustrator, and Canva.

Cozy House Web Service
Team project, full cycle design
Cozy House is a platform for host reservation that connects travelers with hosts who are willing to share their homes and culture while providing a safe and affordable accommodation option. We went through all stages of the design process: competitive analisys, user personas, JTBD, CJM, user flow, wireframes, visual design and adaptation.

Cucina di Catherina Website
Redesign, full cycle design
The old version of the website looked outdated and contained low-quality photos. A lot of unnecessary information distracted from the main product. The aim of the project was to refresh the website to attract potential customers. This required updating visual content, structuring information for easier navigation, and showing the product's unique selling proposition.
I'm looking for a full-time position. I'm able to work collaboratively with a team and take feedback constructively to produce the best possible outcomes. I am excited to learn from and work alongside experienced designers and eager to contribute my perspective to projects."
232,"I have 1 pet project, it is a booking table service application. It helps people to book table with no need to call and possibility to choose any available table from restaurant or cafe. 
Also I was team lead in the project of Travel Service. Now I am working on commercial Coaches service.
As a UI/UX Designer, I am passionate about creating visually appealing and user-friendly designs for web and mobile applications. My goal is to turn concepts into a reality, crafting designs that not only look great but also address the needs and simplify the daily goals of the target audience.

I developed a web travel service interface for ""change of environment"". This is a platform where hosts offer to provide tourists with an apartment in exchange for help with household chores instead of payment. The work consists of creating two user flows for hosts and tourists, wireframing, and adaptive versions.

Also I made Redesign of Ukrainian school - this is a platform with all information about school with possibility to contact school. The work consists of creating wireframes, desktop version and adaptive versions for tablet and mobile.
Growth opportunities, interesting projects, skills development. As a UI/UX Designer I offer expertise, collaborative skills, and commitment to excellence."
233,"I Designed a Mobile Banking Application, User Research for a Health App
As a UI/UX Designer, I have completed several projects focusing on creating intuitive and visually appealing user interfaces and enhancing user experiences. I have worked on projects ranging from mobile applications and websites to software interfaces. 

In these projects, I have employed a range of design tools and technologies to achieve desired outcomes. Some of the commonly used tools include design software like Sketch, Figma, Adobe XD, and prototyping tools like InVision or Marvel. These tools enable me to create wireframes, interactive prototypes, and high-fidelity designs.

My current role in the team involves collaborating closely with stakeholders, such as product managers, developers, and other designers, to understand user needs and translate them into compelling design solutions. I conduct user research, analyze user feedback, and conduct usability testing to inform design decisions. I then create wireframes, user flows, and visual designs that align with user goals and business objectives.

One area I continuously strive to improve is the usability and accessibility of the designs I create. I keep myself updated with the latest UI/UX design trends, best practices, and accessibility guidelines to ensure that my designs cater to a diverse user base. I also aim to enhance my skills in conducting user research and usability testing to gather valuable insights and validate design decisions effectively.

Overall, my goal is to create interfaces that not only look visually appealing but also provide a seamless and delightful user experience, ultimately helping users achieve their goals efficiently and effortlessly.
"
234,"I have own Pet-project and several team Pet-projects
As a UI/UX designer in my projects, I define the client’s problem, do competitive analysis, define the target audience, make CJM, define the user flow, create wireframes, mobile and tablet adaptations of the desktop project, do prototyping that will cover the pains and needs of users.
Created a web service ""Travel Go"" that will help organize a stay in another country very cheaply or even free with the possibility of volunteering.
Created a mobile application ""ReserveNow"" for booking tables in restaurants, which allows you to check the layout, the restaurant hall, choose the desired seats/table and reserve a table for a certain time.
Tools used: Figma, Adobe Photoshop, FigJam,  Adobe Illustrator.
My approach involves comprehensive design, encompassing task analysis, interface prototyping, establishing a visual style, and delivering a user-friendly and uncomplicated final product. I am eager to collaborate with you to create user-centered design concepts for your web and mobile applications!"
235,"As a Junior UX/UI Designer in Ukraine, I successfully completed a UX/UI design course and applied my learnings to create and lead a design team. During this experience, I fostered an environment of collaboration, creativity, and motivation, where team members listened to each other's ideas, learned new skills, and worked together to create innovative products. This achievement demonstrated my ability to not only apply my design skills but also lead and inspire a team to achieve success.
As a UX/UI Designer (2022-2023), I successfully built and managed a design team where we focused on UX research, prototyping, design, knowledge sharing, and teamwork. During my time in this position, I was able to develop my leadership skills and ensure that the team consistently delivered high quality design projects.

As a UX/UI designer (07.02-30.03, 2023), I was responsible for the development of the entire interface for a medical clinic. I conducted extensive UX research, which allowed me to create a user-friendly and intuitive interface design that met the needs of both the business and its users. This project was a testament to my design skills and ability to work effectively in a team. You can see the project from the inside by following the link in my resume.

Freelance, both graphic and UX/UI designer (03/15/23) I was engaged in the development of websites, posts. I worked both one-on-one with the client and in a mini team
"
236,"Certificate for successfully completing an 8-month course and obtaining practical knowledge at UX/UI design, Web-design and mobile design
As a UX/UI Designer, I am passionate about creating meaningful digital experiences that solve problems and simplify the lives of users. I specialize in designing for web and mobile applications and take pride in turning ideas into reality.

My design process involves a full cycle approach, starting with analyzing the task at hand and prototyping an interface that meets the needs of the target audience. I then create a visual style that aligns with the brand and turns the user's journey into a seamless and
intuitive experience.

My past experience in motion design can be highly valuable in my current role as a UX/UI designer.

I have experience in working on several projects:
“Unreal”. Mobile application for booking a table in unusual restaurants.
Mobile app, full cycle design.
Idea: provide users with a platform for booking tables in unusual or unique restaurants.
Goal:
offer a convenient and efficient way for users to reserve a specific table at their desired location, providing them with a memorable dining experience.

“Wings of hope”. Project for the restoration of social infrastructure facilities in Ukraine.
Web-service, full cycle design.
Idea: Develop a web service interface that can combine requests for the restoration of Ukraine's social infrastructure damaged during the war and requests for assistance to Ukraine from Ukrainian and foreign partners.
Goal:
The main goal is to attract as many communities, government officials, private organizations, and investors as possible to restore the social infrastructure of Ukraine.

Redesign the site of the Slavsko ski resort.
Website, full cycle design.
The idea of the project is to make a modern design for the site of the Slavske ski resort.
The goal is to attract for the rest more tourists, both local and foreign.
The structure of the site has been completely changed, a new unique recognizable style has been developed.

Test drive Audi Q3
Landing page, full cycle design.
Designed a landing page for advertising Audi with the ability to order a test drive.
I am looking for a company to work with teams including product managers, developers and other designers to bring my design ideas to life and create complete digital products."
237,"
As a web designer with no work experience, I have several personal projects. The last one was a website for museums, where my main goal was to create an attractive and informative interface for visitors. 

Using design tools, I created page layouts taking into account the persona's requirements and specifics of the museum environment. Special attention was paid to the placement of exhibits, navigation and visual perception. Taking into account the principles of UI and UX design, I created aesthetically appealing and functional interfaces. Using design tools and detailed requirements analysis, I created page layouts, positioned elements and provided easy navigation.

In the future, I want to develop as a UI/UX designer, gain experience working in a team and work with clients to learn their needs and offer better design solutions. I also plan to learn new technologies and tools to improve my design skills and incorporate them into my future projects. My goals are to create interfaces that provide an unforgettable user experience and help companies achieve their goals.
"
238,"I was a scrum-master in the first team project ""Mind map"", also I have 3 own design projects: Landing Page for the Flower Shop, Redesign of the Italian Roastery site and Web-service for the Cleaning Company.
Astute and organized Fresh UX/UI Designer skilled in user-focused research and data-driven design decisions. Specializing in creating user friendly wireframes and prototypes. 

PROJECT EXPERIENCE

Landing page for a flower shop

The goal of the project was to create a landing page to advertise the flower shop's new opportunity to order a bouquet with delivery. In the course of my work I analysed competitor sites and, first of all, created a moodboard to convey the emotional context of the product. Then I designed the wireframe and UI kit, after which the landing page was created.

Redesign for the Italian roastery website

The goal of this project was to redesign the website of the Italian roastery “Il Griso” with the aim of increasing its visual appeal and ease of use. In the course of work, I analysed the competitor sites and developed a structure for the organization of elements on the site that should be redesigned. Then I created the wireframes and UI kit of selected pages on the basis of which a selected site was redesigned, performing prototyping and adaptation as well.
Seeking to join an innovative design team to enhance the user experience for customers, leveraging my creativity and problem-solving skills to create industry-leading products."
239,"She took part in the exhibition (The Art of Change) from the Ukrainian House, also in the photo exhibition *24.02 Before and After* and in the CARDIFF SCHOOL OF ART AND DESIGN CARDIFF METROPOLITAN UNIVERSITY exhibition.
By starting at the art academy, I was able to acquire the base needed by every graphic designer, such subjects as fonts, composition, and color science allowed me to get a good foundation for developing my skills. Also successfully completed courses in Photoshop and Illustrator, Figma. During my time outside of my studies, I took courses and took small part-time jobs. One of the UI/UX Design projects I created under the supervision of a mentor was the redesign of the Turkish Airlines app, where I conducted a heuristic analysis of the existing design and looked for ways to improve it, taking into account the fact that the app has its regular users.
Also, at from zero to hero courses, I created a system design and a mobile application and website design for Richard Bank. My university background has given me many skills, I am still learning but I would like to use and develop my skills in a real environment and conditions.
I would not like to do packaging design."
240,"I personally worked on 3 projects, I have experience working in a team.
CloudyClean Webservice
The goal of the cleaning service was to enable the user to quickly find the right cleaner for his apartment using filters and easily order his services. An in-depth analysis of competitors and their user flow was conducted. Detailed work was done on the prototypes, and then on the user interface of the project.

Alaska Pete's Website Redesign
The purpose of this redesign was to modernize the user interface for its convenience, comprehensibility and attractiveness. Before the work, an in-depth analysis of the user flow, individual site blocks and site logic was also carried out.

Landing Page for a FlowerLover
The task of this project was to create a convenient, aesthetic and understandable landing page for a flower shop, of course with a previously analyzed logic of use for a potential buyer.
I expect to receive one-off projects to order ) I will also be glad to receive the position of a junior designer in the office or a position in remote work."
241,"In May 2023 got a Master's degree of Architecture and Urban Planning for a research project ""Modern Approaches to Implementing Information Technologies in Architectural Design."" 
Attained skills in self-organization, critical thinking, research, and analysis.
Completed two educational courses encompassing the comprehensive study of creating mobile applications and websites. Learned how to make effective and visually appealing digital products, from initial design to final implementation. 

Gained experience through development in 3 projects:

1) Website Redesign for FeelFull, a food delivery enterprise.
2) Catalogue Website for TviyBrend, an accessories retail company;
3) Mobile App Colory, designed to transform black and white photos into color.

Throughout the training, actively participated in online client meetings, conducted UX Research (interviews, online surveys, competitor analysis), formulated User Personas and Stories, designed User Flows, Wireframes, and Animated Prototypes.

Also I gained foundational skills in web development, including HTML markup, CSS styling, responsive and adaptive design principles.

Now I want to grow and to get new knowledge through real practic experience. Committed to create impactful and user-centered designs while actively expanding expertise in UX/UI principles.
"
242,"He was a team leader in the «Search for lost and found animals project».Participated in a social project: development of an animal search site.
- Conduct research
- Responsibility and meeting deadlines
- Excellent knowledge of computer graphics programs (Figma, Illustrator, Photoshop)
- Teamwork experience
- Develop layouts for websites, web and mobile applications and a great desire to learn
Project:
- Search for lost and found animals
Animal search project. The main objective of the project 
is to quickly find the lost animal and the opportunity to 
take someone in good hands. My job was to analyze 
competitors, develop a Site map, site functions and 
adapt it.
- Furniture
The task was to make a simple and user-friendly 
landing page for a furniture store. My job was to 
analyze competitors, select references, make a 
prototype and UI page.
I am constantly improving my skills and acquire new ones, which allows me to improve your competence. I strive to work and develop in a team professionals as a UI/UX designer."
243,"I know how to translate abstract ideas into concepts and wireframes. I have skills  in creating MVP. Participated in team projects. During my studies I created projects for E-commerce and Edteach. I know to use the Design System  in the creation of projects to speed up the work and quickly present wireframes to the customer sooner.
Courses UI/UX Designer at the GoIT school (Feb. 2023- Aug.2023)

I can design interfaces for websites and mobile applications. Created such projects as Landing page, Web-service, Mobile App within the scope of training.

Landing page «Rainbow».
It was a redesign of the existing kindergarten website, in which it was necessary to update the design and structure the information so that the user could easily book an appointment and choose a curriculum for his child.

Web-service «CleanHouse». 
It was a group project with three people where I developed my skills as a team player. The goal of the project was to develop a service that would help the user quickly find people who provide cleaning services, and with the opportunity to register their candidacy for the position of a cleaner.

Mobile App «MY BRAND». 
I worked in a group of 2 people. The idea was to create an application in which you can go shopping online with the possibility of home delivery.
I want to join a company that values ​​employees, so that I can prove myself there, gain experience, and become a valuable employee."
