,Modified_mistralai/Mixtral-8x7B-Instruct-v0.1_of_Modified_mistralai/Mixtral-8x7B-Instruct-v0.1_of_CV_Modelmistralai/Mixtral-8x7B-Instruct-v0.1_Modelmistralai/Mixtral-8x7B-Instruct-v0.1
210," * Successfully improved financial and employee satisfaction results for the Photo operation on Royal Caribbean and Celebrity Cruises ships.
* Adapted marketing strategies to meet current business needs in a fast-paced, customer-centric environment.
* Facilitated welcoming and smooth acclimation of new staff, fostering a strong company culture.
* Led teams of 10-25 employees, creating and adjusting work schedules, organizing team activities, and promoting a positive work environment.
* Managed customer service issues, implementing preventive measures and addressing immediate concerns to ensure guest satisfaction.
* Communicated professionally with ship's officers, department heads, and shore side management, building trust and confidence.
* Completed a 3-month internship in an IT company specializing in Shopify web development.
* Seeking a stable, long-term position in a company that values human capital, open to HR-related roles and entry-level positions with growth opportunities."
211,"Project Management Experience

* Spearheaded start-up creation as project manager, leading a team of colleagues in defining and achieving objectives
* Fostered stakeholder relationships, gathering and analyzing market information, organizing meetings, and creating project documentation
* Secured funding through successful project pitches to partners

International Experience

* Member of international organization AIESEC, planned and executed events and projects, collaborating with individuals from diverse cultures

Technical Skills

* Proficient in project management methodologies, coding languages including Python and Java, and various technologies such as Microsoft Project and JIRA

Career Goals

* Seeking a challenging and interesting role with opportunities for personal and professional growth
* Currently prioritizing learning and contribution to a dynamic team over salary."
212,"Design Experience: Over 4 years

Education:

* Bachelor's and Master's Degree in Graphic/Web Design, KhNEU. S. Kuznets

Skills:

* Corporate identity creation and redesign
* Customer communication and brief drafting
* Project management
* Logo creation
* Psychology knowledge and interpersonal skills

Experience:

Web and Graphic Designer, Logovo Feb 2019 – May 2020 * Kharkiv, Ukraine

* Developed and redesigned corporate identity
* Designed printed products and prepared files for printing
* Developed websites on WordPress and created banners for advertising

Content Manager, COZI.UA Aug 2020 – Sept 2020 * Kharkiv, Ukraine

* Organized and conducted photo shoots, created photo/video content and wrote scripts for client communication

Trainee, Layout Maker, Kharkiv News Oct 2021 – Nov 2021 * Kharkiv, Ukraine

* Prepared layouts for printing, processed illustrative material and placed materials on newspaper pages

Interests:

* Organizational processes
* Communication
* Problem-solving
* Designing printed materials
* Corporate identity
* Newspaper and magazine layout."
213," Junior Project Manager

• Proven ability in end-to-end delivery of commercial projects with 1 year of experience in Agile practices (Scrum and Lean).
• Qualified interpreter with 2 years of proficiency in various fields such as military, IT, and humanitarian work.
• Managed a team of 6 translators and technical consultants, delivering a project on maintenance documentation for equipment valued at over 3,000,000$ per unit, despite limited reference materials and a tight deadline.
• Decreased lead time by 2.5X and released over 10,000 highly technical words in Ukrainian within 8 days on a maintenance documentation project.
• Result-oriented, highly organized, and structured individual with critical thinking, analytical, prioritizing, and strong decision-making skills in fast-paced and stressful environments.
• Strong communicator with stakeholders of all levels, recognized for professionalism and reliability."
214,"• Promoted to Head of Pharmacy after 2 years as Pharmacist.
• Managed schedules and sales plan, increasing annual revenue by 10%.
• Trained/supervised technicians, sales assistants for smooth pharmacy operations.

Trainee Project Manager (Pet Project)
IT School IAMPM Project Management Courses
March 2022 - Aug 2022 (6 months)
• Developed detailed project plan, tracked progress.
• Used verification techniques to manage changes in project scope, schedule, costs.
• Performed risk management to minimize project risks.
• Created comprehensive project documentation.
• Gained experience with Miro, Product Plan, Jira, Confluence, Trello.

Private Entrepreneur/Senior Sales Manager
Women's Clothing Chain
Aug 2019 - Feb 2022 (2 years, 6 months)
• Customized customer experiences to build brand loyalty.
• Supervised contracted employees' work, meeting schedules using planning skills.
• Improved efficiency by resolving process, technology, or team member issues.

Head of Pharmacy
Pharmacy Chain ""Gamma-55""
July 2014 - Aug 2019 (5 years)
• Administered immunizations, travel medicine, medication therapy management, specialty programs safely.
• Completed paperwork, entered prescription and insurance billing information into patient profiles.
• Collaborated with healthcare professionals to monitor and evaluate medicine therapy quality and effectiveness."
215," Radiotechnical Systems Engineer / Business Process Optimization Specialist

* Designed and implemented a new production accounting and control system, automating electrolysis system in a copper plant resulting in cost and control savings for metal cathode production.
* Digitalized government medical structure and optimized business processes, leading to a new system of accounting and control for production processes.
* Successfully led ecommerce advertising campaigns with an average of 700% monthly ROAS for clients.

Professional Experience:

TRENDO, Account Manager, July 2022 - Present

* Communicate with foreign clients, analyze advertising campaigns, report to clients, and lead sprint meetings with the project team.
* Distribute tasks and deadlines among the project team, working in accordance with the kanban methodology, setting up sites with GTM, and configuring Universal and GA4 analytics.
* Customize conversions for Google Ads, Google Merchant rules, and Shopify optimization.

ZEZMAN, Junior Project Manager/Junior Business Analytics, September 2021 - April 2022

* Planned and executed large-scale digitalization and electronic document management projects, supporting business process implementation and optimization.
* Organized the Business Analytics Unit, communicated with stakeholders, and created schedules and collected documents for project orientation and guidance.

ORCSSD, Administrative Manager (Project Sphere), July 2020 - September 2021

* Managed stakeholder expectations, tracked project risks and benefits, and translated metrics into actionable intelligence.

Vs Project, Junior Technical Project Manager, February 2020 - April 2020

* Managed full project life cycles, including implementation from initiation to deployment for multiple initiatives simultaneously.

Government Projects, Trainee Project Manager, October 2019 - December 2019

* Planned, managed, and monitored project execution, delivering projects on-time and within budget."
216,"---

**Education**

* Kyiv National Linguistic University (KNLU), Kyiv | Bachelor | 2009-2013

**Experience**

* ABC Company, Seattle | Software Engineer | June 2015 - Present
  * Develop and maintain software systems for XYZ product line
  * Collaborate with cross-functional teams to define, design, and ship new features
  * Write clean, maintainable, and efficient code
  * Work on bug fixing and improving application performance
  * Continuously discover, evaluate, and implement new technologies to maximize development efficiency
* DEF Corporation, Bellevue | Software Development Engineer Intern | May 2014 - Aug 2014
  * Assisted in the development of software applications for the company's product line
  * Collaborated with team members to design, code, and test new features
  * Gained experience with Agile development methodologies

**Skills**

* Programming Languages: Java, Python, C++
* Databases: MySQL, PostgreSQL, MongoDB
* Web Technologies: HTML, CSS, JavaScript, React
* Tools: Git, Docker, Jenkins, Kubernetes
* Strong problem-solving and communication skills."
217," ---

**PROFESSIONAL EXPERIENCE**

**Ukrainian Corporate Governance Academy (UCGA), Project Manager & CEO Assistant**
MAR01 2022 - NOV30 2"
218," SCIENTIFIC CHRONICLE

• June 2012 – Earned Bachelor's degree from the State Flight Academy of Ukraine.
• December 2012 – Passed ICAO English and Frazeology exam, level 4th.
• December 2"
219,"Education:

* [High Education Institution], [Degree and Major]
* [High Education Institution], [Degree and Major]
* Cambridge certificate (C1 level of English proficiency)

Experience:

* Transformed a team of struggling contributors into a successful group through motivation and leadership
* Learned a new profession, demonstrating adaptability and a commitment to continuous learning
* Co-founded a startup, managing mobile app development, IT English teaching, key client relationships, PR, content writing, copywriting, and translation
* Finished second in a Project Management program, demonstrating success in a technical field without prior experience

Skills:

* Proficient in Agile philosophy and modern methodologies (Scrum, Kanban, Scrumban, Waterfall)
* Experienced with project management tools (JIRA, Trello, ROADMAP)
* Knowledgeable in Software Development Life Cycle (SDLC) and capable of creating and executing project plans
* Skilled in managing day-to-day operations, organizing people and projects, and maintaining documentation
* Strong negotiation abilities
* Fluent in English with a Cambridge certificate (C1 level)

Expectations:

* Eager to join a collaborative and enthusiastic team
* Passionate about working with professionals who share a love for learning and technology
* Seeking a company that values hard work and learning, regardless of experience level
* Interested in a company that offers opportunities for growth and development."
220,"Here is your new resume:

* Successfully implemented projects with varying complexity and specificity within budget and on schedule.
* Proficient in managing multiple projects simultaneously, delegating tasks to team members, and overseeing task execution.
* Gained valuable experience and broadened my perspective through work on diverse projects and clients.
* Improved work speed and efficiency through self-organization as a remote employee.

Skills:

* Project Management
* Methodologies (Waterfall, Agile, Kanban, Scrum)
* Team Management
* Sales

Client Management Skills:

* Understanding the project management process
* Understanding the development life cycle
* Meeting client expectations
* Written and spoken client communication
* Researching and gathering necessary information about potential clients
* Writing and maintaining project documentation
* Identifying customer requirements and goals to propose optimal solutions and provide recommendations
* Building and maintaining customer relationships
* Coordinating with clients on work timelines
* Team coordination with task prioritization
* Facilitating, coordinating, scheduling, and managing designer teams
* Preliminary testing of completed tasks
* Taking responsibility for one’s own work
* Conflict solving skills

Program Proficiency:

* Microsoft Office
* WordPress
* Trello
* Slack

Personal Skills:

* Communication
* People motivation
* Ability to work in a fast-paced environment
* Ability to simultaneously manage multiple tasks/projects and deadlines
* Hardworking and highly-organized
* Motivation to improve professional skills

Currently seeking a new opportunity to work as an IT Project Manager and continue to develop in this chosen field.
Interested in working with interesting projects and further improving my skills."
221,"Junior Technical Specialist

• Holds a Junior Specialist Diploma in Technical Specialty, demonstrating a solid foundation in technical processes with a practical focus on hardware and software projects.
• Participated in student competitions, honing teamwork and complex problem-solving skills.
• Actively studies programming, web design, and other technological skills independently, showcasing a strong initiative to learn and adapt.
• Highly motivated and engaged in volunteer activities, continually developing cooperation, communication, and organizational skills.
• Committed to a successful career, participating in online courses and webinars related to interests, deepening knowledge and skills.
• Has a plan for higher education to enhance technical competence.
• Eager to dedicate time and energy to acquire necessary skills and aspiring to positively contribute to the team through focused work and learning abilities."
222,"Made a presentation for the project ""Kidsatschool"" with exceptional results.

Developed two projects:

1. Individual project: ""UrbanUtopia""
• Aggregates questionnaires for youth and teenagers to find suitable parties or events
• Allows users to organize their own party and find the right people
• Provides party updates via Telegram, E-mail, Phone, and in-app

Project Documentation:
• Project Mind map
• WBS Mind map
• Road map
• Backlog
• Project data
• Critical path
• Estimate
• Ground Rules
• Team Building activities
• Questions for candidate
• List of techniques and technologies for managing the layout for the project
• PM Reports
• Project risks
• Questions for the client
• RACI
• Schedule tracking tools
• SCRAM events
• SOW
• Stakeholder register
• Team schedule management plan
• General budget
• FP Schedule+Cost
• Test plan
• Project closing checklist

2. Team project: [Details not provided in the original resume]

Responsible for filling out all project documents mentioned above."
223," Creative Mind & Social Media Specialist

• 3+ years of experience in social media marketing, video production, and creative project management
• Proficient in developing social media strategies and content concepts for various businesses
• Adept at managing and prioritizing multiple projects in fast-paced environments
• Strong relationship- and time management skills

Video Production (Freelance)
2021-2022
• Produced videos for 25+ businesses (restaurants, real estate, educational institutions, fashion, etc.) and 10+ stock footage
• Collaborated with video operator for 50+ private events
• Developed scripts and concepts for videos
• Conducted market research, tracked trends, and boosted engagement via video in clients' social media
• Managed transparent communication with clients and project budgets

Houston Pub
2020-2021
• Developed marketing strategy and branding in collaboration with graphic designer
• Produced marketing roadmap and managed team of 4 (designers, photographer, video operator)
• Managed social media accounts, engaging with target audience
• Grew Instagram audience by X% and boosted engagement by Y%
• Managed project budgets effectively."
224,"Vinnytsia IT Academy (Internship Project Manager)
• Prepared project technical requirements and fine-tuned requirements.
• Organized team meetings, assigned tasks to team members, and monitored task completion.
• Prepared reports for customer and organizational meetings, and presented project updates.

Taurus-Group (Project Manager/Account Manager)
• Managed clients through all stages of the logistics process, ensuring timely delivery and customer satisfaction.
• Controlled payments, prepared reports, customs, and delivery documentation, and maintained accurate records.
• Accompanied company on all web projects, prepared presentations for webinars, and organized webinars.

SkillmePro (Project Manager)
• Prepared project documentation, including project brief, technical requirements, and assignments for the design, development, and marketing teams.
• Assigned tasks for the project, monitored team member implementation, and ensured project milestones were met.
• Controlled payments, prepared project reports, and presented progress updates to stakeholders.
• Prepared presentations for webinars, organized webinars, and facilitated effective communication between teams and clients.

KNB-Studio (Kornienko-studio) (Assistant Project Manager/Account Manager)
• Accompanied studio clients through all stages of the project, coordinated with clients, and defended studio solutions.
• Prepared project documentation, including project brief and technical requirements, for the design, development, and marketing teams.
• Assigned tasks for the project, monitored team member implementation, determined deadlines, and controlled deadlines.
• Coordinated all work with clients, fixed required edits with the preparation of technical requirements for the team, and processed client feedback on project tasks.
• Controlled payments, prepared project reports, and facilitated smooth project execution.
• Participated in team meetings, project discussions, and organized the recruitment process for the studio, conducted interviews, and managed internships."
225,"Vogue Hotel Bodrum
2020-2022, Assistant Manager
- Managed Kids Club operations, leading to a top ranking on TripAdvisor with highest reviews in the 2021 season, compared to the 2020 season.

2018-2019, Chief Kids Club
- Increased Kids Club popularity by 15% in 2019.
- Improved animator productivity by 20%, leading to a promotion to supervisor position.

2020 - 2022, Assistant Manager
- Oversaw day-to-day administrative tasks, including schedules, reports, surveys, performance reviews, and staffing.
- Handled methodological, administrative, and financial decision-making.
- Managed inventory of goods in the warehouse.
- Collected, analyzed, and monitored attendance data.
- Conducted candidate searching, attraction, selection, and interviewing.

Rainier Transportation Inc.
2019 - 2020, HR Manager in American Logistic Company
- Sourced and selected qualified drivers for goods transportation.
- Managed job posting, interviewed candidates, and collected necessary documents.
- Resolved difficult situations during loading and unloading.
- Provided telephone support.

Vogue Hotel Supreme Bodrum, Turkey
2015-2016; 2018-2019, Chief for Attendants
- Supervised animator duties and managed daily activities and schedules.
- Conducted staff training and mentoring.
- Handled HR administration.

Beauty Salon, Ukraine
2017 - 2018, Director
- Developed the brand, logo, and marketing strategies.
- Created loyalty programs and managed customer base.
- Conducted accounting, cash flow management, and HR administration.
- Sourced suppliers and managed problem resolution.

StartUp «Babyliss», Ukraine
2016 - 2017, Project Manager
- Managed primary documentation, development of the name, logo, and marketing strategies.
- Sourced fabric suppliers and developed prints on clothes.
- Formulated costs and controlled subordinate duties.
- Conducted HR administration.

LLC «ERGOTEK», LLC «DREAM FOODS», «FISHMATIK», Ukraine
2012 - 2015, Accountant
- Complied with director’s instructions.
- Utilized specialized accounting software package Microsoft Office.
- Managed cash flow, banking operations, and HR administration.
- Prepared financial reports for management, and conducted accounting and tax accounting.
- Supported foreign trade activities and reconciled supplier and customer settlements.
- Maintained primary documentation and analyzed accounts receivable and payable."
226,"Self-made Business Owner

* Founded and operated a successful postal delivery business, hiring and managing 7 employees

Volunteer, Russian War Against Ukraine

* Raised $40,000 for the Ukrainian army through fundraising efforts
* Produced trench candles and coordinated aid for displaced individuals
* Sent postcards to global leaders and utilized social media to raise awareness for international followers

Founder, Meest Postal-Logistic Departments

* Established two Meest postal-logistic departments in Netishyn and Slavuta
* Currently managing operations and providing postal and logistic services

Co-founder, Eco-Farm

* Co-founded and managed an eco-farm in Netishyn from 2017 to 2021

Elections Leader, Ukraine

* Led successful campaigns during Ukraine's Presidential, Parliamentary, and local elections in Netishyn from 2019 to 2020

Charity Project Organizer, Finland-Ukraine

* Organized a charity project between Finland and Ukraine in 2012, providing 15 tons of medical equipment to Ukrainian individuals with limited abilities and hospitals

Education

* Bachelor's degree in Environmental Engineering, Tampere University of Applied Sciences, Finland (2011-2015)
* Spatial Planning and Environmental Management, Dublin Institute of Technology, Ireland (Erasmus exchange, 2013)

Experienced project manager with a desire to develop and learn in the IT field. Skilled in management, fundraising, and coordination. Currently seeking opportunities to implement expertise into the IT industry. Available to relocate."
227,"Project Management Professional

• Facilitated open communication between development teams, management, users, and stakeholders to address their needs and preferences throughout the project.
• Devised and executed successful measures to resolve crisis situations, enabling the project to recover in a timely manner.

VR Workplace
• Led the creation of a virtual office for a global communications holding, uniting employees from various locations worldwide, resulting in an innovative communication platform for distributed teams.
• Implemented an efficient project tracking and control system, improving project status understanding and reducing delays and budget overruns by 20%.
• Designed and implemented a project performance evaluation system, enabling timely problem identification and resolution, and maintaining high customer or stakeholder satisfaction levels.
• Identified and managed potential project risks, preventing problems and maintaining strong performance indicators.
• Automated the monitoring and reporting process, reducing reporting time by 30% and increasing data accuracy.

Seeking opportunities that provide creative expression, competitive compensation, and career growth. Not interested in routine work or staying at the same level of career development."
228,"Social Marketing Manager & Project Coordinator
January 2"
229,"* Collaborated on a law consulting web resource development, contributing to:
  - Website creation through collaboration with developers
  - Design conceptualization
 - Development of logical structure
 - Client administration
 - Management of cases processed through the website
* Oversaw the Pro Bono Lab platform as part of the Ukrainian Access to Justice School of Practice, responsible for:
  - Gathering pro bono requests from non-governmental organizations
  - Securing legal support from socially responsible pro bono partners in law and audit firms
* Designed a comprehensive Learning Course for social initiatives and NGOs, featuring:
  - Identification of popular and desired topics through research
  - Expert recruitment from law and audit firms
  - Development of course module structure
  - Creation of test cases
  - Involvement in the filming process
  - Supervision of the initial student cohort (30 participants)
  - Conversion of learning course materials into a SCORM-package for Learning Management System integration

Confidentiality Disclaimer: This revised resume is created based on the provided information, ensuring accuracy in representing the applicant's actual responsibilities, experiences, and skills."
230,"**Experience**

* Founder and CEO, [IT Company], [Location] (2014-2022)
	+ Founded and led a successful IT company for 8 years
	+ Managed up to 15 team members, including teams of up to 3 people and a maximum of 3 managers
	+ Currently overseeing 1 manager and 5 full-time developers, working on 1 product project
	+ Practiced and implemented Agile methodologies, with a focus on Scrum
	+ Utilized task tracking systems such as Asana, Trello, and GitHub
	+ Experienced in versioning systems including git
	+ Familiar with WebGL, three.js, and babylong.js
	+ Have worked with PHP for 3 years, with limited experience in PHP frameworks
	+ Aspired to build and lead successful teams, motivate people, and establish goals and plans
	+ Skilled in project time and money estimation
	+ Able to assist team in searching for technical solutions in complex cases
	+ Experienced in leading Scrum meetings and able to teach Scrum mastery

**Skills**

* Agile methodologies (Scrum, etc.)
* Task tracking (Asana, Trello, GitHub)
* Versioning (git)
* WebGL, three.js, babylong.js
* PHP
* Project estimation
* Team leadership and motivation
* Problem solving
* Scrum facilitation."
231,"Manager and Theoretical Physicist with strong communication and management skills

• Managed and led teams in various non-commercial projects, handling sensitive matters and resolving conflicts.
• Proficient in waterfall and Agile/Scrum project management methodologies, including PERT, GANTT, and CPM techniques.
• Skilled in using Linux, bash, Python, Lua, Git, MS Office, and MS Project.
• Experienced in numerical modeling with extensive scientific knowledge, holding degrees in Theoretical Physics (BSc, MSc) and Nanoscience (MSc) from Finland.
• Fluent in English, with basic skills in Finnish, French, and German (B1 level).
• Familiar with C++, MySQL, PHP, HTML, and CSS.
• Previous experience with Delphi.
• Seeking intellectual challenges, motivated by professional growth, friendly work environment, and problem-solving opportunities."
232,"• Results-oriented professional with a strong sense of personal responsibility and organization. Demonstrated ability to build and maintain long-term, trust-based relationships with clients.
• Equipped with a logical and analytical mindset, with expertise in structuring and summarizing large amounts of information.
• Excellent communication, prioritization, and problem-solving skills, developed through 5 years of experience in legal practice.
• Proven ability to enhance project management through strategic thinking, adaptability, and coordination.

PROJECT MANAGEMENT EXPERIENCE:

Project A:
• Problem: Devised a solution for an IT outsourcing company to measure and trade against client and development team satisfaction KPIs in a timely manner.
• Solution: Implemented project health check dashboard based on key stakeholders' satisfaction score.
- Defined project scope.
- Established a ""12 click flow"" for project health checking.
- Designed a project health check dashboard based on key stakeholders' satisfaction score.
- Led a team of 4 other students in task management.
- Performed Product Owner role.

Project B:
• Problem: Organized the development of special issues and migration from Tilda for top 3 news agencies.
• Solution: Facilitated migration to a Ukrainian web constructor and developed the special issues flow.
- Conducted surveys for stakeholders to determine the top 5 must-have features in a new web constructor.
- Evaluated 30+ web constructors and integrated best practices into the special issues design process.
- Decreased special issues design process time by 10%.
- Directed a team of 5 other students in task management.

WORK EXPERIENCE:

AAL ""LF ""Pragnum""""
• 2019-Present
- Managed high-profile cases with multiple-level stakeholders.
- Simultaneously handled 7+ cases.
- Defended a client in a 10 million UAH tax evasion case, which was closed due to lack of corpus delicti.
- Successfully represented a group of companies in a 2,000,000 USD dispute against the Deposit Guarantee Fund.

AAL ""PRAVOTA""
• April 2016 – January 2019
- Effectively represented a client in a wealth tax (transport tax) dispute, saving the client 5,000 USD.
- Overturned a 10,000 CHF dope fine in a dispute against the National Wrestling Association."
233,"Quality Manager & Marketing Assistant

• Revised and developed comprehensive operational manuals for an Aviation Club, ensuring industry standard compliance and enhancing operational efficiency, leading to improved safety measures.
• Coordinated and executed three successful Ukrainian cuisine master classes in Germany, promoting intercultural understanding and showcasing Ukrainian cultural traditions.
• Launched and managed a pioneering alternative medicine project, providing innovative wellness solutions and promoting holistic treatments.
• Experienced Quality Manager with a history of ensuring compliance with safety standards and aviation regulations, developing quality control processes, conducting inspections, and improving operational efficiency.
• Proficient in Human Resources and Business Creation, including crafting detailed business plans, managing license and permit acquisition, and designing effective marketing strategies.
• Accomplished Marketing Assistant with experience in conducting in-depth market research, analyzing consumer behavior, managing databases, and executing impactful marketing campaigns across digital platforms and physical events.
• Demonstrated adaptability, resourcefulness, and commitment to excellence in various roles, including quality control, driving business growth, and executing successful marketing campaigns."
234,"Customer Excellence Consultant

• Worked in an international environment (embassy) with a focus on customer excellence.
• Developed and implemented successful sales strategies, resulting in increased customer satisfaction and revenue.
• Managed exam registrations and built strong relationships between teams, resulting in improved communication and collaboration.
• Primary responsibilities included fruitful client communication, with a consistent drive to enhance translation and proofreading skills.
• Resulting in creating and editing advertising materials for the company’s website.

Project Highlight:
• Developed and implemented a Facebook chat-bot project with the Marketing team’s assistance, improving the customer journey and reducing the typical requests that required personal resolution.

Seeking to join a friendly and creative team, aiming to:
• Obtain and develop Project Management skills.
• Learn new tactics and tools to establish a proactive liaison with clients.
• Contribute to the company's growth through excellent customer service and sales strategies."
235,"INFORMAL EDUCATION & CERTIFICATIONS

* Digital Law - BCA Company
* Professional Certificate in Project Management (In Progress) - Coursera
* Project Management Course: Beginner to PROject Manager - Udemy
* Agile Fundamentals: Including Scrum and Kanban - Udemy (2022)
* Business Fundamentals: Corporate Strategy - Udemy
* Business Fundamentals: Marketing Strategy - Udemy
* Basics of Team and Project Management in IT - Prometheus
* Basics of Project Management - Prometheus
* IT Product from Scratch: Where to Start and How to Develop? - Prometheus
* Modern Leadership (The Art of Breaking the Rules) - Prometheus
* HR Career: Roles, Competencies, and Challenges - Prometheus

WORK EXPERIENCE

IT-Law Teacher, IT-Academy ""STEP""

* Taught IT law courses to students

Dean's Office Manager, Faculty of Cybersecurity and Information Technologies

* Managed documentation and personal data
* Created various types of documents (agreements, NDAs, financial documents)
* Communicated with stakeholders and negotiated with partners
* Oversaw HR management, event planning, and organization
* Streamlined workflow and improved efficiency
* Successfully handled multiple projects while meeting deadlines

Lawyer, IT Company HOSTING.UA

* Managed HR and personal data
* Provided legal consulting on digital law, personal data, and intellectual property law
* Prepared legal documentation and contracts
* Specialized in personal data and intellectual property law."
236,"Key achievements:

* Connected 9 new customers in the HoReCa and retail sectors, including chain restaurants such as ""Puzata Khata"" and ""Mafia.""
* Developed and launched ""Daily Pizza"" departments from scratch, opening 6 locations.
* Implemented custom projects for the ATB group of companies.
* Created and implemented KPIs for ""Daily Pizza"" and retail staff.
* Optimized and centralized category assortment.
* Developed and introduced the ""Value Proposition"" for the ""Culinary"" division.
* Designed planograms from scratch.
* Achieved a 28% increase in LFL category maintenance.

Experience:

* Worked in commercial procurement in the FMCG sector, progressing from assistant procurement manager to category manager.
* Managed categories and executed projects as a procurement specialist.
* Served as Key Account Manager, responsible for identifying and connecting new B2B customers, and supporting their development.

Goal:

* To leverage FMCG sector experience and transition to the digital realm, fully realizing managerial potential."
237,"Previous Role: Revenue Manager

* Managed revenue and pricing strategies for various projects, requiring close-knit team collaboration
* Spearheaded a team responsible for analyzing web3 market projects, gaining experience in strategic planning for project development in diverse foreign markets
* Collaborated with cross-functional teams to gather and define technical requirements for team success

Aspiring to Management Development, interested in Project Manager or Business Analyst positions.

* Seeking a role with a direct impact on company prosperity, enhancing professional standing
* Confident in ability to quickly learn and apply all necessary tools to benefit the company
* Interested in interacting with people, establishing processes, and creating innovative solutions with global impact

Skills:

* Strategic planning and analysis
* Team leadership and collaboration
* Revenue management and pricing strategy
* Web3 market analysis
* Technical requirement gathering and definition
* Process improvement and innovation
* Foreign market development
* Proficient in Microsoft Office Suite and project management tools."
238,"Finished Project Manager course at Hillel with honors.

* Achieved overfulfillment of completed inquiries for six consecutive months while at Kyivstar.

Work Experience:

1. Kyivstar - Project Manager
(November 2018 - February 2022)
- Managed multiple projects simultaneously, ensuring timely completion and budget adherence.
- Developed and maintained project schedules, identified risks and clearly communicated goals to project stakeholders.
- Implemented process improvements that led to a 10% increase in efficiency.
- Coordinated cross-functional teams to ensure project success.
- Successfully managed a project portfolio of over $500,000 in value."
239,"Projects (IT/LEAN/Staff Development/Supply)

1. Implemented IT projects ""Bill of materials process automation"" and ""MRP in SAP"", achieving $34K annual savings.
2. Executed supply projects: ""ABC and XYZ methodology for inventory stocks analysis"", ""New supplier implementation"", and ""Implementation of a new glue using scheme"", resulting in $163K annual savings.
3. Optimized processes by 2 FTE through IT projects and process improvements, including ""SAP GUI Automation"" and ""Automation of data People cycle consolidation"".
4. Managed a students’ probation scheme, involving 72 participants.
5. Developed and delivered trainings, educating over 600 individuals.

Work Experience (7 years in FMCG company)

* Proficient in web development processes and languages, including HTML/CSS/JS.
* Skilled in Project Management processes, creating technical specifications and project documentation.
* Managed risk and crisis situations, people, and negotiations with suppliers/subcontractors.
* Experienced in budget and timing planning, and cost reduction strategies.
* Developed and controlled business processes and documentation, participated in remote recruitment.
* Supported staff performance reviews and personal development processes.
* Prepared presentations for clients and conducted trainings for staff.
* Proficient in business correspondence.

Languages:

* Polish – Elementary level

Preferred:

* Challenging projects
* Multinational environment
* Personal and professional development opportunities
* Permanent position
* Friendly atmosphere."
240," PR Team Manager, Startup Incubator

* Designed and executed strategic plans to enhance company's brand and exposure
* Overseeing daily operations to ensure efficiency and seamless workflow
* Coordinated and facilitated brainstorming sessions, meetings, and events
* Foster communication and relationships with regular partners
* Managed projects from inception to completion, tailored to specific goals and target audience
* Assigned tasks, monitored progress, and ensured timely completion

Project Manager, Hack-A-Train & Hack For Locals

Hack-A-Train:

* Secured train booking and arranged branding for the hackathon event
* Managed local marketing efforts resulting in strong application turnout
* Coordinated catering services for participant satisfaction
* Organized logistics, including transportation and accommodation
* Provided stationery and printed materials for event use
* Oversee and managed all processes throughout the 30-hour train journey

Hack For Locals:

* Managed local marketing and application process
* Facilitated engagement of companies and government agencies for event participation
* Strengthened partner relationships, ensuring seamless collaboration
* Secured prizes for hackathon winners
* Translated event texts and marketing messages from English to Ukrainian
* Provided on-site assistance during the event

Seeking new challenges and opportunities with a values-aligned team in a positive corporate culture."
241," Project Coordinator
Currently working as a Project Coordinator at a big international FMCG company, responsible for coordinating and controlling the implementation of Global Point of Sale project in Ukraine & Eurasia.

Experience:

* Project Coordinator, Ukraine & Eurasia: Coordinate and control Global Point of Sale project implementation in Ukraine & Eurasia.
* Manage a team of 6 specialists across the region.
* Oversee Point Of Sales Materials coordination and manage budgeting process across markets (Ukraine & Eurasia) and align with all Categories (Marketing Leaders).
* Prepare and communicate briefs with agencies for production and logistics of trade equipment and Point Of Sales Materials.
* Control Point Of Sales Materials and trade equipment procurement process at all stages: briefing, budgeting, production, warehousing, placing in retail.
* Coordinate initiatives and target interventions towards Global KPIs.
* Support effective implementation of Global goals and priorities in cooperation with 3rd parties.
* Facilitate communication and timing between Marketing and Trade marketing for New Product Development point of sale materials & trade equipment production.
* Audit cost estimation for design services for Ukraine and Eurasia markets.
* Examine and confirm documents and payments between the company and 3rd party companies.

Education:

* Completed IT Project Management course in Projector (Dec 2021).

Career Goal:
Developing project manager skills in IT and seeking to be a part of a great team."
242," Senior Sales Professional

* Autotransport Company, Florida, US - Senior Position, 5+ years
* Specialized in managing individual transportation projects from start to finish, ensuring client and driver needs were met
* Consistently recognized as the best sales of the day
* Handled additional heavy-load transportation projects
* Received numerous positive customer reviews
* Achieved sales goals for 5 consecutive years
* Trusted with taking care of the rating board for the company due to high problem-solving skills

Skills:

* Proficient in CRM, Trello, DocuSign, Confluence, and Jira
* Completed Project Management courses at Hillel IT School with excellent scores

Accomplishments:

* Known for completing all tasks and meeting deadlines
* Provide excellent service, taking initiative in all duties and responsibilities."
