,Modified_anthropic/claude-3.5-sonnet_of_Modified_claude-sonnet-4-20250514_of_CV_Modelclaude-sonnet-4-20250514_Modelanthropic/claude-3.5-sonnet
485,"PROFESSIONAL EXPERIENCE

Assistant Manager
Vogue Hotel Supreme Bodrum, Turkey | 2020 - 2022
• Achieved highest TripAdvisor ratings for Kids Club through strategic team leadership and performance optimization
• Oversaw comprehensive administrative operations including staff scheduling, reporting, surveys, and performance evaluations
• Directed strategic decision-making for methodological, administrative, and financial initiatives
• Managed warehouse operations and inventory control systems
• Implemented data-driven attendance monitoring and analysis
• Spearheaded full-cycle recruitment processes including talent acquisition and candidate evaluation

HR Manager
Rainier Transportation Inc, USA | 2019 - 2020
• Led end-to-end recruitment process for transportation personnel
• Developed targeted recruitment campaigns across multiple media channels
• Executed comprehensive candidate screening and hiring procedures
• Maintained detailed documentation and database management
• Resolved complex operational challenges in logistics operations
• Provided advanced customer service support

Chief for Attendants
Vogue Hotel Supreme Bodrum, Turkey | 2018 - 2019, 2015 - 2016
• Drove 15% increase in Kids Club engagement through strategic improvements
• Enhanced team performance by 20% through effective leadership
• Advanced to supervisory role through demonstrated excellence
• Directed daily operations and staff management
• Orchestrated activity planning and team coordination
• Developed and executed staff training initiatives
• Managed HR administrative functions

Director
Beauty Salon, Ukraine | 2017 - 2018
• Established comprehensive brand identity and marketing framework
• Designed and implemented customer retention strategies
• Managed vendor relationships and supply chain operations
• Oversaw financial systems and accounting processes
• Directed all HR operations and staff management
• Developed customer relationship management systems
• Administered financial operations and strategic planning

Project Manager
StartUp «Babyliss», Ukraine | 2016 - 2017
• Maintained precise documentation and record-keeping systems
• Created comprehensive brand identity and marketing strategy
• Managed supplier relationships and procurement processes
• Led design and development of product patterns
• Conducted project financial analysis and budget management
• Supervised team performance and operations
• Administered HR functions and personnel management

Accountant
LLC «ERGOTEK», LLC «DREAM FOODS», «FISHMATIK», Ukraine | 2012 - 2015
• Executed financial operations with high accuracy and compliance
• Managed accounting processes using specialized software
• Administered cash flow operations and banking transactions
• Maintained comprehensive HR records and documentation
• Generated detailed financial reports for executive review
• Ensured tax and accounting compliance
• Facilitated international trade documentation
• Conducted vendor reconciliations and settlement processes
• Managed accounts receivable and payable portfolios"
486,"PROFESSIONAL EXPERIENCE

FOUNDER & BUSINESS OWNER | June 2020 – Present
Meest Postal-Logistic Departments, Netishyn & Slavuta
• Established and scaled two profitable postal-logistic departments from ground up, achieving operational excellence
• Developed and implemented business strategies resulting in successful expansion to multiple locations
• Built and lead high-performing team of 7 employees while optimizing operational efficiency
• Oversee end-to-end logistics operations, including resource allocation, delivery scheduling, and quality control

VOLUNTEER COORDINATOR | February 2022 – Present
Ukraine Support Initiative
• Spearheaded fundraising campaigns generating $40,000 in military support donations
• Orchestrated large-scale production and distribution of essential military supplies
• Developed and executed comprehensive aid distribution system for displaced persons
• Led international outreach initiatives through strategic multichannel communications
• Cultivated and maintained extensive global network of supporters for humanitarian assistance

CO-FOUNDER | September 2017 – December 2021
Eco-Farm, Netishyn

PROJECT LEADER | February 2019 – October 2020
Electoral Operations, Netishyn
• Directed critical operations for national and local electoral processes
• Ensured seamless execution of Presidential, Parliamentary & local elections

PROJECT ORGANIZER | April 2012
Finland-Ukraine Charity Initiative
• Led cross-border humanitarian initiative between Finland and Ukraine
• Managed logistics for 15-ton medical equipment delivery to Ukrainian healthcare facilities

EDUCATION

Bachelor of Environmental Engineering | 2011-2015
Tampere University of Applied Sciences, Finland

Spatial Planning and Environmental Management | 2013
Dublin Institute of Technology, Ireland (Erasmus Exchange Program)

CORE COMPETENCIES

• Strategic Project Management
• International Operations Coordination
• Business Development & Strategy
• Team Leadership & Performance Management
• Supply Chain & Logistics Optimization
• Strategic Fundraising
• Cross-Cultural Communication
• Strategic Planning & Execution

ADDITIONAL INFORMATION

Currently transitioning into IT sector with strong project management background. Located in Netishyn with flexibility to relocate."
487,"**PROJECT MANAGER**

**PROFESSIONAL SUMMARY**
Results-driven Project Manager with proven success in virtual workplace solutions and distributed team management. Demonstrated expertise in risk mitigation, process optimization, and stakeholder communication.

**EXPERIENCE**

**VR Workplace Project**
Senior Project Manager | Virtual Office Platform Development

Led end-to-end development of innovative virtual office platform enabling global communication and collaboration for distributed teams.

Key Achievements:
• Orchestrated seamless communication between development team, management, stakeholders, and end-users
• Implemented crisis management protocols resulting in rapid project recovery
• Designed and deployed comprehensive project tracking system, optimizing resource allocation and timeline adherence
• Established performance evaluation framework enabling proactive issue resolution
• Delivered exceptional project outcomes surpassing stakeholder expectations
• Developed risk management strategies ensuring continuous project momentum
• Streamlined reporting processes achieving 30% efficiency improvement and enhanced data integrity

**OBJECTIVE**
Dynamic Project Manager seeking challenging role in innovative environment with competitive compensation and advancement opportunities.

**CORE COMPETENCIES**
• Project Life Cycle Management
• Stakeholder Communication
• Risk Management
• Process Optimization
• Crisis Resolution
• Performance Tracking
• Team Leadership"
488,"**Social Marketing Manager**
Art and Health HUB by ZELO | January 2023 - Present

• Spearheaded comprehensive social media strategy resulting in 30% increase in event registrations and participation across Facebook and Instagram platforms
• Orchestrated end-to-end management of social media campaigns, from concept development to performance analysis
• Streamlined customer support operations through social media channels, significantly reducing response time
• Leveraged data analytics to optimize content strategy and campaign performance
• Built and maintained strategic relationships with social media influencers to amplify brand reach
• Developed compelling copy and managed content calendar across multiple platforms
• Facilitated positive community engagement through proactive moderation and timely response to customer inquiries
• Pioneered implementation of emerging social media trends and best practices

**Branch Manager**
PrivatBank | September 2015 - December 2022

• Achieved 90% customer satisfaction rate through strategic leadership and proactive problem-solving
• Cultivated and maintained relationships with micro-business clients, providing comprehensive financial advisory services
• Optimized branch operations through systematic workflow management and process improvement
• Ensured strict compliance with regulatory requirements and banking standards
• Facilitated resolution of complex issues through effective coordination with legal entities and stakeholders

**Project Team Leader**
BabyHealthyBite Project

• Directed development of innovative mobile application for parent education in infant nutrition
• Established comprehensive project roadmap and organizational framework
• Managed project budget allocation and strategic planning
• Created detailed project backlog and scope of work documentation
• Developed customer-centric value proposition and journey mapping

**Core Competencies**

• Strategic Leadership
• Data-Driven Decision Making
• Stakeholder Management
• Project Management
• Client Relationship Building
• Regulatory Compliance
• Process Optimization
• Team Development
• Communication Excellence
• Analytical Problem-Solving"
489,"**WEB DEVELOPMENT PROJECT LEAD - LEGAL CONSULTING PLATFORM**

• Spearheaded development of comprehensive online legal consulting platform, driving collaboration across cross-functional teams
• Architected intuitive user experience and responsive design solutions, optimizing site performance and engagement
• Implemented robust client administration system, streamlining user relationship management and case workflow
• Established performance metrics and optimization strategies, ensuring seamless platform functionality
• Led end-to-end project lifecycle from conception to deployment

**PRO BONO LAB MANAGER**
*Ukrainian Access to Justice School of Practice*

• Directed operations of Pro Bono Lab platform, driving strategic growth and community impact
• Orchestrated partnerships between NGOs and legal firms, resulting in expanded access to pro bono services
• Developed and implemented efficient matching algorithm for legal support requests
• Built and maintained relationships with leading law firms and audit businesses
• Optimized service delivery processes, enhancing platform effectiveness

**LEARNING PROGRAM DEVELOPER & ADMINISTRATOR**
*Legal Education Initiative for NGOs*

• Designed and launched comprehensive legal education program for social initiatives and NGOs
• Developed modular curriculum framework based on extensive needs analysis research
• Recruited industry-leading subject matter experts, building strong professional network
• Created innovative assessment materials and practical case studies
• Managed end-to-end video production and multimedia content development
• Successfully administered pilot program for 30 participants with 100% completion rate
• Engineered SCORM-compliant course packages for seamless LMS integration"
490,"PROFESSIONAL EXPERIENCE

Founder & CEO | IT Company | 8 Years
• Established and scaled IT company managing cross-functional teams of 15 professionals, delivering innovative software solutions
• Orchestrated strategic planning and operations across 3 collaborative teams, driving project success and business growth
• Direct oversight of technical leadership team, including 3 managers, currently leading 1 manager and 5 full-time developers
• Championed agile transformation through Scrum implementation, enhancing team productivity and project delivery
• Optimized project workflows using advanced task management platforms (Asana, Trello, GitHub)
• Implemented robust version control protocols using Git to ensure code quality and collaboration

TECHNICAL SKILLS
• Advanced WebGL and three.js development expertise
• Babylon.js implementation specialist
• PHP development (3 years)
• React.js and Vue.js fundamentals
• Working knowledge of PHP frameworks

CORE COMPETENCIES
• Strategic Project Planning & Cost Analysis
• Complex Technical Problem Resolution
• Certified Scrum Master & Agile Leadership
• Team Building & Performance Optimization
• Strategic Goal Setting & Execution
• Retrospective Analysis & Process Improvement
• Team Leadership & Talent Development

CAREER OBJECTIVE
Results-driven technology leader seeking to leverage extensive team management and agile methodology expertise to build high-performing teams and drive organizational success through strategic planning and effective leadership."
491,"PROFESSIONAL SUMMARY
Results-driven leader with proven success in managing complex projects and diverse teams. Combines advanced scientific background in Theoretical Physics and Nanoscience with exceptional problem-solving capabilities. Demonstrates expertise in team leadership, conflict resolution, and strategic communication. Leverages analytical mindset and technical proficiency to deliver innovative solutions in challenging environments.

EDUCATION
MSc in Nanoscience - Finland
MSc in Theoretical Physics
BSc in Theoretical Physics

LEADERSHIP EXPERIENCE
• Spearheaded large-scale scientific project coordination and execution during university studies
• Developed and implemented team management strategies across academic and personal initiatives
• Built and led high-performing teams through various organizational challenges
• Successfully mediated conflicts and managed sensitive situations requiring diplomatic approach

TECHNICAL COMPETENCIES
Project Management
• Proficient in Waterfall, Agile/Scrum methodologies
• Experience with PERT, GANTT charts, and Critical Path Method (CPM)

Software Development & Tools
• Python (Scientific Computing)
• Lua, C++, PHP
• HTML/CSS
• Delphi
• Git version control
• Linux/bash
• MySQL database management
• Microsoft Office Suite & MS Project

Core Strengths
• Numerical modeling
• Complex problem analysis
• Strategic planning
• Team coordination

LANGUAGE PROFICIENCY
• English - Professional working proficiency
• German - Intermediate (B1)
• Finnish - Basic
• French - Basic

CAREER OBJECTIVES
Seeking leadership opportunities to leverage scientific expertise and management skills in technology-driven environments. Committed to delivering innovative solutions through collaborative team leadership and strategic problem-solving approaches."
492,"**PROFESSIONAL SUMMARY**

Strategic and results-driven professional with 5+ years of demonstrated success in complex project delivery and legal practice. Proven track record of building sustainable stakeholder relationships and driving multimillion-dollar outcomes. Excel at synthesizing complex information into actionable insights while managing concurrent high-stakes initiatives. Known for exceptional analytical capabilities, meticulous attention to detail, and data-driven decision making. Demonstrated success in team leadership and process optimization across diverse organizational environments.

**PROJECT MANAGEMENT EXPERIENCE**

**IT Performance Measurement Initiative**
• Led development of comprehensive project health dashboard incorporating stakeholder satisfaction KPIs
• Streamlined assessment process through innovative ""12 click flow"" methodology
• Directed cross-functional team of 4 in successful platform implementation
• Served as Product Owner, defining project scope and deliverables
• Implemented data-driven performance tracking system for client satisfaction metrics

**Digital Migration Project**
• Spearheaded platform migration initiative for three leading news agencies
• Conducted comprehensive analysis of 30+ web constructor platforms to identify optimal solution
• Designed and implemented streamlined special issues workflow, achieving 10% efficiency improvement
• Led stakeholder engagement resulting in identification of critical platform requirements
• Managed 5-person project team through successful platform transition

**PROFESSIONAL EXPERIENCE**

**AAL ""LF Pragnum""** | 2019-Present
• Lead counsel for complex multi-stakeholder litigation and corporate matters
• Successfully managed portfolio of 7+ concurrent high-profile cases
• Secured dismissal of 10M UAH tax evasion case through strategic defense strategy
• Led successful representation in $2M dispute against Deposit Guarantee Fund

**AAL ""PRAVOTA""** | 2016-2019
• Pioneered successful wealth tax dispute resolution strategy, resulting in $5,000 client savings
• Achieved landmark victory in 10,000 CHF dispute against National Wrestling Association
• Established precedent-setting legal approach for transport tax cases in Ukraine"
493,"PROFESSIONAL EXPERIENCE

Quality Manager | Aviation Club
• Led complete overhaul of operational manuals, implementing industry-standard compliance protocols and optimizing processes
• Designed and executed comprehensive safety enhancement initiatives, resulting in improved operational efficiency
• Orchestrated quality control systems and conducted thorough compliance audits for aviation regulations
• Established robust inspection protocols and quality assurance frameworks
• Developed and implemented data-driven strategies to maximize operational effectiveness while maintaining rigorous safety standards

Alternative Medicine Project Leader
• Led innovative alternative medicine initiative focused on holistic wellness approaches
• Designed and delivered personalized treatment solutions, enhancing patient care outcomes

Cultural Workshop Organizer
• Conceptualized and executed three successful Ukrainian cuisine masterclasses in Germany
• Facilitated cross-cultural exchange through authentic culinary experiences
• Built strong international relationships through engaging workshop environments

Marketing Assistant | Marketing Company
• Executed comprehensive market research initiatives and consumer behavior analysis
• Deployed strategic marketing campaigns across multiple platforms
• Created high-impact marketing content driving audience engagement
• Administered customer relationship management systems
• Optimized lead generation processes for improved conversion rates

BUSINESS DEVELOPMENT EXPERIENCE
• Developed strategic business plans and growth initiatives
• Managed end-to-end licensing and permit acquisition processes
• Executed complete business setup operations
• Conducted location analysis and selection
• Implemented integrated branding and marketing strategies

CORE COMPETENCIES
• Quality Control and Compliance Management
• Safety Standards and Aviation Regulations
• Market Research and Consumer Behavior Analysis
• Database Management and CRM
• Business Planning and Development
• Cultural Program Development
• Strategic Planning and Implementation
• Marketing Campaign Development
• Project Leadership
• Organizational Skills and Attention to Detail"
494,"CUSTOMER EXCELLENCE CONSULTANT | INTERNATIONAL ENVIRONMENT (EMBASSY)

PROFESSIONAL EXPERIENCE
• Spearheaded development of strategic sales initiatives, resulting in enhanced client relationships through expert negotiation and consultation
• Orchestrated comprehensive exam registration processes while fostering seamless cross-departmental collaboration
• Cultivated excellence in customer service through strategic communication and proactive client engagement
• Delivered high-quality translation and proofreading services for critical organizational communications
• Conceptualized and executed compelling advertising content for company digital platforms
• Led implementation of automated Facebook chat-bot solution in partnership with Marketing division
• Revolutionized customer experience by streamlining inquiry processes through innovative chat-bot automation

CORE COMPETENCIES
• Strategic Sales Development
• Client Relationship Management
• Advanced Negotiation Skills
• Translation & Content Enhancement
• Digital Marketing Strategy
• Cross-functional Team Leadership
• Process Optimization
• Customer Experience Excellence

CAREER OBJECTIVE
Results-driven professional seeking to leverage project management expertise within an innovative team environment. Focused on advancing methodological capabilities and fostering client relationships to drive organizational success and growth."
495,"PROFESSIONAL EXPERIENCE

Dean's Office Manager | Faculty of Cybersecurity and Information Technologies
• Orchestrated comprehensive documentation management including confidential data processes, agreements, NDAs, and financial records
• Established and maintained strategic relationships with key stakeholders through effective communication and negotiation
• Implemented and optimized workflow processes to enhance operational efficiency
• Led HR operations including recruitment, onboarding, and personnel management
• Successfully executed multiple concurrent projects while consistently meeting critical deadlines
• Developed and coordinated faculty events and initiatives
• Streamlined administrative procedures resulting in improved organizational effectiveness

Legal Counsel | HOSTING.UA
• Spearheaded HR compliance initiatives and personal data protection protocols
• Provided strategic legal counsel on corporate matters and risk management
• Developed expertise in personal data law and intellectual property rights
• Drafted and reviewed complex legal documentation and commercial contracts
• Ensured organizational compliance with regulatory requirements

IT-Law Instructor | IT Academy ""STEP""
• Delivered comprehensive IT law curriculum to students
• Facilitated understanding of legal frameworks in technology sector

PROFESSIONAL CERTIFICATIONS
• Digital Law (BCA Company)
• The Project Management Course: Beginner to PROject Manager (Udemy)
• Agile Fundamentals: Including Scrum and Kanban – 2022 (Udemy)
• Business Fundamentals: Corporate Strategy (Udemy)
• Business Fundamentals: Marketing Strategy (Udemy)
• Basics of Team and Project Management in IT (Prometheus)
• Basics of Project Management (Prometheus)
• IT Product from Scratch: Where to Start and How to Develop? (Prometheus)
• Modern Leadership (The Art of Breaking the Rules) (Prometheus)
• HR Career: Roles, Competencies and Challenges (Prometheus)

IN PROGRESS
• Professional Certificate ""Google Project Management"" (Coursera)"
496,"**Professional Experience**

**Category Manager | FMCG Sector**
• Spearheaded category growth from Assistant Procurement Manager to Category Manager, demonstrating consistent advancement
• Orchestrated end-to-end category operations with P&L responsibility and strategic initiative implementation
• Secured partnerships with 9 major HoReCa and retail clients, expanding market presence
• Successfully executed large-scale implementations for industry leaders including ATB group, Puzata Khata, and Mafia
• Pioneered Daily Pizza concept development and expansion, launching 6 profitable locations
• Engineered performance management system with targeted KPIs for Daily Pizza and retail operations
• Streamlined product portfolio through strategic assortment optimization and centralization
• Architected and executed comprehensive value proposition strategy for Culinary division
• Delivered 28% growth in category performance through strategic initiatives
• Developed and implemented data-driven planogram solutions across retail network

**Key Account Manager | B2B Operations**
• Drove business growth through strategic customer acquisition and partnership development
• Orchestrated comprehensive B2B client support and development programs
• Directed commercial procurement strategies within FMCG environment

**Core Competencies**
• Strategic Category Management & Business Planning
• Customer Partnership Development & Account Management
• Project Leadership & Process Enhancement
• Performance Management & Team Development
• Strategic Business Development
• Retail Operations Excellence & Space Management

**Career Objective**
To leverage extensive FMCG expertise and leadership experience in driving digital transformation initiatives while maximizing organizational growth potential."
497,"PROFESSIONAL EXPERIENCE

Revenue Manager
• Spearheaded strategic revenue optimization initiatives driving operational efficiency
• Orchestrated revenue management strategies across multiple international markets
• Developed and implemented data-driven solutions for revenue growth

Web3 Market Research Team Member
• Led comprehensive market analysis of emerging web3 technologies and competitor landscapes
• Facilitated seamless collaboration between technical and business teams to achieve project objectives
• Defined and documented critical technical specifications for development teams
• Created detailed requirement frameworks ensuring successful project delivery
• Designed and executed market entry strategies for international expansion initiatives

CORE COMPETENCIES
• Advanced Market Research & Strategic Analysis
• Business Requirements Engineering
• Cross-functional Team Leadership
• Strategic Planning & Execution
• Global Market Development
• Revenue Optimization
• Technical Documentation & Specifications

CAREER OBJECTIVE
Results-driven professional seeking to leverage extensive experience in market analysis, strategic planning, and cross-functional team collaboration for a Project Manager or Business Analyst position. Dedicated to driving organizational excellence through innovative solutions and process optimization while maintaining a commitment to continuous professional growth."
498,"**PROFESSIONAL SUMMARY**

Results-driven Project Manager with honors certification and extensive sales management background. Proven ability to exceed performance targets and deliver exceptional stakeholder communication. Seeking to apply project management expertise and sales leadership experience in a junior Project Management role. Demonstrated success in customer relationship management and process optimization.

**EDUCATION & CERTIFICATIONS**

Project Management Certification (with Honors) - Hillel (2019)
English Language Training - LinguaCats (2019 - present)

**CORE COMPETENCIES**

• Project Management Methodologies & Frameworks
• Stakeholder Management & RACI Matrix Implementation
• Risk Assessment & Mitigation Strategies
• Requirements Analysis & User Story Development
• Advanced Estimation Techniques
• Project Documentation & Planning
• Resource Allocation & Budget Control
• Agile Backlog Management
• Technical Tools: Trello, Jira
• Sales Leadership
• Client Relationship Management

**PROFESSIONAL EXPERIENCE**

**First-Line Support Operator**
Kyivstar | 2018 - 2019
• Delivered comprehensive PrePaid service support, consistently exceeding inquiry resolution targets
• Maintained excellence in customer service delivery for six consecutive months

**IT Sales Manager**
Look At Pro | 2018
• Developed and executed IT sales strategies while nurturing client relationships

**Sales Manager**
Agribusiness | 2013 - 2017
• Orchestrated sales operations for grain commodities
• Managed complex rental agreements for land and agricultural equipment

**Sales Manager**
Polygon Ltd. (Kyivstar main contractor) | 2013
• Spearheaded targeted cold calling campaigns
• Executed strategic sales initiatives

**Sales Representative**
Telekomstroy Ltd. | 2012
• Conducted effective cold calling campaigns
• Generated new business opportunities through direct sales efforts"
499,"PROJECTS

IT, LEAN & ORGANIZATIONAL DEVELOPMENT INITIATIVES

• Spearheaded ""Bill of Materials Process Automatization"" and ""MRP in SAP"" implementation, delivering $34,000 annual cost reduction
• Orchestrated three strategic supply chain optimization projects including ABC/XYZ Inventory Analysis methodology, resulting in $163,000 annual savings
• Designed and executed 10 process improvement initiatives, including SAP GUI Automation and Data People Cycle Consolidation, achieving 2 FTE optimization
• Successfully managed student development program with 72 participants
• Created and delivered enterprise-wide training initiatives reaching 600+ employees

PROFESSIONAL EXPERIENCE

7 Years - FMCG Company

Technical Expertise:
• Front-end development fundamentals (HTML/CSS/JavaScript)
• Project management and methodology implementation
• Technical documentation and specifications development
• Risk assessment and crisis management
• Team leadership and personnel development
• Strategic supplier relationship management
• Budget optimization and cost control
• Business process design and documentation
• Talent acquisition and remote recruitment
• Performance management and development
• Training delivery and presentation design
• Professional communication and documentation

LANGUAGES
Polish - Elementary Level

PROFESSIONAL INTERESTS
• Complex project management
• Cross-cultural team collaboration
• Continuous learning and development
• Career growth and stability
• Collaborative work environment"
500,"**PROFESSIONAL PROFILE**

Results-driven leader with proven expertise in project management, strategic planning, and stakeholder engagement. Demonstrated success in organizing high-impact events and building collaborative partnerships while driving operational excellence and team performance.

**WORK EXPERIENCE**

**PR Team Manager | Startup Incubator**
• Spearheaded strategic planning initiatives driving organizational growth and visibility
• Led cross-functional team while optimizing operational efficiency and performance metrics
• Facilitated dynamic brainstorming sessions to foster innovation and creative solutions
• Cultivated and maintained strategic partnerships to enhance business outcomes
• Designed and implemented targeted communication campaigns aligned with business objectives
• Established performance tracking systems and KPIs to measure team effectiveness
• Ensured timely project delivery through systematic monitoring and evaluation

**Project Manager**

**Hack-A-Train Project** | Partnership with Estonian organization Garage48
Mobile Hackathon from Mariupol to Lviv
• Orchestrated end-to-end event logistics including transportation, branding, and resource allocation
• Executed targeted marketing campaigns resulting in successful participant recruitment
• Managed comprehensive catering services and complex logistics for mobile event
• Oversaw procurement and distribution of event materials and supplies
• Successfully coordinated all operational aspects during 30-hour mobile hackathon

**Hack For Locals Project** | Partnership with Estonian organization Garage48  
Community Development Hackathon
• Developed and implemented local marketing strategy to drive participant engagement
• Built and maintained relationships with corporate sponsors and government officials
• Secured strategic partnerships to enhance event value and community impact
• Negotiated and acquired competitive prizes for event participants
• Provided crucial bilingual support through English-Ukrainian translations
• Managed on-site operations ensuring seamless event execution"
501,"PROFESSIONAL EXPERIENCE

Project Coordinator Ukraine & Eurasia
International FMCG Company

• Spearheaded multi-million dollar Global Point of Sale project implementation across Ukraine & Eurasia region, achieving 100% coverage across target markets
• Led and mentored cross-functional team of 6 specialists, driving regional performance and capability development
• Orchestrated end-to-end procurement process for Point of Sales Materials and trade equipment, optimizing budget allocation across multiple markets
• Established and maintained strategic partnerships with external agencies, resulting in streamlined production and logistics operations
• Developed and implemented standardized project management frameworks for consistent delivery of marketing materials and trade equipment
• Managed complex stakeholder relationships across Marketing and Trade Marketing teams to ensure seamless New Product Development launches
• Executed budget control and cost optimization initiatives while maintaining quality standards across all deliverables
• Built and maintained robust vendor relationships while ensuring compliance with company payment processes and documentation standards
• Successfully aligned regional execution with Global KPIs through targeted strategic initiatives
• Streamlined cross-departmental workflows to enhance project delivery efficiency and timeline adherence

EDUCATION & PROFESSIONAL DEVELOPMENT

IT Project Management Course
Projector | 2021

CAREER OBJECTIVE

Seeking opportunities to leverage proven project management expertise in IT sector, with focus on driving operational excellence and team performance."
502,"PROFESSIONAL EXPERIENCE

Senior Transportation Coordinator | Autotransport Company | Florida, US | 5+ Years
- Orchestrated complex transportation operations, managing $1M+ in heavy-load shipments while maintaining 98% client satisfaction rate
- Exceeded annual sales targets for 5 consecutive years through strategic client relationship management and effective pricing strategies
- Consistently ranked as top performer in daily sales metrics, demonstrating excellence in revenue generation
- Implemented and optimized company rating system, resulting in improved service quality tracking and customer feedback integration
- Negotiated favorable contract terms while balancing multiple stakeholder requirements across 100+ concurrent projects
- Generated exceptional customer feedback, maintaining 4.9/5 average service rating

TECHNICAL SKILLS
- CRM Systems
- Trello
- DocuSign
- Confluence
- Jira

EDUCATION & CERTIFICATIONS
- Project Management Certification | Hillel IT School | Excellent Score

CORE COMPETENCIES
- Project Management
- Client Relationship Management
- Sales Goal Achievement
- Problem-Solving
- Deadline Management
- Quick Learning
- Leadership and Responsibility

CAREER OBJECTIVE
Results-driven transportation professional with proven success in project management seeking to leverage analytical capabilities and customer service excellence in IT sector. Demonstrated track record of exceeding targets, managing complex operations, and delivering exceptional client satisfaction, complemented by recent Project Management certification."
503,"**SENIOR PROJECT ENGINEER**

**PROFESSIONAL EXPERIENCE**

**Worley** | Senior Project Engineer | 03/2021-05/2022

• Spearheaded multi-million dollar laboratory relocation project, ensuring zero operational disruption and enhanced safety compliance
• Led implementation of critical security infrastructure including Public Address General Alarm, Access Control System, and CCTV systems
• Orchestrated successful installation of Data Centre infrastructure, including 12 server cabinets for mission-critical information replication
• Developed and executed comprehensive project management strategies, ensuring adherence to cost, schedule, and quality parameters
• Established robust communication channels between stakeholders, driving efficient decision-making and issue resolution
• Directed implementation of complex building systems including fire alarm, firefighting, HVAC, and power distribution
• Collaborated with Cost Controller and Planner to deliver detailed weekly project performance analytics
• Streamlined project procedures and protocols through strategic consultation with key personnel

**UBOC** | Project Engineering Lead | 09/2020-03/2021

• Led multi-contractor engineering initiatives, ensuring alignment with international standards and quality requirements
• Developed and implemented comprehensive Engineering Execution Plan, optimizing project delivery efficiency
• Established integrated engineering processes across PSCM, Quality Team, and Construction & Commissioning departments
• Orchestrated seamless information flow between contractors, minimizing delays and reducing operational risks
• Provided strategic oversight of engineering quality control and compliance measures

**British Petroleum** | Project Lead | 09/2009-06/2020

• Generated $750M revenue through strategic plant efficiency optimization initiatives
• Delivered multiple successful oil and gas production optimization projects, increasing operational capacity
• Implemented risk mitigation strategies resulting in $2.5M annual revenue increase while enhancing safety standards
• Managed comprehensive project portfolios, including budget oversight and resource allocation
• Developed and executed regional annual activity plans aligned with organizational objectives
• Established and monitored contractor performance metrics against global benchmarks
• Built and maintained strong stakeholder relationships across multiple organizational levels
• Ensured strict compliance with project procedures and quality standards"
504,"**EXPERIENCE**

**Project Manager** | IT HB | 6 months
- Led cross-functional teams in delivering IT solutions
- Managed project lifecycle from initiation to successful completion

**IT Business Analyst** | Promocore | 4 months
- Analyzed business requirements and translated into technical specifications
- Facilitated communication between stakeholders and development teams

**Network and System Administrator** | Vinnitsіa National Technical University | 3 years 5 months
- Architected and implemented enterprise-level network infrastructure for university faculty
- Designed and deployed comprehensive security solutions including WPA2, ACL, and RADIUS
- Managed multiple servers including Squid, RADIUS, and video surveillance systems
- Implemented VLAN segmentation and wireless distribution systems
- Configured and maintained network monitoring and remote access solutions

**KEY PROJECTS**

**ChiliPizza**
- Delivered end-to-end website development including design, layout, and custom JS integration
- Implemented interactive features including 3D tour and dynamic menu system
- Managed domain configuration and DNS setup

**Joht & Alex Transport Company**
- Spearheaded comprehensive digital transformation including website development and branding
- Conducted business analysis and provided strategic consulting
- Implemented SEO and social media marketing strategies

**EcoCITIZENS**
- Developed environmental monitoring system using Arduino microcontrollers
- Built ASP.NET MVC web application with MS SQL database integration
- Created custom Arduino web server implementation

**Department Website - VNTU**
- Developed full-stack WordPress solution with custom theme
- Designed and implemented MySQL database architecture
- Configured and maintained web and FTP servers

**Solar Energy Management Systems**
- Developed automated solar collector management system
- Integrated with smart home heating infrastructure
- Designed optimization algorithms for alternative energy systems

**TECHNICAL SKILLS**

**Project Management**
- Full SDLC expertise
- Agile/Scrum methodologies
- Project planning and execution
- Risk and change management
- Quality assurance
- Resource allocation
- Stakeholder management
- Tools: Trello, Slack, Asana, Worksection, MS Project, MS Visio

**Technical Expertise**
- UI/UX design principles
- Website development (e-commerce, corporate portals, forums)
- CMS and framework implementation
- Mobile application development
- SEO and SMM implementation
- Network infrastructure design
- System administration
- Security implementation"
