,Modified_deepseek-chat_of_CV_Modeldeepseek-chat
471,"**PROFESSIONAL SUMMARY**
Results-driven professional with project management and cross-cultural collaboration experience in startup and international organization settings. Skilled in stakeholder communication, market analysis, and project execution. Seeking a challenging role focused on personal and professional growth.

**PROJECT EXPERIENCE**

**Co-Founder & Project Manager | Smart Weather Station Startup**
- Co-founded a startup to develop a smart weather station for paragliders.
- Conducted successful project pitches to secure investment-ready stakeholders.
- Managed stakeholder communication, market analysis, and team meetings.
- Developed comprehensive project documentation.
- Project suspended due to external circumstances.

**Member | AIESEC**
- Organized international events and projects within a global organization.
- Collaborated with team members from diverse cultural backgrounds.

**SKILLS**
- Project Management
- Stakeholder Communication & Relations
- Market Research & Analysis
- Project Documentation
- Event Organization
- Cross-Cultural Team Collaboration
- Coding & Technology"
472,"**PROFESSIONAL SUMMARY**
Design professional with over 4 years of experience in graphic and web design. Expertise in developing corporate identity, managing projects from conception to completion, and creating both print and digital materials. Adept at client communication, brief development, and problem-solving. Holds a Bachelor’s and Master’s degree in Graphic/Web Design (Technology of Electronic Multimedia Publications) from KhNEU S. Kuznets.

**SKILLS**
Graphic Design, Web Design, Corporate Identity Development, Print Design, WordPress Development, HTML/CSS, Client Communication, Project Management, Brief Drafting, Photo/Video Content Creation, Layout Design, Problem-Solving, Psychology of Communication.

**PROFESSIONAL EXPERIENCE**

**Web and Graphic Designer** | LOGOVO
Feb 2019 – May 2020 | Kharkiv, Ukraine
*   Developed corporate identity and redesigned existing ones.
*   Created designs for printed products and prepared files for printing.
*   Developed websites using WordPress and created advertising banners.
*   Managed projects from start to finish.
*   Communicated with customers, drafted design briefs, and gathered technical specifications.

**Content Manager** | COZI.UA
Aug 2020 – Sept 2020 | Kharkiv, Ukraine
*   Organized and conducted photo shoots.
*   Created photo and video content.
*   Wrote scripts for client communication.

**Trainee, Layout Maker** | Newspaper «Kharkiv News»
Oct 2021 – Nov 2021 | Kharkiv, Ukraine
*   Prepared page layouts for printing.
*   Processed illustrative material.
*   Placed materials on newspaper pages.

**EDUCATION**
**Master’s and Bachelor’s Degree** in Graphic/Web Design (Technology of Electronic Multimedia Publications)
KhNEU S. Kuznets

**ADDITIONAL INFORMATION**
*   Participated in city competitions to create a logo for the Department of Family, Youth and Sports.
*   Interests include organizational processes, interpersonal communication, solving complex problems, and mentoring. Passionate about design, including printed materials, corporate identity, and newspaper/magazine layout."
473,"**PROFESSIONAL SUMMARY**
Trainee/Junior Project Manager with one year of experience in end-to-end delivery of commercial projects using Agile practices (Scrum and Lean). Former qualified interpreter with two years of experience in military, IT, and humanitarian fields. Proven ability to drive results in fast-paced, high-pressure environments through strong organization, stakeholder communication, and structured problem-solving.

**PROFESSIONAL EXPERIENCE**

**Trainee/Junior Project Manager**
*   Managed a team of 6 translators and technical consultants to successfully deliver a maintenance documentation project for equipment valued over $3,000,000 per unit, overcoming a lack of reference materials and an exceptionally short deadline.
*   Assumed ownership of the maintenance documentation project, resulting in a 2.5X decrease in lead time and the release of over 10,000 highly technical words of Ukrainian instruction within 8 days.

**Interpreter**
*   Served as a qualified interpreter for two years across diverse sectors including military, information technology, and humanitarian work.

**SKILLS**
*   Project Management: Agile Methodologies (Scrum, Lean), End-to-End Project Delivery, Team Leadership, Deadline Management
*   Core Competencies: Critical Thinking, Analytical Skills, Prioritization, Decision-Making, Highly Organized, Structured Approach
*   Communication: Stakeholder Engagement (All Levels), Cross-functional Team Coordination
*   Environment: Thrives in Fast-Paced and High-Pressure Situations"
474,"**PROFESSIONAL SUMMARY**
A dedicated professional with extensive experience in pharmacy management, sales leadership, and project coordination. Proven ability to improve operational efficiency, drive revenue growth, and lead teams. Skilled in process optimization, risk management, and cross-functional collaboration.

**PROFESSIONAL EXPERIENCE**

**Trainee Project Manager (Pet Project)**
IT School IAMPM Project Management Courses | March 2022 – August 2022 (6 months)
*   Developed a detailed project plan to track progress.
*   Used appropriate verification techniques to manage changes in project scope, schedule, and costs.
*   Performed risk management to minimize project risks.
*   Created and maintained comprehensive project documentation.
*   Gained experience with tools: Miro, Product Plan, Jira, Confluence, Trello.

**Private Entrepreneur / Senior Sales Manager**
Women's Clothing Chain | August 2019 – February 2022 (2 years, 6 months)
*   Customized customer experiences to build brand loyalty.
*   Supervised work of contracted employees to deliver work on schedule.
*   Met schedules using excellent planning and coordination skills.
*   Explored and created new ways to resolve problems with processes, technology, or team members to improve overall efficiency.

**Head of Pharmacy**
Pharmacy Chain ""Gamma-55"" | July 2014 – August 2019 (5 years)
*   Promoted from Pharmacist to Head of Pharmacy after two years of work.
*   Managed busy schedules and sales plans, resulting in a 10% increase in annual revenue.
*   Safely administered immunizations, travel medicine, medication therapy management, and other specialty programs.
*   Regularly completed paperwork and entered prescription and insurance billing information into patient profiles.
*   Collaborated with healthcare professionals to monitor and evaluate medicine therapy quality and effectiveness.
*   Trained and supervised technicians and sales assistants for smooth pharmacy operations.

**SKILLS**
*   Project Management: Planning, Risk Management, Scope & Change Control, Documentation
*   Tools: Miro, Product Plan, Jira, Confluence, Trello
*   Operations Management: Process Improvement, Schedule Coordination, Team Supervision
*   Sales & Customer Service: Revenue Growth, Customer Experience, Brand Loyalty
*   Pharmacy: Medication Therapy Management, Immunizations, Regulatory Compliance"
475,"[Your Name]
[Phone Number] | [Email Address] | [Location, e.g., Odessa, Ukraine] | [LinkedIn Profile/Portfolio URL]

**PROFESSIONAL SUMMARY**
A detail-oriented professional with a background in radiotechnical systems engineering and a proven track record in project management, business process optimization, and digital advertising. Combines technical expertise with skills in client relations, cross-functional team leadership, and data-driven strategy to improve operational efficiency and drive successful project outcomes. Experienced in managing full project lifecycles, from initiation to deployment, in diverse sectors including manufacturing, e-commerce, and government digitalization.

**PROFESSIONAL EXPERIENCE**

**TRENDO** | Account Manager
_July 2022 – Present_
*   Serve as the primary intermediary between technical teams and foreign clients to plan, execute, and optimize digital advertising campaigns, with a focus on e-commerce.
*   Develop and implement customized advertising strategies and plans; successfully managed campaigns for machinery sales in New Zealand and RadioDetails in India, achieving an average monthly ROAS of 700%.
*   Conduct comprehensive advertising campaign analytics and deliver detailed reporting to clients.
*   Lead sprint meetings and distribute tasks and deadlines within the project team using Kanban methodology.
*   Optimize client platforms, including Shopify storefronts, and configure tracking via Google Tag Manager (GTM), Universal Analytics, and GA4.
*   Customize conversions for Google Ads and optimize product feeds through Google Merchant Center rules.

**ZEZMAN** | Junior Project Manager / Junior Business Analyst
_September 2021 – April 2022 (6 months) | Odessa, Ukraine_
*   Organized the work of the Business Analytics unit and supported the implementation and optimization of business processes.
*   Planned large-scale projects for business digitalization and electronic document management implementation.
*   Created project schedules, collected documentation, and communicated with stakeholders regarding scheduling, staffing, and technical requirements.

**ORCSSD** | Administrative Manager (Project Sphere)
_July 2020 – September 2021_
*   Managed project expectations, tracked risks and benefits, and translated metrics into actionable intelligence.
*   Created schedules, collected project documentation, and guided project outcomes.
*   Communicated with stakeholders regarding scheduling, staffing, and technical requirements.

**«Vs Project»** | Junior Technical Project Manager
_February 2020 – April 2020_
*   Owned the full project lifecycle for initiatives, ensuring delivery from initiation to deployment.
*   Ensured projects proceeded according to defined scope, schedule, budget, and quality standards.

**Government Projects** | Trainee Project Manager
_October 2019 – December 2019_
*   Assisted in planning, managing, and monitoring project execution to deliver projects on-time and within budget.

**EARLY CAREER & TECHNICAL BACKGROUND**
*   Applied expertise as a Radiotechnical Systems Engineer to optimize and automate an electrolysis system in a copper plant, saving and controlling a key step in cathode copper wire production.
*   Developed and implemented a new system for accounting and controlling production at each stage of the manufacturing process.

**SKILLS**
*   **Project Management:** Full Project Lifecycle, Scheduling, Budgeting, Risk Management, Stakeholder Communication, Kanban, Sprint Management
*   **Digital Marketing & E-commerce:** Advertising Campaign Strategy & Analytics, Google Ads, Google Merchant Center, Shopify Optimization, ROAS Optimization
*   **Data & Analytics:** Google Analytics (UA & GA4), Google Tag Manager, Conversion Tracking, Metrics Analysis
*   **Business Optimization:** Business Process Analysis, Implementation, and Digitalization
*   **Technical Foundation:** Systems Engineering, Process Automation

**EDUCATION**
*   [Degree Name, e.g., Bachelor of Science] in Radiotechnical Systems Engineering
    [University Name], [Location] | [Graduation Year]"
476,"**PROFESSIONAL PROFILE**
A dedicated philologist and translator with Master’s-level expertise in English and Spanish. Possesses over 8 years of professional experience combining translation, interpretation, and operational management within international medical tourism and customer service. Proven skills in project coordination, client relations, and cross-cultural communication.

**EDUCATION**
**Master of Arts (Translation)**, Diploma with Honours
Kyiv National Linguistic University (KNLU), Kyiv • 2013–2014
Speciality: Philologist, Interpreter-Translator of English and Spanish.

**Specialist in Philology and Translation**
Kyiv National Linguistic University (KNLU), Kyiv • 2009–2013
Degree: Philology, Specialist of Translations (English).

**ADDITIONAL EDUCATION & CERTIFICATES**
•	Certificate of Completion: “Deeply Practical Project Management” – William Stewart PhD, PMP (2019)
•	Certificate: “Event Management” – Kyiv Advertising School (2015)
•	Certificate: “The First State Courses of Foreign Languages” (English)
•	Certificate of Participation: “Days of Reading of the Novel ‘Don Quixote’” – Embassy of Spain in Ukraine (2012)
•	Certificate: 1st Place in Poetry Translation Competition during the Days of the Spanish Language
•	Certificate of Participation: 1st Ukrainian Scientific and Practical Conference of Young Scientists
•	Tutor of English (from 2008) and Spanish (from 2012)

**PROFESSIONAL EXPERIENCE**
**Operations Manager | Manager of International Affairs**
“IVF-GROUP” LLC, International Department of “MOTHER AND CHILD” Medical Center
September 2017 – Present
•	Coordinate medical programs and provide comprehensive consultation and support for foreign clients at clinics and hospitals.
•	Manage all correspondence and communication with international clients.
•	Translate legal and medical documentation, texts, and provide consecutive interpretation for business negotiations.
•	Oversee client support, sales management, and program coordination.
•	Perform duties as Customer Service Manager and Interpreter/Translator for Spanish and English.

**Customer Service Manager | Medical Coordinator | Interpreter/Translator**
NEOGENIA Ltd.
January 2016 – August 2017
•	Provided medical coordination, consultation, and support for foreign clients at medical facilities.
•	Managed correspondence, communication, and translation of texts and medical documentation for international clients.
•	Conducted consecutive interpreting, supported business negotiations, managed visa support, and oversaw sales.
•	Handled operations management and served as Interpreter/Translator for Spanish and English.

**Translator | Interpreter**
Translation Agency ""Antey""
2012 – 2016
•	Translated texts across various thematic areas and provided interpretation services.
•	Translated documents from/into English and Spanish.

**Freelance Professional**
2008 – Present
•	Project Management for several web projects.
•	Interpreter for English and Spanish.
•	Cooperation with the Luxe Cube brand company and Spanish private individuals.

**SKILLS**
•	**Customer Operations & Conflict Management:** Over 4 years of experience.
•	**Project Management:** Basic understanding of web application development flow, control systems, project pre-sale, estimations, costs, and task management.
•	**PM Methodologies:** Experience with Scrum, Agile, Kanban.
•	**PM Platforms:** Jira, Trello, YouTrack.
•	**Productivity Tools:** Experience with G-Suite.
•	**Software:** ABBYY Fine Reader, Multitran, Lingvo, Adobe Photoshop, Open Office, Microsoft Office."
477,"**PROFESSIONAL EXPERIENCE**

**Ukrainian Corporate Governance Academy (UCGA)** | Project Manager & CEO Assistant
MAR 2022 – NOV 2022
*   Tracked project progress and participated in daily meetings.
*   Assisted in project scope and schedule planning.
*   Organized and managed meetings for current and new initiatives.
*   Supported the team with ongoing project tasks and documented resources required to achieve objectives.
*   Conducted research for initiatives and optimized organizational spending.
*   Prepared meeting follow-ups, presentations, and led reporting to the board of directors on completed tasks.
*   Conducted team retrospectives and contributed to tracking the company's long-term goals.

**Dattalion (Volunteer)** | Data Collection Team Lead & Operations Manager
*   Developed, implemented, and reviewed operational policies, procedures, and data collection guidelines.
*   Onboarded new data collection managers and monitored compliance with internal regulations.
*   Oversaw the data collection process and formulated strategic and operational objectives.
*   Performed quality controls, monitored KPIs, and worked with partners, donors, co-founders, and other managers.
*   Participated in weekly meetings to understand project state and needs.
*   Led, motivated, and supported the team, maintaining a positive environment.
*   Identified and addressed project problems and opportunities.
*   Examined and managed budget usage, conducted budget reviews, and reported cost plans to upper management.
*   Reviewed and approved operational invoices for payment.

**HCM International Ltd.** | Researcher & Analyst
JAN 2019 – FEB 2022"
478,"**PROFESSIONAL PROFILE**
A dedicated aviation and aerospace professional with a strong academic background in Navigation, Guidance, and Control. Experienced in UAV research, project leadership, and cross-cultural collaboration. Fluent in multiple languages with advanced technical and operational skills.

**EDUCATION**
**Beihang University of Aeronautics and Astronautics** | Beijing, China
_Master’s Degree, Navigation, Guidance and Control_
Sep 2015 – Present

**Kirovograd Flight Academy, National Aviation University of Ukraine** | Ukraine
_Specialist Degree (Equivalent to Master’s Degree)_
Jul 2013

**State Flight Academy of Ukraine** | Ukraine
_Bachelor’s Degree_
Jun 2012

**PROFESSIONAL EXPERIENCE & RESEARCH**
**TUS HOLDING Ltd.** | Intern
Mar 2018 – Present

**Beihang University** | Head of Education Department
Jan 2018 – Present
*   Appointed to lead the Education Department.

**Beihang University Research Laboratory**
*   Contributed to the publication of the book “Introduction to Multicopter Design and Control” under Professor Quan Quan’s supervision. (Jun 2017)
*   Co-authored conference paper “An Initial Research on Ultra-Wideband and Inertial Measurement Unit Pose Estimation for Unmanned Aerial Vehicle” with Zheng Shuai-Yong. (May 2016)
*   Invited to present research paper “Altitude Control For Micro Small Drones Flying In The Low Altitudes Of The National Airspace” at an International Conference. (Oct 2017)
*   Involved in experimental project: ‘Comparison of using the 2D-scanning lasers to camera sensors for light UAVs obstacles detection and avoidance’. (Nov 2017)
*   Founded conceptual ideas for: Micro drones flights inside city implementation in China; Altitude Control For Micro Small Drones Flying At Low Altitudes; Offline Local Maps Creation For Micro Drones For Commercial Use. (Jan 2017)

**Air Traffic Management Research** | Ukraine
_Research Contributor_
Dec 2012 – Jun 2013
*   Conducted research on “Patterns of activity of operators in the system of air navigation services in case of delays”.

**ACHIEVEMENTS & CERTIFICATIONS**
*   Awarded a scholarship at Beihang University for outstanding behavior and activity participation. (Dec 2016)
*   TOEFL iBT Score: 86 (Intermediate Level). (Jul 2015)
*   ICAO English and Phraseology Exam: Level 4. (Dec 2012)

**TECHNICAL SKILLS**
*   **Programming & Technical:** MATLAB, Python, SQL, HTML
*   **Design & 3D Printing:** 3D Max, Cura, Meshmixer, Photoshop, Corel
*   **Systems & Software:** Windows, Linux, IOS, MS Office, Mac Office
*   **Project Management Tools:** Mantis, Leader Task
*   **Knowledge of:** File sharing/cloud systems, office equipment

**LANGUAGES**
*   Ukrainian: Native
*   Russian: Native
*   English: Advanced (TOEFL, ICAO Level 4)
*   Chinese: HSK3 (Continuing Studies)
*   Spanish: Pre-Intermediate"
479,"**PROFESSIONAL SUMMARY**
A dedicated and adaptable professional with a proven ability to learn new fields rapidly and lead teams to success. Combines a strong educational foundation with hands-on experience in project coordination, team motivation, and client management within IT and educational environments. Passionate about continuous learning, agile methodologies, and contributing to a collaborative, innovative team atmosphere.

**EDUCATION & CERTIFICATIONS**
*   Dual Higher Education Degrees
*   Cambridge English Certificate (C1 Level)

**PROFESSIONAL EXPERIENCE**

**Co-founder & Multifunctional Manager | Startup (Mobile App)**
*   Served in multiple concurrent roles including Key Client Manager, PR Manager, Content Writer, Copywriter, and Translator to drive early-stage growth.
*   Managed day-to-day operational activities and maintained project documentation.
*   Contributed to PR strategies and created engaging written content.

**IT English Teacher & Trainer**
*   Conducted specialized English language training for IT professionals.
*   Developed and executed educational plans tailored to technical audiences.

**SKILLS**
*   **Project Management & Methodology:** Understanding of Agile, Scrum, Kanban, Scrumban, Waterfall, and SDLC. Experience creating and executing project plans, organizing people and projects, and managing daily operations.
*   **Tools:** Practical knowledge of JIRA, Trello, and ROADMAP.
*   **Soft Skills:** Team motivation and rallying, training facilitation, negotiation, and managing large groups. Proven ability to master new professions and overcome challenges.
*   **Organizational Effectiveness:** Understanding of principles for optimizing team and project performance.
*   **Languages:** English (C1 Proficiency).

**ACHIEVEMENTS**
*   Achieved 2nd place in a competitive project management training program among peers with existing IT and PM backgrounds.
*   Successfully motivated and unified a team perceived as challenging, guiding them to succeed.
*   Successfully transitioned into a new professional field, demonstrating resilience and a strong will to learn."
480,"**PROFESSIONAL SUMMARY**
Results-driven project management professional with experience leading multiple IT projects from inception to completion. Skilled in client communication, team coordination, and utilizing Agile, Waterfall, and Kanban methodologies to deliver projects on time and within budget. Seeking a Project Manager role to contribute to interesting projects and foster professional growth.

**PROFESSIONAL EXPERIENCE**

**Project Manager**
*   Successfully implemented projects of varying complexity and specificity, ensuring delivery within budget and required timeframes.
*   Managed 2-3 projects simultaneously, including task delegation, execution control, and team coordination with effective prioritization.
*   Facilitated, coordinated, and scheduled work for design teams.
*   Conducted preliminary testing of completed tasks.
*   Performed comprehensive client communication, both written and spoken, to manage expectations and build strong, long-lasting relationships.
*   Identified customer requirements and goals to propose optimal solutions and provide recommendations.
*   Coordinated project timelines and work schedules directly with clients.
*   Searched for and collected all necessary information on potential clients.
*   Authored and maintained comprehensive project documentation.
*   Self-organized all work activities effectively as a remote employee.

**SKILLS**
*   **Project Management:** Project Management Process, Development Life Cycle, Methodologies (Waterfall, Agile, Kanban, Scrum), Team Management & Coordination, Task Prioritization, Scheduling, Project Documentation.
*   **Client Relations:** Client Communication, Expectation Management, Requirements Identification, Solution Proposal, Relationship Building, Sales Support.
*   **Personal Skills:** Communication, People Motivation, Conflict Resolution, Responsibility, Ability to Work in a Fast-Paced Environment, Multitasking, Deadline-Oriented, Hardworking, Highly Organized, Attentive to Detail, Self-Motivated to Improve.

**TECHNICAL PROFICIENCY**
Microsoft Office, WordPress, Trello, Slack"
481,"**EDUCATION**
Diploma of Junior Specialist in Technical Specialty
*   Focused on practical tasks and projects, gaining hands-on experience with hardware and software.
*   Participated in student competitions, developing teamwork and complex problem-solving skills.
*   Demonstrated ability to quickly learn new technologies and a strong desire to acquire technical knowledge.

**SKILLS & COMPETENCIES**
*   **Technical Acumen:** Foundational knowledge of technical processes, hardware, and software.
*   **Practical Application:** Experience applying technical learning to projects and problem-solving.
*   **Collaboration & Communication:** Developed through team-based competitions and volunteer activities.
*   **Self-Directed Learning:** Independent study of programming, web design, and related technological skills.
*   **Organization:** Gained through planning and participation in volunteer initiatives.
*   **Professional Development:** Active participant in relevant online courses and webinars.

**PROJECTS & ACTIVITIES**
*   **Volunteer Activities:** Applied and strengthened skills in cooperation, communication, and organization.
*   **Independent Projects:** Developed personal projects utilizing self-taught skills in programming and web design.
*   **Continuous Learning:** Regularly deepen knowledge through structured online courses and webinars in fields of interest.

**PROFESSIONAL SUMMARY**
A motivated junior specialist with a foundational technical education and a proven capacity for fast learning. Eager to apply practical project experience, self-taught technological skills, and a strong dedication to growth to contribute effectively and develop a successful career in the field. Committed to investing full energy and focus to achieve high results."
482,"**PROFESSIONAL SUMMARY**
Results-driven project coordinator with hands-on experience in project lifecycle documentation and execution. Successfully delivered a project presentation exceeding expectations and managed comprehensive documentation for a party application from initiation to closure.

**PROJECT EXPERIENCE**

**UrbanUtopia** | Pet Project (Team)
*   Developed a party application aggregating questionnaires to help youth and teenagers find suitable parties and events, organize their own, and receive updates via Telegram, Email, Phone, and in-app notifications.
*   Created and maintained full project documentation, including: Project Mind Map, WBS Mind Map, Roadmap, Backlog, Critical Path, Estimates, and General Budget.
*   Developed planning documents: Ground Rules, Team Building Activities, Candidate Questions, Team Schedule Management Plan, and Stakeholder Register.
*   Executed management frameworks: Defined RACI matrix, implemented Schedule Tracking Tools, and organized SCRUM events.
*   Prepared client and risk documentation: Questions for the Client, Project Risks, and Statement of Work (SOW).
*   Ensured quality and closure: Developed Test Plan, Project Closing Checklist, and managed Project Data and PM Reports.

**Individual Pet Project**
*   Contributed to an additional independent project, applying project management and documentation skills.

**OTHER ACHIEVEMENTS**
*   Prepared and delivered a presentation for the ""Kidsatschool"" project, achieving a better final result than initially expected.

**SKILLS**
*   Project Documentation & Lifecycle Management
*   Requirements Gathering & Stakeholder Analysis
*   Scheduling, Budgeting, & Risk Management
*   Agile & SCRUM Framework Implementation
*   Project Closing Procedures"
483,"Creative Social Media & Video Production Specialist

Results-driven specialist with 3+ years of experience in social media marketing, video production, and creative project management. Adept at developing social media strategies and content concepts based on market trends. Proven ability to manage and prioritize multiple projects in fast-paced environments. A collaborative team player with strong relationship and time management skills.

**PROFESSIONAL EXPERIENCE**

**Video Production Freelancer** | 2021 – 2022
*   Executed video production for 25+ businesses across diverse industries (restaurants, real estate, education, fashion), 50+ private events, and 10+ stock footage projects in collaboration with a video operator.
*   Developed video scripts and creative concepts.
*   Conducted market research, tracked trends, and implemented video content to boost engagement on clients' social media platforms.
*   Maintained transparent client communication throughout project lifecycles.
*   Managed project budgets.

**Houston Pub** | 2020 – 2021
*   Developed marketing strategy and branding in collaboration with a graphic designer.
*   Produced marketing roadmaps and managed a creative team of 4 (designers, photographer, video operator).
*   Managed all social media channels.
*   Engaged with target audience, grew Instagram following, and increased engagement rates.
*   Managed marketing budget.

**SKILLS**
Social Media Strategy, Content Development & Calendaring, Video Production, Scriptwriting, Creative Project Management, Team Coordination, Client Relations, Budget Management, Market & Trend Research, Audience Engagement"
484,"**PROFESSIONAL SUMMARY**
Project Manager with experience across IT, digital marketing, and logistics sectors. Proven ability to manage client relationships, coordinate cross-functional teams, and oversee project execution from requirements definition through delivery and reporting.

**PROFESSIONAL EXPERIENCE**

**SkillmePro** | Project Manager
*   Prepared comprehensive project documentation, including project briefs and technical requirements for designers, layout designers, developers, targetologists, PPC specialists, and copywriters.
*   Assigned project tasks and monitored implementation by team members.
*   Controlled project payments and prepared detailed project reports.
*   Prepared presentations for and organized webinars.

**Taurus-Group** | Project Manager / Account Manager
*   Accompanied clients through all stages of the logistics process.
*   Controlled payments, prepared reports, and managed customs and delivery documentation.
*   Accompanied the company on all web projects.
*   Prepared presentations for and organized webinars.

**Vinnytsia IT Academy** | Internship Project Manager
*   Prepared technical requirements for the project and facilitated requirements fixation.
*   Organized team meetings.
*   Assigned tasks to team members and controlled work on tasks.
*   Prepared reports for the customer and organized meetings with them.

**KNB-Studio (Kornienko-studio)** | Assistant to Project Manager, Account Manager
*   Accompanied studio clients through all project stages.
*   Prepared project documentation, including project briefs and technical requirements for designers, layout designers, developers, targetologists, PPC specialists, and copywriters.
*   Assigned project tasks, monitored implementation by team members, and determined and controlled task deadlines.
*   Coordinated all work with clients, presented studio solutions, managed objections, and documented required edits into technical requirements for the team.
*   Controlled payments, prepared project reports, and collected and processed client feedback on project tasks.
*   Participated in team meetings and project discussions.
*   Organized the studio recruitment process, including conducting interviews and internships.

**SKILLS**
*   Project Management
*   Client Relationship Management
*   Cross-Functional Team Coordination
*   Project Documentation & Reporting
*   Requirements Gathering & Analysis
*   Task Assignment & Deadline Management
*   Payment Control & Financial Reporting
*   Webinar Organization & Presentation
*   Logistics Process Coordination
*   Recruitment & Interviewing"
485,"**PROFESSIONAL EXPERIENCE**

**Vogue Hotel Bodrum, Turkey** — Assistant Manager
2020 – 2022
*   Planned, organized, and managed all day-to-day administrative activities, including schedules, reports, surveys, performance reviews, and staffing.
*   Made decisions on methodological, administrative, and financial issues.
*   Managed inventory of goods in warehouse.
*   Gathered, analyzed, and monitored attendance data.
*   Led candidate search, attraction, selection, and interviewing.
*   *Result: As a result of team efforts, the Vogue Hotel Bodrum Kids Club received the highest reviews and ranked at the top of TripAdvisor compared to the 2020 season.*

**Rainier Transportation Inc, United States** — HR Manager
2019 – 2020
*   Conducted search, attraction, and selection of drivers for goods transportation.
*   Posted vacancy information in media.
*   Interviewed candidates and collected necessary documentation for system entry.
*   Provided telephone support and resolved difficult situations during loading/unloading.

**Vogue Hotel Supreme Bodrum, Turkey** — Chief Kids Club
2018 – 2019
*   Managed animator duties and organized day-to-day activities and schedules.
*   Conducted staff training and mentoring, and handled HR administration.
*   *Result: Increased Kids Club popularity by 15% and animator productivity by 20% in 2019, leading to promotion.*

**Beauty Salon, Ukraine** — Director
2017 – 2018
*   Developed business name, logo, and marketing strategy.
*   Created loyalty programs and managed supplier relations for consumables.
*   Handled management accounting, HR administration, and customer base maintenance.
*   Managed cash flow and resolved operational problems.

**StartUp «Babyliss», Ukraine** — Project Manager
2016 – 2017
*   Developed business name, logo, and marketing.
*   Sourced fabric suppliers and developed clothing prints.
*   Managed cost formation, subordinate duties, and HR administration.
*   Maintained primary documentation.

**Vogue Hotel Supreme Bodrum, Turkey** — Chief for Attendants
2015 – 2016; 2018 – 2019
*   Managed animator duties and organized daily activities and schedules.
*   Conducted staff training and mentoring, and handled HR administration.

**LLC «ERGOTEK», LLC «DREAM FOODS», «FISHMATIK», Ukraine** — Accountant
2012 – 2015
*   Prepared financial reports for management and maintained accounting/tax records.
*   Supported foreign trade activities and managed banking operations.
*   Reconciled and settled accounts with suppliers and customers.
*   Managed cash flow, accounts receivable/payable analysis, and HR administration.
*   Maintained primary documentation and complied with director's instructions.
*   Utilized Microsoft Office and specialized accounting software.

**SKILLS**
Administrative Management, HR Administration (Recruitment, Interviewing, Staffing, Training), Financial Oversight, Inventory Management, Data Analysis, Customer Service, Problem Resolution, Team Leadership, Marketing Development, Supplier Relations, Accounting, Microsoft Office."
486,"**PROFESSIONAL PROFILE**
A dedicated and resourceful project manager with a proven track record in founding and scaling operations, leading teams, and executing complex logistical and humanitarian initiatives. Combines entrepreneurial experience with strong organizational skills and a commitment to continuous learning, seeking to transition and apply expertise to the IT sector.

**PROFESSIONAL EXPERIENCE**

**Founder & Manager** | Self-Made Business (Postal Delivery)
Netishyn, Ukraine | June 2020 – Present
*   Founded and manage a postal-logistics business, scaling operations to a team of 7 employees.
*   Established and launched two new postal-logistic departments for ""Meest"" in Netishyn and Slavuta.

**Co-Founder** | Eco-Farm
Netishyn, Ukraine | September 2017 – December 2021
*   Co-founded and managed an agricultural enterprise focused on sustainable farming practices.

**Volunteer Coordinator & Humanitarian Aid Organizer**
Ukraine | February 2022 – Present
*   Spearheaded fundraising campaigns, securing over $40,000 in donations for the Ukrainian Armed Forces.
*   Organized production and distribution of essential supplies, including trench candles.
*   Coordinated aid logistics for internally displaced persons.
*   Managed international advocacy campaigns via social media and direct mail to global leaders to maintain focus on supporting Ukraine.

**Election Campaign Leader**
Netishyn, Ukraine | February 2019 – October 2020
*   Led local campaign operations for multiple national and local elections (Presidential, Parliamentary).

**Charity Project Organizer**
Finland & Ukraine | April 2012
*   Conceived and executed an international charity project, coordinating the delivery of 15 tons of medical equipment to Ukrainian hospitals and people with limited abilities.

**EDUCATION**

**Bachelor of Engineering, Environmental Engineering**
Tampere University of Applied Sciences, Finland | 2011 – 2015

**Erasmus Exchange, Spatial Planning and Environmental Management**
Dublin Institute of Technology, Ireland | 2013

**ADDITIONAL INFORMATION**
*   **Location:** Netishyn, Ukraine. Willing to relocate.
*   **Career Objective:** Actively seeking to transition into the IT industry. Eager to leverage proven project management, team leadership, and strategic implementation skills in a new, challenging environment. A dedicated and fast learner committed to professional development in IT."
