,"Modified_gpt-4o_of_Experience:

2013-2019 - Entrepreneur, Sales of Medical Equipment and Related Goods (ФОП Петрова С.С /МЕДТЕХНІКА)
- Managed and supported daily retail operations.
- Responsible for employee selection.
- Negotiated and concluded contracts with suppliers.
- Addressed transport and logistics issues including receipt, relocation, revaluation, and returns.
- Managed accounting for payments to suppliers, contractors, buyers, and customers.

2019-2021 - COO, Artichoke Art & Fashion School
- Led sales of short-term educational courses in art direction.
- Selected and managed a team of employees.
- Organized teamwork for a team of six members.
- Developed and distributed tasks within the team.
- Managed projects including the creation of monthly work plans across various disciplines, from course programs to marketing activities and enrollment statistics.
- Directed 'weekend' projects such as master classes and public talks.
- Maintained student accounting and database records.

Summary of Achievements:
- Planned, directed, and managed projects to meet objectives.
- Coordinated the successful simultaneous development of multiple projects.
- Delegated responsibilities and developed time schedules.
- Negotiated contracts ensuring quality standards were met._Modelgpt-4o"
11,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Email Address]  
[Phone Number]  

---

### PROFESSIONAL SUMMARY

Dynamic Project Manager with proven expertise in leading cross-functional teams to successfully deliver projects within scope and budget. Possesses strong abilities in managing complex projects, optimizing processes, and identifying risks and opportunities for improvement. Committed to fostering collaboration and clear communication to achieve exceptional project outcomes.

---

### EXPERIENCE

**Project Manager | OSKI**  
January 2023–April 2023  
- Spearheaded the development and management of a CRM product, coordinating project activities and monitoring progress.
- Managed resources, risks, and documentation while ensuring quality control and communicating project updates effectively.
- Oversaw budget alignment with project objectives, ensuring financial responsibility.

**CEO | Tourist Agency**  
February 2007–Present  
- Guided organizational management and strategic control, directing business development and KPI strategy implementation.
- Implemented time management and risk assessment strategies effectively.
- Innovated marketing solutions and advertising campaigns, creating specifications and designing prototypes.

**Hackathon Participant | IT Nation HACK 2.0**  
September 2022  
- Led team task distribution and oversight, preparing essential materials and tools to support team efforts.
- Developed test documentation for mentor evaluation and team feedback.

---

### EDUCATION

**Kiev University of Tourism Economics and Law**  
2004–2010  
Bachelor's Degree in Organization Management

---

### PROFESSIONAL DEVELOPMENT

**IAMPM | DAO, Project Management**  
January 2023  
- Specialized in project documentation, contract management, expectation setting, and resource allocation.
- Excelled in business correspondence, document preparation, and WBS creation.
- Presented innovative solutions and prototypes to customers.

**QATestLab Training Center | QA**  
September 2022  
- Gained comprehensive understanding of QA methodologies and test documentation.
- Developed skills in Jira, basic web knowledge, REST APIs, MySQL, and Git/GitHub.

**PowerCode Academy | QA Engineer**  
2022  

**Lviv IT School (LITS) | Basics of Software Testing**  
May 2022  

**STUD-POINT | Project Management & Leader School**  
2021  

**Google AdWords | PPC Management**  
2017  

--- 

### SKILLS

- Project Management
- Team Leadership
- Effective Communication
- Risk and Resource Management
- CRM Product Development
- Strategic Marketing
- Quality Assurance

--- 

[LinkedIn Profile]"
12,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Detail-oriented professional with a robust background in strategic planning and effective communication across diverse projects. Skilled in agile methodologies and project management, consistently achieving strict deadlines and ensuring streamlined operations. Offers a unique multicultural perspective, being multilingual in English and French.

---

**Skills**  
- Project Management: Waterfall and Agile (Scrum, Kanban)  
- Microsoft Office Suite: Word, Excel, PowerPoint  
- Specialized Software: ADV, GSM, 1C  
- Copywriting Expertise  
- Language Proficiency: Russian, Ukrainian, English (C1 level), French (A2 level)

---

**Professional Experience**  

**Export/Import Specialist**  
Ukratlantic, June 2019 - March 2020  
- Enhanced planning and communication for efficient global correspondence.  
- Orchestrated production orders and supply plan development.  
- Ensured client satisfaction with timely updates on cargo and tracking.

**Co-organizer**  
Gesheft Festival, March 2017 - April 2018  
- Contributed innovative solutions for team and individual challenges.  
- Managed effective communication with participants and guests.  
- Coordinated logistical arrangements and managed participant lists.

**Organizer**  
Children’s Big Day Festival, June - October 2017  
- Led project ideation and motivated team toward goal achievement.  
- Oversaw and participated in all event processes.

**Space Manager**  
Green Theatre, March - October 2017  
- Executed seasonal event planning and staff management.  
- Utilized multitasking skills for financial accounting and team leadership.

--- 

**Education**  
[List your education here]

--- 

**Languages**  
- Russian (Native)  
- Ukrainian (Native)  
- English (C1)  
- French (A2)

---

[Your Professional Certificates and Further Information, if applicable]."
13,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**

Results-driven professional with extensive experience in sales management, project coordination, and business development. Passionate about utilizing my skills in project management and strategic alignment to drive success in a forward-thinking organization. Proficient in fostering effective teamwork and ensuring successful project delivery.

---

**Professional Experience**

**Sales Manager**  
- Designed and executed sales strategies to align with company objectives.  
- Led a sales team to surpass targets, significantly boosting revenue.  
- Conducted market analysis to discover and capitalize on new business opportunities.  

**Project Coordinator**  
- Contributed to planning and executing projects aligned with company goals.  
- Facilitated stakeholder communication to ensure project alignment and success.  
- Tracked project progress and generated management reports.

**Project Manager**  
- Oversaw project lifecycles from start to finish, ensuring successful outcomes.  
- Partnered with cross-functional teams to meet project milestones.  
- Initiated process improvements to boost project efficiency.

**Business Development Manager**  
- Sourced and pursued new business opportunities to grow the company's market presence.  
- Cultivated relationships with clients and partners.  
- Performed market research to guide strategic decisions.  

---

**Education**

- [Your Degree]  
- [Your University]  
- [Year of Graduation]  

---

**Skills**

- Project Management  
- Sales Strategy Development  
- Business Development  
- Team Leadership  
- Strategic Planning  
- Market Analysis  

---

**Career Objective**

Seeking to advance my career in globally impactful organizations, where I can leverage my expertise in strategic projects and gain valuable international experience."
14,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Email Address]  
[Your Phone Number]  

**Objective:**  
To join a forward-thinking organization with cutting-edge projects and abundant growth opportunities, where I can leverage my management capabilities, gain additional expertise, and collaborate with motivating colleagues, particularly under the mentorship of a senior project manager or head of project management.

**Education:**  
PM School, Project Management

**Professional Experience:**

- **Sales/Account/Business Development Manager**  
  - Achieved a 110% growth in total sales by the third month of employment.
  - Successfully negotiated and forged agreements with major accounts, thereby contributing to 80% of the client base.
  - Consistently maintained regional turnover growth.

**Technical Skills:**  
- Proficient in Agile methodologies (Scrum & Kanban) and Waterfall.
- Skilled in project decomposition, SRS preparation (IEEE format), WBS creation, and Gantt Chart usage.
- Experienced in risk and people management on projects.

**Core Competencies:**  
- Six years of sales experience.
- Excellent communication, analytical, and critical thinking skills.
- Strong stress management abilities and capacity to meet deadlines.
- Client-focused with strengths in planning and problem-solving.
- T-shaped professional with responsibility, results-oriented mindset, self-motivation, and quick learning capability.

**Languages:**  
- English: Intermediate+

**Personal Attributes:**  
- Self-initiative and eagerness to learn from experienced mentors.
- Team-oriented and enthusiastic about engaging with innovative ideas and projects.

**References:** Available upon request."
15,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Objective**  
Aspiring project manager with solid theoretical and practical knowledge from PM School Kharkiv. Eager to leverage project management skills in a dynamic environment that promotes skill development and professional growth.

---

**Skills**  
- Proficient in Agile (Scrum, Kanban) and Waterfall methodologies.  
- Strong understanding of development life cycle processes.  
- Expertise in project decomposition, requirements gathering, and analysis.  
- Experienced in creating Work Breakdown Structures (WBS) and Gantt Chart schedules.  
- Skilled in project risk management, including the creation of Risk Management Matrices.  
- Proficient in composing project documentation: Vision documents, Software Requirements Specifications (SRS) following IEEE 830 standards, and User Stories.  
- Practical training in real-world project management challenges.  

---

**Education**  
**PM School Kharkiv**  
- Extensive theoretical and practical training in Project Management.  

---

**Professional Development**  
- **Books and Resources:**  
  - ""Software Project Management For Dummies"" by Teresa Luckey, Joseph Phillips  
  - ""Testing dot com"" by Roman Savin  
  - ""Kanban and Scrum - Making the Most of Both"" by Henrik Kniberg and Mattias Skarin  
  - ""Scrum and XP from the Trenches"" by Henrik Kniberg  
  - ""Scrum"" by Jeff Sutherland  
  - ""Black Book of Manager"" by V. Pankratov  
  - ""Deadline"" by Tom Demarco  
  - ""Time Drive"" by Gleb Arhangelskiy  
  - ""Fundamentals of Project Management"" by Joseph Heagney  
  - ""PMBOK Guide"" by PMI  
  - ""Business Analysis for Practitioners"" by PMI  
  - ""Agile Practice Guide"" by PMI  
  - ""Harvard Business Review on Becoming a High-Performance Manager""  

---

**Training Experience**  
- Developed expertise in creating project schedules and risk management strategies through practical and theoretical exercises.

---

**Personal Development**  
- Continuously enhancing Project Management skills through professional literature and practical application.  

---"
16,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Email Address]  
[Your Phone Number]  

**Professional Summary**  
Dynamic and resourceful event management professional with a proven track record of organizing large-scale events across various industries, including gambling, architecture, and gaming. A creative thinker with exceptional organizational skills, adept at overseeing projects from inception to completion. Seeking to leverage these skills in a new role as a Junior Specialist in project management.  

**Professional Experience**  

**Event Manager**  
Smile Expo, August 2021 - March 2022  
- Developed event concepts, including themes and visual aspects, and led venue selection.  
- Managed tasks and priorities for team members to ensure timely project execution.  
- Monitored project timelines and maintained quality standards throughout.  
- Coordinated event preparation, including venue, speaker selection, and conference agenda planning.  
- Handled budgets to achieve cost-effective execution of events.  

**Media Coordinator**  
Media Group ""House and Interior,"" February 2021 - August 2021  
- Analyzed and maintained media group pages to enhance engagement.  
- Oversaw workflow management for efficient task execution.  
- Orchestrated national competitions, managing logistics and partnerships.  
- Sourced and managed communications with speakers for event participation.  
- Coordinated speaker transfers and managed documentation.  
- Engaged with contractors and representatives to ensure smooth competition organization.  

**Key Achievements**  
- Successfully initiated and led events in the Ukrainian gambling, biohacking, Greek gambling, and gaming sectors, including the annual WeGame festival.  
- Played a key role in organizing Ukraine's largest architectural event, the Interior of the Year/Ukrainian Urban Awards.  

**Skills**  
- Event Planning & Execution  
- Team Leadership & Collaboration  
- Task Management  
- Budgeting & Resource Allocation  
- Speaker & Participant Management  

**Education**  
[List any education details you have, such as your degree, institution, and graduation year]

**Objective**  
Eager to transition into project management, utilizing my background in diverse event creation to gain practical experience as a Junior Project Management Specialist. Enthusiastic about delving deeper into the field and enhancing my skill set."
17,"**Professional Summary**  
Dynamic finance and compliance professional with a track record of enhancing communication and optimizing business processes. Proven ability to develop strategic reports and implement digital solutions that drive efficiency. Seeking opportunities to contribute to organizational success within the startup ecosystem or business-related positions.

**Experience**

**Finance Assistant**  
Tradisa, Germany  
- Engineered automation in revenue controlling, reducing processing time by 30%.  
- Developed and presented financial reports for key stakeholders.  
- Enhanced customer interactions with Tesla, VW, and BMW, offering tailored solutions.  
- Managed and optimized the digital infrastructure of the financial division.

**Jr. Compliance Manager**  
UFuture, Ukraine  
- Spearheaded a gamified digital training program for over 400 employees, achieving the highest participation rate across portfolio companies.  
- Established the framework for supervisory and board of directors.  
- Conducted research and authored documentation to streamline business processes.  
- Designed and executed business dashboards, presentations, and reports for the C-suite to facilitate data-driven decisions.  
- Assisted the Chief Compliance Manager in operational management and rolled out a comprehensive compliance program across the holding company."
18,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

**Professional Summary**  
Accomplished financial expert with a decade of experience in IT and financial sectors, focusing on financial and tax accounting and optimizing business processes. Adept at leading and inspiring teams to achieve goals. Equipped with theoretical knowledge and practical experience in project management, particularly as an assistant project manager.

**Professional Experience**  
- Played an integral role in the successful sale of a company in 2019, managing a complex and extensive project effectively.
- Consistently tackled challenging tasks, ensuring successful results.
- Proven expertise in enhancing business processes and advancing financial and tax accounting systems.
- Experienced in managing and guiding teams to create an environment of motivation and success.

**Training and Development**  
**Project Management Courses, Powercode Academy (2018)**  
""Clean Earth"" - Waste Recycling Initiative  
- Defined and analyzed project scope and objectives  
- Implemented and structured an Organizational Breakdown  
- Developed and managed Work Breakdown Structure  
- Executed SWOT analysis to identify strategic approaches

**Core Competencies**  
- Financial and tax accounting  
- Business process optimization  
- Leadership and team development  
- Fundamental project management  
- Strong analytical capability  

**Career Objective**  
Seeking a challenging role as an assistant project manager to utilize my dedication, perseverance, and proactive approach in contributing to the organization's success."
19,"Oleksandr [Your Last Name]  
[Your Address]  
[Phone Number]  
[Email Address]  
[LinkedIn Profile]  

Summary  
Dynamic and results-driven professional with over 12 years of experience. Known for meticulous attention to detail and exceptional organizational skills. A disciplined and strategic leader committed to excellence, efficiency, and conflict resolution under high pressure. Adept at utilizing interpersonal skills, time management, and problem-solving to manage multiple priorities with a positive attitude. Eager to take on additional responsibilities to achieve team goals.

Experience  

First Deputy Head  
Tyachiv District State Administration, Tyachiv  
July 2020 - February 2022  
- Achieved savings of 12 million hryvnias by implementing cost-saving initiatives to address long-standing challenges.  
- Led the successful implementation of the President of Ukraine's ""Accessible Medicine"" program, resulting in the construction of 5 and restoration of 4 family medicine outpatient clinics, totaling 45 million hryvnias.  
- Maintained effective working relationships and exceeded goals through effective task prioritization and a strong work ethic.  
- Utilized coordination and planning skills to meet deadlines in a fast-paced environment.  
- Prepared reports, documents, and communications using Microsoft Word and other software tools.  
- Actively listened to customer needs, fostering a collaborative environment through team-building activities.  

Sales Manager  
""Olmar"" LLC  
February 2019 - June 2020  
- Drove business growth by adopting a market expansion strategy to meet diverse customer needs.  
- Converted 95% of presented leads into paying customers through effective presentations of products and services.  
- Conducted thorough research on competitor products, services, and trends to target prospects in new territories.  
- Monitored product line changes to adapt and meet evolving market demands.  

Judge's Assistant  
Tyachiv District Court of Transcarpathian Region, Tyachiv  
March 2010 - January 2019  
- Prepared written messages, reports, and documents while identifying discrepancies for prompt resolution.  
- Analyzed information, identified problems, and provided solutions to enhance efficiency and productivity.  
- Continuously acquired and applied new skills to perform daily tasks more effectively.  

Skills  
- Excellent attention to detail and organizational skills  
- Strong problem-solving and interpersonal skills  
- Proficient in Microsoft Word and other communication tools  
- Effective time management and multitasking  
- Strategic leadership and team collaboration  

Education  
[Your Education Details]  

Languages  
[Languages You Speak]  

References  
Available upon request."
20,"[Your Name]

Contact Information  
[Your Address]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]

---

Summary  
Dynamic and detail-oriented project manager with experience in leading diverse teams and executing successful projects. Skilled in managing both small and large-scale projects, with expertise in several project management methodologies.

---

Education & Certifications  
- Powercode Academy  
  Certificate of Completion in Project Management

- DES-2023, DES-2022, DES-2021 (Data Engineering and Security Winter School)  
  Certificates of Completion

- Languages  
  English: FCE (B2)  
  German: B2.1 (Goethe-Institut Certificate)

---

Projects  
- FlatFriend  
  Led a team of volunteers to develop a product for the Ukrainian market as Project Manager.

- SPORT EVENTS (2023)  
  Created and managed a project independently as a Project Manager during PM course.

- MedPass (DES-2023)  
  Served as Business Analyst in developing a medical assistance platform at Data Engineering and Security Winter School.

- COV (DES-2022)  
  Worked as Business Analyst in creating a volunteer-company matchmaking platform at Data Engineering and Security Winter School.

---

Experience  

- Proficient in Trello, Jira, Confluence, Canva, SQL, Notion, Slack  
- Microsoft Office: PowerPoint, Word, Excel, Teams, Access

---

Skills  
- Interpersonal Skills:  
  Effective in autonomous and collaborative environments; sociable, stress-tolerant, assertive, diplomatic, and receptive to new ideas.

- Leadership:  
  Clear communicator with strong argumentative skills.

- Growth Mindset:  
  Critical thinker with managerial skills.

- General Management:  
  Familiar with Scrum, Agile, Kanban, V-Model, and Waterfall methodologies.

---"
21,"**[Your Name]**  
[Your Address]  
[City, State, ZIP]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Dynamic and results-oriented Commercial Director with over five years of expertise in driving business growth and enhancing operations within an e-commerce setting. Skilled in internet marketing, lead generation, and overseeing both domestic and international sales. Excellent interpersonal skills with a history of leading teams, resolving conflicts, and fostering lasting relationships with key stakeholders.  

---

**Professional Experience**

**Commercial Director**  
Eco Harmony Online Store  
2011 - 2016  

- Led internet marketing strategies utilizing platforms such as boards, forums, and social media to boost brand visibility and enhance customer engagement.
- Implemented effective lead generation tactics and managed a comprehensive leads database to drive client acquisition and retention.
- Facilitated team meetings, resolved disputes, and managed conflict situations to uphold team cohesion and productivity.
- Oversaw task implementation to ensure alignment with business objectives and timely execution.
- Streamlined international sales operations and managed supplier relations for improved process efficiency.
- Explored and developed new revenue streams and business opportunities in targeted markets.
- Built and maintained commercial relationships with key customers and partners to ensure sustained business success.
- Supported all sales activities, from strategic planning to execution.
- Actively involved in recruitment and staff training to cultivate a high-performing team.

---

**Skills**

- Fluent in English  
- Quick learner with adaptability to change  
- Effective team player with strong interpersonal skills  
- Excellent business acumen and the ability to influence at all levels  
- Highly motivated, with superb planning, analytical, and estimation skills  
- Proficient in risk management  
- Skilled in P&L Management and Strategic Planning  
- Experienced in Customer Relationship Management  
- Competent in Staff Training & Development  "
