,Modified_meta-llama/llama-3.3-70b-instruct_of_Modified_meta-llama_llama-3.3-70b-instruct_of_CV_Modelmeta-llama_llama-3.3-70b-instruct_Modelmeta-llama/llama-3.3-70b-instruct
229,"Web Developer and Administrator
- Contributed to the development of a law consulting website as part of a collaborative development team
- Participated in designing the website's user interface
- Helped develop the website's logical structure and performance
- Administered client relationships and managed case management on the website

Pro Bono Lab Manager, Ukrainian Access to Justice School of Practice
- Coordinated Pro Bono Lab platform operations, managing requests from non-governmental organizations and securing pro bono support from law and audit firms

Course Creator for Social Initiatives and NGOs
- Conducted research on topics of interest for social initiatives
- Collaborated with law and audit experts to develop course content
- Designed course modules and test cases
- Participated in video production for the course
- Administered the inaugural cohort of 30 students
- Converted course materials into SCORM packages for integration with a Learning Management System"
230,"Results-driven IT professional with 8 years of experience leading a company, overseeing teams and employees, currently managing 1 manager, 5 full-time developers, and 1 product project.

Proven experience with agile methodologies, including Scrum, and utilizing task tracking systems such as Asana, Trello, and GitHub. Skilled in versioning systems like Git.

Technical expertise includes:
- 3 years of experience with PHP, with limited experience in PHP frameworks
- Familiarity with WebGL, Three.js, and Babylon.js
- Basic knowledge of React.js and Vue.js

Adept at project time and money estimation, providing technical guidance, and leading Scrum meetings. Committed to building and developing successful teams, motivating individuals, and fostering collaborative goal-setting and growth.

Key strengths include:
- Team leadership and management
- Agile methodologies and Scrum implementation
- Technical problem-solving and solution implementation
- Project planning and estimation
- Team motivation and development

Looking to leverage experience and skills to drive team success and growth in a new challenge."
231,"Results-driven leader with extensive experience in managing non-commercial projects, leveraging strong communication and conflict resolution skills to drive success. Proven track record of leading teams in academic and hobby settings, with a strong foundation in scientific research and numerical modeling.

Education:
BSc and MSc in Theoretical Physics
MSc in Nanoscience, Finland

Technical Skills:
- Waterfall and Agile/Scrum methodologies
- Project Management basics: PERT, GANTT, CPM
- Programming languages: Python, Lua, C++, MySQL, PHP, HTML, CSS, Delphi
- Operating Systems: Linux
- Tools: Git, MS Office, MS Project
- Languages: Fluent English, basic Finnish and French, intermediate German (~B1 level)

Career Goals:
Seeking a challenging role that utilizes intellectual capabilities, offers professional growth, and provides a friendly team environment. Eager to apply problem-solving skills to complex tasks and find innovative solutions."
232,"Result-focused professional with 5 years of experience in legal practice, leveraging excellent communication, prioritization, and problem-solving skills to drive project management success. Proven ability to build effective, long-term trust-based relationships with customers and stakeholders.

PROJECT MANAGEMENT EXPERIENCE:

Project A:
- Developed a solution for an outsourcing IT company to measure and trade against client and development team satisfaction KPIs, designing a project health check dashboard based on key stakeholder satisfaction scores.
- Determined project scope, devised a 12-click flow, and managed a team of 4 students as Product Owner.

Project B:
- Organized the development of special issues and migration from Tilda for top 3 news agencies, arranging migration to a Ukrainian web constructor and developing a special issues flow.
- Conducted stakeholder surveys, analyzed 30+ web constructors, and integrated best practices into the special issues design process, reducing design time by 10%.

WORK EXPERIENCE:

AAL «LF “Pragnum” (2019-Present)
- Managed high-profile cases with multiple-level stakeholders, handling 7+ cases simultaneously.
- Successfully defended a client against tax evasion charges totaling 10 million UAH, and represented a group of companies in a 2,000,000 USD dispute against the Deposit Guarantee Fund.

AAL “PRAVOTA” (April 2016 – January 2019)
- Achieved a first-in-Ukraine success in a wealth tax dispute, saving the client 5,000 USD.
- Overruled a 10,000 CHF fine in a dispute against the National Wrestling Association.

With a logical, analytical mindset and ability to structure and summarize large amounts of information, I am excited to bring my strategic thinking, flexibility, and coordination skills to a product company, boosting project management quality and driving success."
233,"Quality Manager & Multifaceted Professional

Summary:
Results-driven and versatile professional with experience in quality management, alternative medicine, culinary event organization, human resources, business creation, and marketing. Proven track record of improving operational efficiency, ensuring compliance with industry standards, and driving business growth.

Experience:

Quality Manager, Aviation Club
- Revamped and rewrote operational manuals to ensure compliance with industry standards and introduced streamlined processes, resulting in improved safety measures and enhanced operational efficiency
- Ensured compliance with safety standards and aviation regulations, developing quality control processes and conducting inspections and audits to improve operational efficiency while prioritizing utmost safety

Alternative Medicine Project Lead
- Spearheaded a groundbreaking project in alternative medicine, offering unique and innovative treatments for holistic wellness solutions

Culinary Event Organizer
- Organized three successful master classes in Ukrainian cuisine in Germany, promoting cultural understanding and recognition, and demonstrating the richness of Ukrainian culinary traditions

Human Resources & Business Creation
- Successfully set up a business from scratch, crafting comprehensive business plans, acquiring licenses and permits, finding the perfect location, creating branding, and devising marketing strategies

Assistant, Marketing Company
- Conducted in-depth market research, analyzed consumer behavior, and implemented dynamic marketing strategies with a talented team
- Crafted compelling campaigns across digital platforms and physical events, managed databases for seamless customer relationship management, and streamlined lead generation

Skills:
- Quality control and management
- Business creation and development
- Marketing strategy and campaign execution
- Event organization and management
- Alternative medicine and holistic wellness
- Intercultural connections and understanding
- Operational efficiency improvement
- Compliance with industry standards and regulations
- Team collaboration and leadership
- Adaptability and resourcefulness

With a strong foundation in multiple fields, I am dedicated to delivering excellence in various roles, driving growth, and ensuring quality and safety standards are met."
234,"Customer Excellence Consultant
International Environment (Embassy)

Utilized negotiation, sales strategy creation, and implementation skills to drive success in a fast-paced environment. Key responsibilities included exams registration, team relation building, and effective communication with clients. Developed and honed skills in translating and proofreading, with a focus on creating and editing advertising materials for the company website.

Notable achievement: Collaborated with the Marketing team to design, develop, and launch a Facebook chat-bot, significantly enhancing the customer journey and reducing typical requests requiring human resolution.

Career aspirations: Seeking a role in a dynamic and creative team where I can develop Project Management skills, learn new tactics and tools, and build strong, proactive client relationships to drive company growth."
235,"INFORMAL EDUCATION COURSES & CERTIFICATION

Digital Law (BCA Company)
The Project Management Course: Beginner to Project Manager (Udemy)
Agile Fundamentals: Including Scrum and Kanban (Udemy, 2022)
Business Fundamentals: Corporate Strategy (Udemy)
Business Fundamentals: Marketing Strategy (Udemy)
Basics of Team and Project Management in IT (Prometheus)
Basics of Project Management (Prometheus)
IT Product from Scratch: Where to Start and How to Develop (Prometheus)
Modern Leadership: The Art of Breaking the Rules (Prometheus)
HR Career: Roles, Competencies, and Challenges (Prometheus)

In Progress:
Professional Certificate ""Google Project Management"" (Coursera)

PROFESSIONAL EXPERIENCE

Dean's Office Manager, Faculty of Cybersecurity and Informational Technologies
Managed documentation and personal data
Created various types of documents, including agreements, NDAs, and financial documents
Communicated with stakeholders and negotiated with partners
Oversaw HR management, event planning, and organization
Organized workflow and handled multiple projects to meet deadlines

IT-Law Teacher, IT-Academy ""STEP""

Lawyer, IT Company HOSTING.UA
Managed HR and personal data
Provided legal consulting and expertise in personal data law and intellectual property law
Prepared documentation and performed related tasks"
236,"Key Achievements:

* Successfully connected 9 new customers, including prominent chain HoReCa and retail clients, within a 1-year period
* Delivered customized projects for notable clients, such as ATB group of companies, ""Puzata Khata"", and ""Mafia"" restaurant chain
* Conceptualized and launched ""Daily Pizza"" departments from inception, resulting in the establishment of 6 operational points
* Designed and implemented key performance indicators (KPIs) for ""Daily Pizza"" and retail staff to drive performance
* Streamlined and centralized product assortment to enhance efficiency
* Developed and implemented the ""Value proposition"" for the ""Culinary"" direction, driving strategic growth
* Created planograms from scratch to optimize product placement
* Achieved a 28% increase in like-for-like (LFL) category maintenance, demonstrating significant category growth

Experience:
Category Manager and Procurement Manager in the FMCG sector, with key responsibilities including:
* Managing and optimizing product categories
* Implementing strategic projects to drive business growth
Key Account Manager, with a focus on:
* Identifying and acquiring new customers to expand the business
* Supporting and driving B2B developments to foster growth

Career Goal:
To leverage FMCG sector experience and transition into a digital role, unlocking full managerial potential and driving business transformation."
237,"Results-driven professional seeking a challenging role in management, with a strong foundation in team collaboration and a keen interest in project management and business analysis. 
Proven experience in working on diverse projects, with a focus on web3 market research and analysis. 
Skilled in gathering and setting requirements for technical teams and developing strategic plans for project development in foreign markets.

Previous experience as a Revenue Manager has provided a solid understanding of business operations and revenue growth strategies. 
A strong willingness to learn and quickly adapt to new tools and techniques is evident.

Self-motivated individual with a passion for communication, process implementation, and innovation, driven to make a positive impact on the company's welfare and contribute to creating something new that can have a global influence on people's lives. 
Strong interpersonal skills, with the ability to work effectively with teams and stakeholders to achieve common goals."
238,"Results-driven professional with a proven track record of overfulfilling completed inquiries and a strong background in sales management. Completed Project Manager course at Hillel with honors.

Work Experience:

1. Kyivstar (November 2018 - February 2019)
   First-line Support Operator: Provided customer support for PrePaid services, demonstrating strong communication skills and ensuring high levels of customer satisfaction.

2. Agribusiness (September 2013 - June 2017)
   Sales Manager: Successfully managed sales of grain batches, rentals of land, and agricultural machinery, showcasing ability to handle multiple responsibilities.

3. Polygon Ltd. (Kyivstar main contractor) (January 2013 - July 2013)
   Sales Manager: Utilized sales expertise to promote calling services and drive sales growth.

4. Telekomstroy Ltd. (October 2012 - December 2012)
   Sales: Applied sales skills to drive sales of calling services, developing strong relationship-building skills.

5. Look At Pro (January 2018 - March 2018)
   IT Sales Manager: Leveraged sales management experience to drive IT sales, further developing industry knowledge.

Education:

- English language courses at LinguaCats (April 2019 - ongoing)
- Project Management at Hillel (April 2019 - June 2019)
   Acquired knowledge in:
   1. Software development models, methodologies, and frameworks
   2. Stakeholder Management (stakeholders matrix, RACI matrix)
   3. Risk Management
   4. Requirements Gathering (MVP, user stories, prioritization)
   5. Estimation Techniques (3-point estimation, story points, hours)
   6. Project Artifacts (Proposal, SOW, Project Management Plan, etc.)
   7. Resource and Budget Management
   8. Backlog Management
   9. PM tools: Trello, Jira

Seeking an entry-level opportunity in Project Management, including intern, trainee, or junior positions, where sales management experience and strong communication skills can be leveraged."
239,"**Summary**
Results-driven professional with 7 years of experience in the FMCG industry, skilled in IT, LEAN, staff development, and supply chain management, with a proven track record of delivering cost-saving projects and process improvements.

**Projects**
* Proposed and implemented IT projects, including ""Bill of materials process automatization"" and ""MRP in SAP"", resulting in $34K annual savings
* Proposed and implemented supply chain projects, including ""ABC and XYZ methodology for inventory stocks analysis"", ""New supplier implementation"", and ""Implementation of a new glue using scheme"", resulting in $163K annual savings
* Implemented IT projects and business process improvements, including ""SAP GUI Automation"" and ""Automation of data People cycle consolidation"", resulting in optimization by 2 FTE
* Managed a students' probation scheme, resulting in 72 successful outcomes
* Developed and conducted trainings for over 600 people

**Work Experience**
FMCG Company (7 years)
* Utilized knowledge of web development process, HTML/CSS/JS, and Project Management processes
* Created technical specifications and project documentations
* Applied risk-management and crisis-management skills
* Demonstrated people management and negotiation skills with suppliers and subcontractors
* Planned and implemented budget and timing, with a focus on cost reduction strategy
* Created and controlled business processes and corresponding documentation
* Conducted remote recruitment and supported staff performance review and personal development processes
* Prepared presentations for clients and trainings for staff, and handled business correspondence

**Skills**
* Project Management
* IT
* LEAN
* Staff development
* Supply chain management
* HTML/CSS/JS
* Risk-management
* Crisis-management
* People management
* Negotiation
* Budget planning
* Business process creation and control
* Remote recruitment
* Performance review and personal development support

**Languages**
* Polish (Elementary level)

**Preferred Work Environment**
* Interesting and challenging projects
* Multinational environment
* Opportunities for personal and professional development
* Permanent job
* Friendly atmosphere"
240,"I am looking for new challenges and opportunities and a team with common values, product vision, positive thinking and a good corporate culture

Work Experience:
PR Team Manager, Startup Incubator
- Managed strategic planning and operational tasks
- Organized and moderated brainstorming sessions and meetings
- Coordinated communication with regular partners
- Planned activities from conception to completion, aligning with goals and target audience
- Delegated tasks and tracked results to ensure timely completion
- Monitored project implementation to ensure adherence to timelines

Project Manager
- Hack-A-Train: Hackathon on the train from Mariupol to Lviv with Garage48
  - Coordinated train booking and branding
  - Managed local marketing efforts and application setup
  - Arranged catering and logistics
  - Provided necessary stationery and printed materials
  - Oversaw all processes during the 30-hour event

- Hack For Locals: Hackathon for local community development with Garage48
  - Managed local marketing and application setup
  - Fostered involvement of companies and government agencies
  - Identified and communicated with partners
  - Sourced prizes for winners
  - Translated event texts and marketing messages from English to Ukrainian
  - Provided on-site event support"
241,"Project Coordinator
Big International FMCG Company

Education:
IT Project Management Course, Projector, 2021

Current Responsibilities:
Project Coordinator, Ukraine & Eurasia
• Coordinate and control Global Point of Sale project implementation in Ukraine & Eurasia
• Lead a team of 6 specialists across the region
• Manage Point of Sales Materials coordination and budgeting across markets and Categories
• Prepare briefs and communicate with agencies for production and logistics of trade equipment and Point of Sales Materials
• Control Point of Sales Materials and trade equipment procurement process
• Coordinate initiatives to achieve Global KPIs
• Support implementation of Global goals and priorities with 3rd parties
• Facilitate communication between Marketing and Trade Marketing for New Product Development
• Review and confirm cost estimations for design services
• Verify documents and payments with 3rd party companies

Career Objective:
Seeking to develop project management skills in IT and join a dynamic team."
242,"Results-driven professional with a strong background in sales and project management, seeking to leverage skills in the IT sector.

Summary:
Results-driven senior professional with experience in a US-based Autotransport Company with a local office in Dnipro, Florida. Proven track record of meeting sales goals for 5 consecutive years, with multiple ""Best Sales of the Day"" awards. Demonstrated adaptability and problem-solving skills through successful handling of a heavy-load transportation project.

Experience:
Autotransport Company, US (local office in Dnipro, Florida)
- Senior Position
- Managed transportation requests as separate projects, ensuring timely and satisfactory completion
- Coordinated client and driver needs, including deadlines, prices, contract terms, and service specifics
- Consistently met sales goals for 5 years, earning multiple ""Best Sales of the Day"" awards
- Successfully handled a project involving heavy-load transportation
- Utilized CRM, Trello, and DocuSign to manage projects and workflows; experienced with Confluence and Jira

Skills:
- Project management
- Sales
- Problem-solving
- Time management
- Customer service
- CRM, Trello, DocuSign, Confluence, Jira

Education:
- Completed PM courses at Hillel IT School with an excellent score

Personal Qualities:
- Quick learner
- Results-driven
- Responsible
- Strong work ethic
- Excellent customer service skills

Achievements:
- Consistently met sales goals for 5 consecutive years
- Earned multiple ""Best Sales of the Day"" awards
- Successfully handled a heavy-load transportation project
- Maintained high customer satisfaction, as evidenced by positive reviews"
243,"Worley
Senior Project Engineer
March 2021 - May 2022

Responsibilities:
• Managed project deliverables and interfaces for safe, efficient, cost-effective, and timely project execution
• Coordinated project communications and identified key issues
• Finalized project procedures with key project personnel
• Ensured project team members understood their responsibilities, scopes of work, and deliverables
• Provided weekly project status analysis to the Cost Controller and Planner

Achievements:
• Constructed and commissioned new laboratory systems, including Public Address General Alarm, Access Control System, Close Circuit Television, fire alarm, firefighting, HVAC, and power distribution
• Installed 12 server cabinets in the Data Centre for information replication
• Replaced laboratory equipment in a safe area to eliminate risks

UBOC
Project Engineering Lead
September 2020 - March 2021

Responsibilities:
• Monitored engineering work progress from contractors and addressed problems
• Managed engineering interfaces and information transfer between contractors
• Ensured quality of engineering work met international standards

Achievements:
• Established engineering processes and procedures across departments
• Developed and integrated the Engineering Execution Plan

British Petroleum
Project Lead
September 2009 - June 2020

Responsibilities:
• Implemented project procedures, guides, and templates
• Contributed to the regional annual activity plan
• Managed project and modification budgets
• Overseen contractor resources and project delivery
• Performance-managed contractors using global benchmarks, metrics, and KPIs
• Managed internal stakeholders and interfaces

Achievements:
• Increased plant efficiency, resulting in $750M revenue growth
• Boosted gas production
• Eliminated safety and business risks, increasing production by $2.5M per annum
• Delivered oil and gas production optimization projects"
244,"Summary:
Results-driven IT professional with experience in project management, business analysis, and system administration, delivering successful corporate network, website, and information system designs and developments.

Positions:
Project Manager, IT HB (http://www.it-hb.org)
  - Duration: 6 months

IT Business Analyst, Promocore (http://promoco.re)
  - Duration: 4 months

Network and System Administrator, Vinnitsia National Technical University (http://vntu.edu.ua)
  - Duration: 3 years 5 months

Projects:
- ChiliPizza (http://www.chilipizza.vn.ua): Designed, developed, and configured website features including JS site menu, 3D tour, and customer needs implementation
- Joht & Alex Transport Company (http://www.ja-bus.com): Ongoing project involving website development, consulting, business analytics, branding, SEO, and SMM
- IROOM (http://iroom.ua)
- EcoCITIZENS: Developed ASP.NET website using MVC, designed and utilized msSQL database, and created a sketch for Arduino web server
- Site of Department of Business Economics and Production Management VNTU (http://epvm.vntu.edu.ua): Developed Front-End, Back-End, and MySQL database using CMS WORDPRESS with custom theme
- Development of the system management and optimization of solar collector: Created a system for managing solar collectors in automatic mode with ""Smart home heating"" integration
- Development of intelligent home heating system: Optimized building heating systems with alternative energy sources

Skills:
- SDLC, Agile, Scrum
- Project planning and management
- Project management tools: Trello, Slack, Asana, Worksection, MS Project, Mind-maps, MS Visio
- Project management knowledge areas: Project Scope, Time, Cost, Quality, and Human Resource management
- Communication Management, Risk Management, Change Management
- UI/UX: usability, guidelines, website and platform development, CMS and framework selection
- SEO and SMM basics
- Teamwork, result-oriented, office work

Experience with:
- Networking technologies: VLAN, WiFi, WPA 2, ACL, WDS, CAP manager, Squid Server, Radius Server, Teamviewer Server, Local connections to computers with video surveillance systems
- Development technologies: ASP.NET, MVC, msSQL, Arduino, WORDPRESS, CMS, MySQL
- Programming languages: JavaScript, Front-End, Back-End development"
245,"Summary:
Highly skilled and experienced professional with a strong background in teaching, public relations, leadership, and project management. Proven track record of successfully managing teams, resolving conflicts, and organizing events. Possesses excellent communication and time management skills, with the ability to work effectively with people of different ages and cultures.

Skills:
- Communicability and responsibility
- Teaching and time management
- Public relations, leadership, and team management
- Purposefulness, with a strong desire to learn quickly

Education and Certifications:
- Three higher educations
- Курс ""IT Project Management"" в ""A-level Ukraine"", 2022
- Курс ""IT Project Management"" в ""ITEA"", 2022

Work Experience:
Assistant of Department of Internal Medicine №1, Kharkiv National Medical University (2018-Present)
- Teach foreign students in English
- Organize online learning environment
- Develop lesson plans and educational e-courses
- Manage time effectively during classes

Physician-Therapist, Kharkiv City Hospital №27 (2016-2018)
- Diagnose and treat internal diseases
- Assist the head of the department with healthcare organization

Youth Council Head, Regional Healthcare Trade Union (2016-Present)
- Implement youth policy in trade unions
- Organize cultural, recreational, creative, and educational events
- Manage volunteer projects

Head of Volunteering, Student Council of KNMU (2013-2016)
- Create and implement volunteer and social projects
- Manage stakeholders, scope, time, cost, and risk
- Manage procurement

Copywriter, Webline Promotion (2017-2019)
- Write unique articles on medical and other topics

Copywriter, Editor, Head of Medical Department, JDI Studio (2020-2021)
- Manage communication and other copywriters' work
- Ensure quality management

Receptionist-administrator, Children's Medical Center ""Neboleika"" (2013-2017)
- Manage expectations and communication
- Organize doctors' appointments and patients' registration
- Manage schedule, cashier work, and documentation processing
- Resolve conflicts

Project Management Experience:
- Successfully defended a home e-commerce website development planning project
- Completed homework on planning a mobile application project for the university"
246,"Project Manager & Business Developer

Summary:
Results-driven professional with experience in project management and business development, delivering strategic goals and revenue growth.

Experience:

Project Manager, Engineering Company (2021)
- Successfully closed $2M in new business within 2 months
- Negotiated and concluded agreements with 2 major construction companies
- Led a team to achieve shared objectives, leveraging strong negotiation and communication skills
- Total transaction value: $12M in 10 months

Business Developer, Network Coffee Shops (2019)
- Oversaw coffee shop operations, employee management, and training, while implementing effective marketing strategies
- Expanded the network to three stores, generating $1.2M in personal transactions within 11 months
- Achieved significant revenue growth of 1500% annually, increasing from $80K to $1.2M

Education:
Currently pursuing Data Warehouse and Business Intelligence (DWBI) at EPAM, commenced Autumn 2021

Skills:
- Strategic vision and planning
- Team management and leadership
- Communication and negotiation
- Problem-solving and risk management
- Marketing strategy and implementation
- Financial management and accounting"
247,"Self Employed (2021 - Present)

Achievements:
• Established a solid base of loyal customers, resulting in a passive income stream
• Developed a customer acquisition strategy
• Managed brand
• Conducted negotiations

Glaz Systems (2018 - 2021)
Business Development Manager

Achievements:
• Built department structure and streamlined processes
• Increased the number of loyal customers from 3 to 50
• Optimized the service delivery department's operations, resulting in improved NPS and service margin

Responsibilities:
• B2B sales (IT)
• Account management
• Building processes
• Development of a partner network
• Writing Software Requirements Specifications for the development team
• Team management
• Organizing business trips, participation in industry exhibitions, forums, and direct negotiations
• Administrative functions (payment control, documentation processing, report management)

ШКОЛА ОСТАННЬОГО КАПІТАЛІСТА (Project employment)
(AUG - SEP 2023)
EdTech project for a Ukrainian economics YouTube channel.
• Requirements management
• Task management
• Tech writing
• Product vision
• Involvement in course program development research

BALANCУЙ TEAM (JUN 2023 - Present)
Project Lead
• Manage multiple projects, including:
  DefendUAId: A platform assisting the Armed Forces of Ukraine by providing links to verified funds and Telegram channels for donations
  Balancyй: A time management application for work-life-study balance, with versions in development for iOS, Android, and web"
248,"6+ years of experience as a teacher of English and Italian languages

4 years of experience as a Marketologist, creating marketing descriptions of products in English and Italian and managing database entries

1+ year of experience as an IT Project Manager, with responsibilities including:
- Leading 5+ projects simultaneously, including support projects
- Conducting business analysis, creating project documentation, and managing customer expectations
- Applying Waterfall and Agile practices, including Scrum and Kanban
- Utilizing project management tools such as Trello and JIRA
- Planning and delivering projects within scope and time, including resource planning and working day planning
- Prioritizing, distributing, and monitoring tasks, and controlling project progress

Education and Certifications:
- Completed project management courses at PM school, May 2018 - July 2018 (certificate received)
- Completed Coursera course on Project Management and Philosophy, August 2019

Skills:
- Advanced English (oral and written, business correspondence, and teaching)
- Strong communication and leadership skills, with emphasis on conflict mitigation and stress resistance
- Organizational skills, with experience in task prioritization and project planning

Personal Qualities:
- Strong belief in the importance of a great team of managers and developers working together towards a common goal
- Commitment to thorough business analysis and honesty in project management
- Expectation of competitive salary

Relevant Reading:
- «Черная книга менеджера»
- «Белая полка менеджера»
- Scrum и XP: from the trenches
- Роман Савин - Тестирование dotcom
- Scrum и Kanban - выжимаем максимум
- Том де Марко - Deadline
- Карл Сьюэлл - Клиенты на всю жизнь
- Максим Ильяхов, Людмила Сарычева - Пиши, сокращай"
249,"Results-driven professional with 9+ years of experience in project management, boasting a strong background in negotiations, communication, sales, and team management. Skilled in planning, time management, and organizational work, with a proven track record of successfully implementing challenging projects.

Key strengths include:
• Exceptional negotiation and communication skills, with high-performance experience interacting with top-level representatives of international companies
• Proven ability to manage teams of up to 10 people, with expertise in goal setting, motivation, coaching, conflict resolution, hiring, and retention
• Effective sales and brand promotion skills, with a strong ability to acquire new customers
• Analytical thinking, solution-seeking, and problem-solving skills, with a proactive and quick-learning approach
• Ability to adapt to new professional domains, with successful implementation of relevant experience and expertise

Certifications:
• IT Project Management
• Technical Skills for PMs & BAs

Career aspiration: To secure a challenging and stimulating role in an IT company, leveraging excellent management and communication skills, as well as effective sales abilities, to drive company development and prosperity."
250,"Results-driven professional with 2 years of experience in international companies, including product and IT consulting firms, driving process enhancements to boost workflow efficiency and participant satisfaction.

Key achievements include:
- Renewing the Company Values document
- Improving the benefits system

Proficient in project management, with a completed course in Project Management certified on LinkedIn, and skilled in:
- Organization
- Time management
- Talent and resource management
- Leadership
- Problem-solving

Technical skills include:
- Administration of Jira, Google, and Slack accounts
- Handling engagement meetings and one-on-one sessions
- Conducting trainings and creating company documents
- Proficiency in SAP and Excel

Project management expertise encompasses:
- Preparing technical documentation
- Building Gantt charts, roadmaps, and timelines
- Creating mock-ups
- Planning and prioritizing
- Experience with Scrum frameworks, Agile methodology, and Kanban methodology

Seeking a dynamic company where skills can be fully utilized, and invaluable experience can be gained to contribute to future growth and development."
251,"Results-driven management professional with 5+ years of experience in leadership roles, driving business growth and team success.

Proven track record of increasing profits through effective team collaboration, attention to detail, and step-by-step problem-solving. Committed to finding win-win solutions that satisfy customers, performers, and teams.

Skilled in Agile Methodology, including Scrum and Kanban, with a focus on creating efficient working processes and achieving high-quality results.

Experienced leader of a retail department store selling luxury goods, with expertise in team management, coaching, and individualized approaches to team member development.

Strong passion for understanding human behavior and motivating teams to achieve goals. Proficient in working with American and European markets, with a current location in Kyiv.

Seeking a junior project manager or trainee position to leverage management skills and experience in a new field, with a focus on creating a friendly, goal-oriented team and driving success."
252,"Co-Founder
Management Services Companies (2015 - Present)
- Managed teams of up to 26 employees, currently overseeing 18 employees across three stores
- Successfully opened five stores, with ongoing responsibility for complex maintenance and repair of residential objects, as well as trade operations
- Total personnel management experience spans over 30 people

Translator (February 2011 - November 2011)
- Utilized language skills to facilitate communication

Lecturer, Lviv Danylo Halytskyi Medical University, Department of Ukrainian Studies (December - September 2015)
- Taught Ukrainian language to foreign students

Lecturer, Lviv Ivan Franko National University (September 2015 - Present)
- Ongoing academic position, leveraging strong communication and leadership skills

Seeking a role as a PM Assistant/Business Analyst Assistant in the IT field, leveraging:
- Strong foundation in leadership and teamwork
- Effective communication skills, with ability to set clear tasks and adapt to new information
- Valuation of collaborative team environments, transparent relationships, and constructive feedback for personal and professional growth"
253,"Results-driven leader with experience in process improvement, financial growth, and team management. Proven track record of driving business growth and enhancing operational efficiency.

Key Achievements:
- Improved administrative and studying processes, resulting in enhanced financial performance and positive company impact
- Increased monthly net income by 22% on average
- Boosted signed training contracts per month by 18% on average
- Introduced changes in management and communication methods, leading to a significant increase in positive Google reviews
- Successfully implemented 7 new courses, with 4 additional courses in development, bringing the total to 45 courses

Summary of Experience:
Administrative Director with a background in driving financial growth, process improvement, and team management. Skilled in implementing changes to enhance business performance and increase efficiency.

Career Aspirations:
Junior Project Manager position in the IT industry, leveraging transferable skills from administrative experience to drive success and contribute to company growth.

Personal Qualities:
- Strong willingness to develop professionally in the IT sector
- Advanced soft skills developed through administrative experience
- Team-oriented with a positive attitude"
254,"Results-driven professional with a strong background in management, logistics, and marketing, gained through experiences in diverse environments across 5 countries. Leverage a unique blend of skills to drive business development and growth.

Summary:
Achievement-oriented recent graduate with experience in small business management, European and American logistics, and intercultural communication. Proven ability to work effectively in fast-paced environments, with a strong focus on delivering results and meeting customer needs.

Work Experience:

Transport Manager
Hegelmann Transporte UAB, Kaunas (March 2018 - September 2018)
- Managed a fleet of 25-30 trucks daily across Europe
- Coordinated with truck personnel, developed solutions to unexpected issues, and prepared initial documents
- Established contact with customers and negotiated delivery terms

Afterhours Freight Dispatcher
General Freight Experts Inc., Ternopil (June 2017 - July 2017)
- Booked freights on the US territory and pre-planned routes for 4-6 assigned drivers
- Developed relationships with customers, stayed up-to-date on freight trends, and mitigated financial risks
- Negotiated and drafted commercial contracts for new and existing clients

Store Manager
Buchach Coffee Store (December 2015 - June 2016)
- Communicated with suppliers, served customers, and monitored service standards
- Controlled technical equipment condition, trained staff, and ensured excellent customer service

Education:
Double-degree Master's program in Lithuania and Belgium

Skills:
- Intercultural communication
- Small business management
- European and American logistics
- Marketing
- Management
- Customer service
- Teamwork
- Problem-solving
- Negotiation
- Time management

Career Expectations:
Seeking a dynamic work environment where teamwork and mutual support are valued, and opportunities for growth and development are available."
255,"Art Director
5+ years of experience in international movie productions, with 1.5 years as Head of Creative Team in a Ukraine-Israeli film production company

Key Projects:
- PLAN A (Germany, Israel): Led Ukrainian production team, designing and building destroyed streets of Nurnberg 1945 for WWII drama starring August Diel and Sylvia Hocs
- Check Out (Israel): Supervised reconstruction of 1990s Turkey, filmed in Ukraine, starring Josh Peis
- Victory (Israel): Historical musical production, reconstructing 1960s Tel-Aviv with multiple musical stages
- Arugam Bay (Israel): Managed international art department team for production filmed in Sri Lanka

Education and Training:
- Graduate Project Manager Course, 2022
- Graduate Soft Skills Course, 2022
- Graduate HR-Manager Course, 2022
- Participant, Female Leader Summit, European Leadership Debate Academy for Eastern Europe, Agile course, 2021

Skills:
- Budget development and timeline specification
- Project progress reporting
- Strong attention to detail
- Passion for film and television
- Effective communication skills
- Team collaboration and management
- Schedule-driven project completion

International Experience:
- Collaborated on productions in Ukraine, Georgia, Sri Lanka, and Israel"
256,"Online Courses:
Project Management Foundations
Agile Project Management
Atlassian Jira

Summary:
Results-driven and detail-oriented professional with event management experience, seeking a transition into project management. Proven ability to learn quickly, with a strong foundation in Agile methodologies and proficiency in Atlassian Jira.

Experience:
Event Management
- Utilized problem-solving skills to ensure successful event execution
- Demonstrated strong communication skills, working effectively with teams and stakeholders
- Applied a detail-oriented approach to manage multiple tasks and responsibilities

Skills:
- Project Management Foundations
- Agile Methodologies (Scrum, Kanban)
- Atlassian Jira
- Detail-oriented and multi-tasking
- Problem-solving and strong communication skills
- Team management and team player
- Advanced English language proficiency

Education:
Online courses in Project Management, Agile Project Management, and Atlassian Jira

Location:
Yerevan, Armenia

Availability:
Open to remote opportunities, with a flexible approach to financial expectations, prioritizing practical experience in Project Management."
