,Modified_anthropic_claude-3.5-sonnet_of_Modified_claude-sonnet-4-20250514_of_CV_Modelclaude-sonnet-4-20250514_Modelanthropic_claude-3.5-sonnet
215,"PROFESSIONAL SUMMARY
Accomplished UX/UI designer with proven expertise in creating intuitive digital experiences, backed by a background in veterinary medicine that demonstrates adaptability and precision. Combines creative design skills with strong analytical thinking to deliver user-centric solutions. Known for effective stakeholder communication and reliable project execution.

SKILLS
• UX/UI Design: User interface creation, responsive design, platform optimization
• Design Tools: Advanced proficiency in Figma and Photoshop
• Communication: Client consultation, team collaboration, stakeholder management
• Project Management: Deadline adherence, task prioritization, workflow optimization
• Professional Accountability: Performance under pressure, quality assurance, attention to detail

WORK EXPERIENCE

UX/UI Designer | GoIT | 06.2023 - Present
• Design and implement user interfaces for web platforms and mobile applications
• Execute end-to-end design process from wireframing to final prototype delivery
• Collaborate with development teams to ensure design feasibility and optimal user experience
• Create and iterate designs using Figma and Photoshop to meet project specifications

Veterinary Surgeon | Veterinary Surgery, Oncology, and Intensive Care Center | 2019-2023
• Delivered specialized medical services in a high-stakes surgical and intensive care environment
• Managed complex cases requiring precise attention to detail and swift decision-making
• Built strong relationships with clients through clear communication of treatment plans
• Coordinated with multidisciplinary teams to ensure optimal patient care outcomes

EDUCATION
Master's Degree in Veterinary Medicine
Sumy National Agrarian University, 2022"
216,"UI/UX Designer

Results-driven UI/UX Designer specializing in web and mobile applications, with demonstrated success in creating intuitive digital experiences through user-centered design principles. Proven track record in delivering comprehensive design solutions from research to implementation.

Skills:
• User Experience (UX) Research & Competitive Analysis
• User Interface (UI) Design & Prototyping
• Responsive Web Design
• Mobile Application Design
• Wireframing & Animation
• End-to-End Project Management

Project Experience:

Car Control Mobile Application | Full-Cycle Design Project
• Spearheaded the design of a satellite-integrated car control mobile application
• Executed comprehensive market research and user flow optimization
• Developed and implemented UI designs across 60+ screens
• Delivered complete project within two-month deadline

Medical Consultation Platform | Web Service Design
• Architected user interface for telemedicine consultation platform
• Designed integrated system comprising clinic website, physician portal, and patient dashboard
• Engineered responsive design solutions for seamless mobile adaptation

Professional Objectives:
• Leverage cutting-edge design technologies and methodologies
• Pursue advancement opportunities in UX/UI leadership
• Engage in continuous professional development
• Collaborate with industry experts for mentorship and growth"
217,"Mobile Application Developer & UI/UX Designer

EXPERIENCE

Mobile Application Developer
• Led end-to-end development of an innovative restaurant reservation mobile application
• Spearheaded comprehensive market research and competitive analysis to identify key user needs
• Designed and implemented an intuitive interface reducing table reservation process to minimal steps
• Engineered advanced features including menu browsing and pre-ordering functionality
• Optimized user flow through data-driven research and target audience analysis
• Delivered a streamlined solution enhancing both customer experience and operational efficiency

SKILLS

Technical Expertise
• Mobile Application Development
• User Interface Design
• Interactive Prototyping
• Information Architecture
• Wireframe Development

Research & Analysis
• User Research
• Competitive Analysis
• Target Audience Research
• User Experience Design

Professional Attributes
• Team Collaboration
• Detail-Oriented
• Problem-Solving
• Project Management

PROFESSIONAL PROFILE

Results-driven UI/UX designer specializing in creating intuitive and engaging mobile applications. Combines deep user research with innovative design solutions to deliver exceptional user experiences. Demonstrated success in translating complex requirements into streamlined, user-friendly interfaces. Strong collaborator focused on continuous improvement and excellence in product design."
218,"**UI/UX Design Leader**

**Professional Summary**
Dynamic UI/UX design professional with proven expertise in leading web and mobile application projects from conception to deployment. Demonstrated success in managing cross-functional teams, conducting comprehensive UX research, and delivering user-centered design solutions. Skilled in establishing design systems and maintaining project consistency while fostering collaborative team environments.

**Professional Experience**

**Lead UI/UX Designer - ClinicMed Project**
- Spearheaded end-to-end development of healthcare web service platform
- Conducted comprehensive market research and competitor analysis
- Developed user personas and implemented JTBD framework
- Created detailed user flows and customer journey maps
- Designed and implemented comprehensive UI kit and component library
- Managed cross-functional team collaboration and established design standards
- Ensured design consistency and quality across all project deliverables

**Lead UI/UX Designer - Giferia Project**
- Directed full-cycle development of gift selection mobile application
- Executed in-depth market research and user analysis
- Defined MVP/MMP requirements and project scope
- Developed user flows, wireframes, and interactive prototypes
- Created and implemented standardized UI components
- Led team coordination and maintained project alignment
- Established quality control processes for design deliverables

**Independent Design Projects**
- Restaurant website redesign
- Multiple landing page developments
- Two personal portfolio projects
- Volunteer platform website development

**Technical Expertise**
- UX Research & Analysis
- User Persona Development
- Customer Journey Mapping
- Wireframing & Prototyping
- UI Kit Development
- Design Systems
- Product Design
- Web & Mobile Design
- Team Leadership
- Project Management

**Career Objective**
Seeking to leverage proven design leadership experience in a collaborative environment to drive innovation and deliver exceptional user experiences."
219,"**Graphic and UI/UX Designer**

**PROFESSIONAL SUMMARY**
Results-driven UI/UX and Graphic Designer with proven expertise in creating innovative digital solutions for fintech and blockchain industries. Demonstrated success in delivering end-to-end design solutions across international markets. Specializes in user-centered design approach, creating intuitive interfaces and compelling brand experiences that drive engagement and business growth.

**PROFESSIONAL EXPERIENCE**

**Senior UI/UX Designer**
*Outsource Company (Fintech and Blockchain Focus)*
• Spearheaded end-to-end design of web and mobile applications for multinational clients across USA, Canada, and UK markets
• Successfully delivered comprehensive blockchain trading platform interface design
• Architected user experience for blockchain-based gaming project with tokenization features
• Established and maintained cohesive brand identity systems for corporate clients
• Orchestrated full-scale merchandise design programs including apparel and promotional items
• Developed high-impact marketing collateral and social media content strategy
• Conceptualized and executed custom interactive corporate notebook featuring original illustrations
• Managed direct client relationships and requirement gathering processes

**Independent Design Consultant**
• Executed brand identity redesign for Ukrainian manufacturing client
• Led website modernization project improving user experience and visual appeal

**PORTFOLIO HIGHLIGHTS**
• Developed dynamic animation sequences for professional portfolio showcase

**CORE COMPETENCIES**
• Web and Mobile UI/UX Design
• Fintech/Blockchain Product Design
• Brand Identity Development
• Marketing Collateral Design
• Character Illustration
• Stakeholder Management
• International Project Coordination

**PROFESSIONAL OBJECTIVES**
Seeking to join a collaborative design team to contribute expertise in digital product design while advancing professional growth in a structured environment with defined processes and deliverables.

**TECHNICAL SCOPE**
Design expertise focused on visual and interface elements; non-coding designer."
220,"**UX/UI Designer & Product Manager**

**Professional Experience**
Seasoned UX/UI Designer and Product Manager with 8+ years of expertise in digital product development, specializing in creating intuitive user experiences for global enterprises. Led design initiatives for CGV Cinemas, implementing innovative solutions across their digital platforms.

**Core Achievements**
• Designed and delivered user-centric solutions for enterprise-level products and cinema network applications
• Spearheaded end-to-end design processes from concept to implementation
• Established scalable design systems for seamless cross-platform experiences
• Orchestrated successful collaboration between design and development teams

**Technical Skills**
• Frontend Development: HTML, CSS, JavaScript
• Design Tools: Figma, Adobe XD, Photoshop, Illustrator
• UX/UI Design: Wireframing, Prototyping, User Flows, Information Architecture
• Responsive Design: Mobile-First Approach, Cross-Platform Optimization
• Component Design: Design Systems, Pattern Libraries

**Areas of Expertise**
• User Interface (UI) Design
• User Experience (UX) Design
• Mobile & Web Application Design
• Interactive Prototyping
• Design System Development
• Cross-functional Team Leadership
• Developer-Centric Design Implementation

**Design Philosophy**
Dedicated to creating sustainable, scalable design solutions that prioritize user needs while ensuring practical implementation and long-term maintainability."
221,"**Game UI/UX Designer**

Results-driven Game UI/UX Designer with proven expertise in UI artistry and animation since 2019, building upon 4 years of web design experience. Combines technical proficiency in game development tools with creative design capabilities. Currently sharing expertise as Design Instructor at IT Academy, Lviv.

**Core Competencies:**
• UI/UX Design & Development
• Game Interface Architecture
• Asset Creation & Implementation
• Web Design & Development
• Technical Documentation
• Team Collaboration

**Technical Proficiencies:**
• Figma
• Adobe Photoshop
• Unreal Engine 4
• Unity
• HTML/CSS/JavaScript

**Professional Experience:**

**Game UI/UX Designer** | 2019 - Present
• Design and implement intuitive user experience flows aligned with game mechanics
• Create and optimize UI elements and screen layouts for seamless player interaction
• Prepare and deliver production-ready assets for development implementation
• Drive cross-functional collaboration to ensure design vision integrity
• Leverage technical expertise to support broader game development initiatives

**Web Designer** | 2015 - 2019
• Established end-to-end design workflows for web development projects
• Led mentorship programs to enhance team design capabilities
• Developed and maintained client relationships through independent acquisition
• Executed website updates and brand identity redesigns across multiple platforms

**Additional Qualifications:**
• Comprehensive understanding of game development lifecycle
• Proven track record of effective team collaboration
• Commitment to continuous professional development
• Multilingual capabilities
• Active practitioner of basketball, Brazilian jiu-jitsu, and yoga"
222,"**PROFESSIONAL EXPERIENCE**

Senior UI/UX Game Designer
Ukrainian Game Company

• Spearheaded end-to-end UI/UX design for multiple casual game projects, from concept ideation to final implementation
• Created and optimized high-quality sprite assets for Unity platform integration
• Led cross-functional collaboration with design teams, project managers, artists, and developers to deliver cohesive gaming experiences
• Conducted competitive analysis and user research to drive data-informed design decisions
• Designed and implemented intuitive user interfaces that enhanced player engagement and retention
• Developed comprehensive visual asset libraries including branded logos, dynamic icons, interactive buttons, and innovative gameplay mechanics
• Performed quality assurance of UI implementation to maintain design fidelity across platforms
• Pioneered adoption of emerging UI/UX design trends to enhance user experience
• Successfully shipped mobile casual game to market

**EDUCATION**

Bachelor of Arts in Artist-Performer
Kyiv National University of Construction and Architecture

**PROFESSIONAL OBJECTIVE**

Results-driven UI/UX designer seeking challenging opportunities to leverage expertise in game design and visual development. Committed to creating engaging player experiences while collaborating with high-performing teams to drive innovation and excellence in game development."
223,"UI/UX Game Designer

PROFESSIONAL SUMMARY
Accomplished UI/UX Designer with 4 years of commercial design experience and 2 years in game development, specializing in creating intuitive user interfaces for diverse gaming platforms. Proven track record of delivering successful projects across multiple genres, from AAA PC titles to mobile educational games.

PROFESSIONAL EXPERIENCE
UI/UX Game Designer
• Led and executed full UI development for educational mobile game, achieving 100,000+ downloads
• Contributed to AAA PC MOBA development team
• Successfully adapted PC simulator to mobile platform, meeting all deadlines
• Completed 248+ design projects across various gaming platforms
• Orchestrated multi-city exhibition material production
• Designed and implemented company employee welcome-box initiative

TECHNICAL EXPERTISE
• Design Tools: Figma (UI, vector graphics, animation), Photoshop, Graphics tablet
• Development: Unity3D
• Project Management: Jira, Confluence, Plastic SCM
• Platforms: Mobile, PC
• Game Genres: Shooters, Educational, MOBAs, Multiplayer Casual

CORE COMPETENCIES
• Full-cycle UI/UX development
• Information architecture
• User flow design
• UI research and wireframing
• Style research and prototyping
• Unity3D resource implementation
• Game testing and quality assurance

EDUCATION
• Web Design Certification (with honors)
- Led final group project
• English Language Certification (2022, with honors)

PROFESSIONAL DEVELOPMENT
• Active game industry participant and user
• Continuous professional development in evolving market conditions
• Adaptable to emerging technologies

PROJECT PORTFOLIO
Diverse experience across:
• Mobile shooter games
• Educational children's games
• Tactical MOBAs
• Multiplayer casual games"
224,"UX/UI Designer (2020-2022)

• Led end-to-end user experience design for indie game interfaces, incorporating extensive independent research and user testing methodologies
• Transformed complex user needs into intuitive interface solutions through iterative wireframing and prototyping
• Spearheaded the development of comprehensive site maps and information architecture to optimize user navigation
• Orchestrated user research initiatives including surveys and interactive exercises to gather actionable insights
• Implemented adaptive and responsive design solutions for web-based applications, ensuring cross-platform compatibility
• Created detailed customer journey maps and user flows to align product development with user expectations
• Developed and presented strategic UX solutions that enhanced product value while maintaining user-centered design principles
• Fostered cross-functional collaboration with developers and game designers to ensure seamless implementation

Visual and Graphic Designer (2019-2022)

• Conceptualized and executed compelling visual identities including logos, banners, posters, and promotional materials
• Delivered innovative design solutions while maintaining brand consistency across multiple platforms
• Established strong client relationships through effective presentation and defense of design concepts
• Contributed to product development through collaborative teamwork and knowledge sharing
• Monitored and incorporated emerging design trends while maintaining attention to detail and quality standards"
225,"**Professional Summary**

Results-driven UI/UX designer with proven expertise in design systems and copyright law compliance. Demonstrated leadership in community design initiatives and regular speaker at technology conferences. Track record of delivering comprehensive brand solutions and user-centered digital experiences.

**Core Competencies**

• User Interface Design: Complex multi-platform interface creation for mobile, desktop, and gaming applications
• UX Research & Implementation: Advanced user flow development, journey mapping, wireframing, and interactive prototyping
• Brand Development: End-to-end identity creation including logo design, style guides, and brand architecture
• Design Systems: Architecture and implementation of scalable atomic design systems
• Project Leadership: Strategic estimation, stakeholder management, and design review processes
• Cross-functional Collaboration: Effective communication and integration across diverse teams
• Visual Design: Comprehensive visual asset creation and system maintenance

**Professional Experience**

Lead Designer
• Spearheaded UI/UX design for cross-platform digital products from concept to deployment
• Implemented comprehensive UX methodologies including wireframing, prototyping, and user journey mapping
• Established and maintained cohesive brand identities and visual systems
• Architected scalable atomic design systems for digital platforms
• Developed accurate project estimations and timelines
• Led design reviews and integrated stakeholder feedback
• Facilitated collaboration between cross-functional teams

**Additional Qualifications**

• Specialized knowledge in copyright law and design compliance
• Active leadership role in Mykolayiv Design Community
• Regular technology conference speaker
• Remote work equipped with independent infrastructure
• Military service exemption status
• Available for full-time employment"
226,"Lead Game UI/UX Designer | Obrio (Genesis)
January 2021 - August 2022

Led UI/UX design strategy for Factory Empire mobile casino game, driving user engagement and retention through innovative features and seamless experiences.

• Spearheaded end-to-end design of 15+ features, from conceptualization to implementation
• Architected comprehensive UI design system ensuring brand consistency and scalability
• Created high-fidelity interactive prototypes for stakeholder alignment and user testing
• Conducted in-depth market analysis to identify opportunities and competitive advantages
• Managed and mentored junior designers while fostering team growth and collaboration
• Analyzed key performance metrics through devtodev.com to optimize user experience
• Delivered strategic presentations to cross-functional teams driving product decisions

Additional Leadership:
• Judge and Mentor, Genesis GameJam 2021
• Game UX Lecturer, Projector Institute Game Design Course

UI/UX Designer | Evoplay
February 2020 - January 2021

Drove design excellence across multiple gambling products, ensuring exceptional user experiences across platforms.

• Developed and maintained scalable UI design system for consistent brand experience
• Implemented responsive design solutions optimizing usability across devices
• Designed targeted feature improvements based on user feedback and metrics
• Created custom illustrations and visual assets enhancing product aesthetics

Product Designer | Aimbulance
September 2019 - February 2020

UI Designer | Under NDA
September 2017 - September 2019"
227,"**GRAPHIC & UI/UX DESIGNER**

Results-driven designer with 10+ years of expertise in graphic and UI/UX design, specializing in brand development and multichannel marketing campaigns. Proven track record of delivering impactful design solutions for prominent real estate companies, European clients, and diverse industries.

**PROFESSIONAL EXPERIENCE**

**Senior Graphic & UI/UX Designer**
- Spearheaded corporate identity development for major Ukrainian real estate companies, creating cohesive brand ecosystems and comprehensive style guides
- Conceptualized and executed large-scale outdoor advertising campaigns with successful implementation across Kyiv, Kharkiv, and European markets
- Delivered end-to-end design solutions for international clients, managing projects from concept to completion
- Collaborated with cross-functional teams in advertising agencies, marketing firms, and printing houses to ensure seamless project execution
- Built and maintained strong client relationships through freelance design services

**TECHNICAL EXPERTISE**
- Website Development: Tilda Platform
- UX Research & Analysis
- Brand Identity Design
- Digital Marketing Design
- Print Production
- Presentation Design
- Environmental Graphics
- Vehicle Wrap Design
- Web Design

**CORE COMPETENCIES**
- Strategic Project Management
- Cross-functional Team Collaboration
- User-Centered Design
- End-to-End Design Solutions
- Client Relationship Management

**PORTFOLIO**
Comprehensive portfolio showcasing successful brand identities, advertising campaigns, and marketing materials implemented across Ukraine and European markets, demonstrating versatility and consistent delivery of high-impact design solutions."
228,"**UX/UI Designer**
Remote Designer from Ukraine | 4+ years of experience architecting intuitive, user-centric solutions for complex SaaS platforms, web applications, and mobile products

**PROFESSIONAL EXPERIENCE**

**Product Designer** | Stress Point Health Ltd | Apr 2018 - Jun 2020
• Spearheaded end-to-end UX/UI design for a mental health treatment platform, driving product vision from conception to deployment
• Architected comprehensive mobile application enabling patient access to stress, anxiety, and trauma treatment protocols
• Engineered intuitive data visualization solutions to transform complex metrics into actionable insights
• Created high-fidelity wireframes, user flows, and interactive prototypes optimizing the treatment journey
• Orchestrated usability testing with 22 pilot study participants, implementing evidence-based UX improvements
• Translated clinical requirements into accessible digital interfaces, enhancing treatment accessibility

**UX/UI Designer** | ManyRequests | Aug 2020 - Nov 2020
• Executed complete platform redesign, significantly enhancing user experience and interface functionality
• Implemented data-driven design iterations based on comprehensive user testing and analytics
• Crafted strategic design solutions aligned with core business objectives and brand guidelines
• Designed and integrated new features based on systematic user needs assessment

**UI/UX and Web Designer** | Propeller Digital Company | May 2016 - Dec 2019
• Served as principal designer, directing all visual and experience design initiatives
• Developed comprehensive design systems spanning web, print, and digital marketing materials
• Created user-centric solutions through strategic analysis of project requirements and user workflows
• Delivered compelling B2B and B2C experiences through targeted design language and messaging
• Executed full-scale brand identity revitalization including logo design and website modernization
• Implemented design thinking methodologies to optimize user engagement and satisfaction"
229,"CREATIVE DESIGN PROFESSIONAL

PROFESSIONAL EXPERIENCE

Creative Design Intern
Phiture Mobile Growth Consultancy & Agency
• Spearheaded creation of compelling illustrations and marketing assets for high-profile clients including Ad Hoc Labs and Tipp24
• Managed brand integrity through meticulous design adjustments and print collateral development
• Delivered precision photo retouching and comprehensive quality assurance for client deliverables
• Orchestrated A/B testing initiatives for Adobe client campaigns, driving data-informed design decisions

EDUCATION

Master's Degree in Design and Journalism
• Led design initiatives for non-profit organizations, delivering impactful visual solutions
• Mastered UI/UX design principles through intensive project-based learning

TECHNICAL EXPERTISE

Design & Visual Communication
• Advanced vector graphics, iconography, and logo design
• Professional-grade application prototyping and brand development
• Video editing and motion graphics production
• Print design and photo manipulation

Strategic & Analytical Skills
• Data-driven A/B testing methodology
• Information architecture and content strategy
• Multimedia journalism and content development

KEY PROJECTS

• Developed comprehensive application prototypes and brand identity systems
• Created strategic design solutions for non-profit sector
• Executed multi-client marketing campaigns
• Managed large-scale information architecture projects leveraging multimedia journalism expertise"
230,"PROFESSIONAL SUMMARY
Dynamic Graphic and UX/UI Designer with demonstrated success delivering compelling visual solutions across digital and print platforms. Leverages 3+ years of international experience collaborating with startups and established companies to transform client visions into impactful designs.

PROFESSIONAL EXPERIENCE

Senior Graphic and UX/UI Designer | Eleven Kings Football Manager Game
Switzerland (Lausanne) | 3 years
• Spearhead visual asset development for football management game startup in partnership with Ronaldinho
• Design and implement UI elements, marketing collateral, and advertising materials including billboards
• Lead magazine layout and design for EK MAG publication
• Drive cross-functional collaboration with international team for Play Store game development

Graphic Designer | Soccer City
Switzerland (Lausanne)
• Execute visual design strategy for blockchain-based virtual soccer world startup
• Produce comprehensive branding and marketing materials

Graphic Designer | Mediamark Digital Agency
3 years
• Deliver end-to-end graphic design solutions for diverse client portfolio
• Execute multi-client projects and campaigns in agency setting

Freelance Designer | Upwork
• Manage full-cycle design projects for global clientele
• Direct multiple concurrent projects across design disciplines

CORE COMPETENCIES
• UX/UI Design
• Mobile App Design
• Website Design
• Social Media Marketing & Advertising
• Magazine & Publication Design
• Digital Design & Photo Manipulation
• Brand Identity Development
• Print Collateral
• Packaging Design

TECHNICAL EXPERTISE
Design: Adobe Creative Suite (Illustrator, Photoshop, InDesign, Dimension, After Effects, XD), Figma
Prototyping: Adobe XD, Figma, InVision
Project Management: Trello, MeisterTask, Notion

CLIENT ENDORSEMENTS
""Zeybullah's work is excellent. He understands the business and demonstrates that brilliantly with fantastic design creativity and execution that really wow us. He nails a brief perfectly.""
— Orkhan Rzayev, CEO, Eleven Kings Game

""Zeyb is a very creative and experienced designer who applies his skills brilliantly. He has an excellent attitude which, when you are looking for perfection in the fine details, is so important. Highly recommended and I definitely expect to do more work with him.""
— Upwork Client

PROFESSIONAL APPROACH
Results-driven designer committed to delivering premium solutions through iterative refinement and constant client communication. Ensures precise alignment with objectives while maintaining exceptional quality standards."
231,"GRAPHIC & UX/UI DESIGNER

PROFESSIONAL EXPERIENCE

Freelance Graphic Designer | April 2022 - May 2023
Various French and Ukrainian companies including Gr8Tech, Bourgogne en Douce, and O4Dance
• Delivered comprehensive visual solutions for diverse international clients
• Executed brand identity projects and marketing materials across multiple platforms
• Managed concurrent projects while maintaining consistent quality and meeting deadlines

UX/UI Designer | February 2021 - April 2022
AltRecipe
• Designed and implemented responsive websites optimized for both desktop and mobile platforms
• Conducted interface analysis and implemented data-driven improvements to enhance user experience
• Collaborated with cross-functional teams to align design solutions with product strategy
• Developed dynamic interface animations to enhance user engagement

Graphic Designer | June 2018 - February 2020
Pyramida Technik - Marketing Department
• Created compelling visual content for multi-channel social media campaigns
• Designed professional presentations and print collateral to support marketing initiatives
• Played key role in website redesign projects, improving user experience and visual appeal

Freelance Designer | September 2019 - March 2020
Camping Trade
• Spearheaded GioStyle brand website development in collaboration with design and development teams
• Developed and executed social media campaign visuals to enhance brand presence

Freelance Graphic Designer | 2017 - 2018
• Specialized in creating high-impact print advertising materials
• Managed client relationships and delivered projects within specified timelines

EDUCATION

NTUU ""KPI"" (Kyiv Polytechnic Institute)
Degree in Graphic Design

SKILLS

• UI/UX Design
• Web Design
• Print Design
• Brand Identity
• Social Media Design
• Interface Animation

INTERESTS

Foreign languages, film photography, painting"
232,"GRAPHIC & WEB DESIGNER

PROFESSIONAL SUMMARY
Results-driven Graphic and Web Designer with 3 years of experience delivering engaging digital solutions. Demonstrated success in leading website development projects, creating responsive designs, and implementing user-centric interfaces. Strong expertise in 3D modeling, visual design, and cross-platform development, combining creative vision with technical proficiency.

PROFESSIONAL EXPERIENCE

Project Manager - Website Development Department
Ukrainian Book Publishing House | 2022
• Spearheaded end-to-end development of publishing house website and online bookstore
• Led market analysis to identify competitive advantages and user requirements
• Developed and implemented responsive website templates using Wbasyst and Wix platforms
• Orchestrated hosting operations and technical infrastructure
• Built and managed development team, including recruitment and resource allocation
• Created comprehensive prototypes focusing on user experience and conversion optimization

3D Designer - Visualization Specialist
3D Company ""Hover"" | September 2020 - July 2022
• Executed precise 3D architectural visualization projects utilizing advanced modeling techniques
• Transformed 2D photographic assets into detailed 3D representations
• Created complex high-polygonal 3D models and character designs using Zbrush
• Delivered architectural structure modeling projects adhering to client specifications

TECHNICAL SKILLS

3D Design Software:
• SketchUp
• Blender
• Zbrush

Design Software:
• Figma
• Adobe Photoshop
• Adobe Illustrator
• Adobe XD
• Adobe After Effects
• Adobe Premiere Pro

Web Development:
• Wbasyst platform
• Wix platform
• Hosting management
• UX/UI design
• Responsive design

CAREER OBJECTIVES
Seeking opportunities to apply expertise in web design, graphic design, and digital content creation, with particular focus on book cover design, advertising materials, and comprehensive website development. Committed to continuous professional growth and mastery of emerging design technologies."
233,"GRAPHIC DESIGNER

PROFESSIONAL EXPERIENCE

Senior Graphic Designer | 5+ years
• Led comprehensive design initiatives for diverse industry clients including jewelry, retail, restaurants, children's stores, and IT corporations
• Developed and executed strategic advertising campaigns based on market analysis and consumer behavior
• Managed full-cycle design process for restaurant launch from concept to implementation
• Successfully executed department rebranding project for university
• Designed commercial artwork for merchandise and publications
• Conceptualized and developed independent game design projects

UX/UI Mobile Designer | 1 year
• Crafted intuitive mobile interfaces and user experiences
• Implemented mobile-first design principles and best practices

Marketing Specialist | 2 years
• Leveraged consumer psychology insights to create impactful advertising strategies
• Delivered data-driven marketing solutions

Illustrator | 3 years
• Created professional vector illustrations and 2D artwork
• Maintained consistent visual style across projects

CORE COMPETENCIES
• UI/UX Design & Interactive Prototyping
• Graphic Design & Vector Illustration
• 2D Illustration & Animation
• Mobile Design Guidelines
• User Psychology & Marketing Strategy
• Flat Design & Motion Graphics

TECHNICAL PROFICIENCY
Design Software
• Figma, Adobe Creative Suite (Photoshop, Illustrator, After Effects)
• Lightroom, Corel Painter, Krita, Zeplin

Development Tools
• Blender, Unity, Shader Animation

LANGUAGES
• Ukrainian (Native)
• English (Conversational)
• Czech (Beginner)
• Mandarin (Beginner)

ADDITIONAL INFORMATION
Available for international relocation
Focused on mobile application development opportunities"
234,"DARIA

PROFESSIONAL SUMMARY
Strategic Chief Business Officer with proven leadership in visual technology and creative services. Track record of scaling business operations, driving revenue growth, and delivering cutting-edge solutions in 3D, VR, AR, and 360° media. Expert in merging business strategy with creative excellence to transform client visions into measurable results.

PROFESSIONAL EXPERIENCE

Chief Business Officer | 3DTOUR AGENCY
• Lead cross-functional teams of developers and designers, ensuring project alignment with business objectives
• Build and nurture high-value client partnerships, resulting in sustained business relationships
• Orchestrate complex visual technology projects encompassing 3D modeling, 360° photography/video, aerial shooting, VR, and AR implementation
• Drive company culture and represent organization's interests in professional settings

CORE COMPETENCIES
• Strategic Project Management
• Team Leadership & Development
• Client Portfolio Management
• Advanced Visual Technology
• Brand Strategy Development
• Adobe Creative Suite Mastery
• UI/UX Design Implementation
• Digital Content Creation
• Traditional & Digital Art
• Cross-departmental Collaboration

KEY ACHIEVEMENTS
• Spearheaded end-to-end website development incorporating user analytics, process optimization, and innovative design solutions
• Orchestrated comprehensive brand identity campaigns across educational, sports, and public/private sectors
• Developed high-impact marketing collateral spanning multiple formats and platforms
• Successfully managed 5 concurrent projects while maintaining consistent delivery schedules

PROFESSIONAL DEVELOPMENT
• Advanced UI/UX design certifications
• Adobe Creative Suite specialization
• Contemporary design methodology studies
• Traditional art technique refinement
• Digital illustration portfolio development

PROFESSIONAL OBJECTIVES
Pursuing advanced leadership roles focusing on design innovation, revenue growth, and continued professional development."
235,"ANN [LAST NAME]
[Email] | [Phone] | [Location]

PROFESSIONAL SUMMARY
Results-driven graphic designer with 4+ years of experience delivering impactful visual solutions across diverse platforms. Successfully executed over 100 projects for brands ranging from startups to established companies, consistently meeting tight deadlines while maintaining premium quality standards. Recognized for translating complex client requirements into compelling visual narratives that drive engagement and brand recognition.

TECHNICAL EXPERTISE
• Adobe Creative Suite (Photoshop, Illustrator, InDesign)
• Brand Identity Development & Implementation
• Print & Digital Design Production
• Web Design & UI/UX Principles
• Layout & Typography
• Marketing Collateral Creation
• Digital Asset Management
• Client Communication
• Project Management

PROFESSIONAL EXPERIENCE

Graphic Designer - In-House
• Spearheaded brand communication initiatives resulting in cohesive visual identities across platforms
• Executed time-sensitive design projects while maintaining exceptional quality standards
• Designed and implemented comprehensive marketing materials for print and digital channels
• Facilitated cross-departmental collaboration to ensure alignment of design solutions with business objectives

Freelance Graphic Designer
• Conceptualized and delivered custom press media kits enhancing client visibility
• Crafted distinctive logos and album artwork for entertainment industry professionals
• Engineered responsive website designs optimizing user experience
• Developed strategic presentation materials for educational initiatives
• Produced branded marketing collateral maintaining consistent visual language

EDUCATION & TRAINING
Web Design Certification - Projector

DESIGN PHILOSOPHY
Dedicated to crafting purposeful design solutions that elevate brand presence and user experience. Meticulous attention to design principles and typography, ensuring maximum impact and clarity. Client-focused approach emphasizing collaborative partnership and strategic problem-solving to achieve optimal outcomes."
236,"**Senior Graphic and UI/UX Designer**

**PROFESSIONAL EXPERIENCE**

**UI/UX App Designer | 2012-2013**
• Led design and development of Lomogram, achieving top 5 ranking in Windows Phone Store photography category
• Drove user acquisition to 20M+ downloads through intuitive interface design and seamless user experience
• Implemented responsive design principles ensuring cross-device compatibility

**Graphic Designer | Plarium**
• Spearheaded creation of high-impact advertising campaigns for gaming products, driving user engagement
• Designed and animated dynamic 2D banners optimized for multiple social media platforms
• Collaborated with marketing team to deliver conversion-focused visual content

**Brand Designer | Grls Gang**
• Architected complete brand identity system including logo, color palette, and typography guidelines
• Created cohesive visual storytelling across all brand touchpoints to strengthen market positioning
• Executed multi-channel design assets including social media, advertising, and print collateral

**Freelance Designer**
• Delivered end-to-end design solutions for diverse client portfolio across multiple industries
• Created compelling visual content optimized for social media, advertising, and print platforms
• Managed client relationships and project timelines while ensuring design excellence

**SKILLS & EXPERTISE**
• UI/UX Design
• Graphic Design
• Layout Design
• Typography
• Illustration
• Color Theory
• Shape and Composition
• 2D Animation
• Brand Identity Development
• Social Media Design
• Print Design
• Advertisement Design

**PROFESSIONAL APPROACH**
Results-driven designer combining creative excellence with strategic thinking to deliver impactful visual solutions. Proven track record of meeting deadlines and exceeding client expectations through thorough research and innovative design approaches. Committed to continuous professional development and staying ahead of industry trends."
